#{"t_start": 1716229727.5417554, "env_id": "CenteringWorld-v1"}
r,l,t
-0.7,84,0.39018
-1.07,275,1.307776
1.35,84,1.663633
0.34,53,1.745227
1.07,80,2.07657
1.05,75,2.428214
1.5,27,2.469249
1.44,33,2.517789
1.61,18,2.55433
1.22,75,2.890201
1.6,16,2.916725
1.21,53,2.997858
1.52,12,3.016876
1.66,31,3.273255
1.59,18,3.300271
1.75,37,3.358665
0.6,31,3.409758
1.59,14,3.431785
1.15,20,3.676758
1.66,20,3.708283
1.71,39,3.772343
1.58,15,3.796369
1.67,27,3.838502
1.68,22,4.095772
1.66,21,4.130362
1.62,16,4.155918
1.51,3,4.160918
1.59,11,4.177958
1.81,44,4.250082
1.58,10,4.266139
1.7,28,4.534489
1.78,42,4.601646
1.51,3,4.60565
1.59,11,4.623151
1.57,9,4.63818
1.58,10,4.654218
1.68,23,4.69076
0.53,11,4.707953
1.62,16,4.949976
1.57,12,4.970009
1.53,5,4.979525
1.63,22,5.016113
1.55,8,5.028136
1.75,28,5.075733
1.59,11,5.092597
1.55,7,5.104023
1.58,19,5.135074
1.72,25,5.411982
1.02,5,5.419994
1.68,22,5.455572
1.59,15,5.478611
1.11,21,5.512715
1.55,8,5.526233
1.58,10,5.542774
1.06,13,5.566637
1.61,13,5.586677
1.52,4,5.771457
1.59,11,5.792171
1.6,13,5.812215
1.78,34,5.868332
1.54,6,5.878852
1.57,9,5.892882
1.69,22,5.927958
1.54,10,5.943995
1.59,11,5.963024
1.59,11,5.980535
1.53,9,6.179153
0.03,12,6.197189
1.75,30,6.246687
1.57,13,6.267628
1.68,28,6.313924
1.58,10,6.32995
1.55,9,6.345487
1.57,9,6.360513
1.77,33,6.570147
1.55,9,6.587179
1.59,11,6.605218
1.52,4,6.613733
1.62,14,6.636281
1.06,11,6.657317
1.6,12,6.678353
1.64,17,6.706899
1.77,31,6.919391
1.59,11,6.937954
1.55,7,6.951975
1.52,8,6.965507
1.56,8,6.980539
1.57,9,6.995601
1.58,10,7.01264
1.59,11,7.031682
1.53,9,7.046707
1.78,33,7.10969
1.54,12,7.129241
1.91,46,7.358828
1.65,17,7.393104
1.92,50,7.479772
1.57,9,7.495807
1.58,10,7.512846
1.55,7,7.671919
1.58,10,7.688447
1.75,33,7.752582
1.74,29,7.801662
1.58,10,7.819808
1.53,7,7.831839
1.61,15,7.8579
1.59,11,7.87693
1.61,13,8.053569
1.62,15,8.087655
1.62,14,8.110695
1.51,13,8.133768
0.05,15,8.166902
1.67,19,8.200455
1.67,19,8.232027
1.54,6,8.242549
1.59,11,8.262162
-1.61,52,8.511881
0.67,42,8.584315
1.58,10,8.602338
1.6,12,8.624387
1.61,13,8.645935
1.55,37,8.876453
1.55,11,8.898607
1.85,37,8.964748
1.67,24,9.004416
1.58,10,9.022442
1.65,17,9.062523
1.57,9,9.233523
1.75,27,9.280117
1.58,10,9.300153
1.27,35,9.360773
1.56,12,9.380805
1.57,17,9.416882
1.04,9,9.432456
1.57,9,9.446977
1.57,13,9.625664
1.65,18,9.655752
1.68,21,9.697824
1.1,19,9.763436
1.9,42,9.846605
1.67,19,10.085276
1.58,10,10.105313
1.61,15,10.132887
1.58,10,10.151412
1.53,5,10.159928
1.54,6,10.176964
1.59,11,10.196001
1.78,31,10.252628
1.1,16,10.288211
1.55,9,10.304794
1.55,9,10.320224
1.55,13,10.547176
1.63,15,10.576289
1.55,7,10.587807
1.64,27,10.641385
1.82,35,10.706681
1.59,11,10.754953
1.63,23,10.972446
1.63,18,11.004006
1.54,10,11.023023
1.64,16,11.081592
1.54,10,11.098925
1.62,18,11.132486
1.48,14,11.165052
1.55,11,11.184091
1.57,9,11.200611
1.67,19,11.234683
1.67,19,11.467174
1.55,15,11.49972
1.54,6,11.510128
