#{"t_start": 1716105985.1702065, "env_id": "CenteringWorld-v0"}
r,l,t
-4.53,603,1.401472
-0.33,99,1.566496
-44.74,5962,12.371337
-14.59,1958,16.331821
0.67,146,16.652361
-3.87,689,18.042839
-0.86,377,18.825431
-2.71,570,19.974572
-2.22,573,21.144262
-2.27,383,21.935358
-1.16,393,22.700942
-26.52,3526,29.853797
-6.63,854,192.508481
-4.1,743,194.027773
-4.41,739,195.58888
-1.08,230,196.043489
0.35,225,196.527416
0.68,125,196.769566
-11.61,1144,199.113805
0.6,66,199.242316
-2.34,348,199.971603
1.25,60,200.09412
-0.17,268,200.660672
-2.54,351,201.349124
-2.5,359,202.112001
-14.76,1660,205.539751
-2.15,255,206.092725
-1.79,573,207.263116
-9.72,1270,209.875336
-0.07,181,210.285386
-2.24,549,211.418449
-2.13,342,212.12444
-2.16,399,212.917895
0.82,140,213.233144
-0.26,263,213.755629
-11.12,1401,216.652138
0.78,118,216.888238
-6.36,903,218.755125
-6.62,916,220.628181
-0.36,132,220.88324
0.29,204,221.289341
-1.92,225,221.785541
-1.1,421,222.644805
-8.78,1351,425.012862
-0.92,157,425.327398
-0.97,161,425.670939
-12.4,1680,429.076384
1.48,16,429.110895
-22.92,2984,435.183614
-2.61,427,436.073448
1.05,118,436.312987
-3.1,485,437.294608
1.17,79,437.451629
-1.78,263,437.996195
1.28,60,438.112216
-1.8,129,438.363241
-0.1,317,439.011829
0.12,197,439.401369
0.51,171,439.733414
-1.74,453,440.651104
-0.01,320,441.315691
1.04,107,441.533719
-2.5,188,441.896255
-0.19,106,442.131787
1.41,47,442.236853
0.05,240,442.712224
1.07,106,442.919248
-1.44,283,443.538321
-11.11,1494,446.57561
0.82,36,446.647122
0.41,125,446.891845
-6.84,795,448.521462
1.55,15,448.549463
1.07,63,448.670974
-0.58,351,449.390079
-2.94,361,450.095675
-6.67,722,451.600916
-0.95,134,451.856465
-0.51,202,452.257513
0.67,99,452.484537
-1.47,235,452.938099
0.86,173,453.272635
0.1,240,453.770195
-3.69,497,454.785318
-1.41,201,654.404468
1.03,99,654.613492
-13.11,1462,657.635898
1.03,108,657.851922
1.17,64,658.021439
0.52,74,658.176461
-5.51,848,659.87817
0.7,74,660.026687
-12.14,1698,663.54213
1.26,43,663.628134
0.37,51,663.729647
-1.36,128,663.98618
-3.89,535,665.099814
0.42,32,665.164327
1.24,79,665.371352
0.36,76,665.519863
-5.01,489,666.539499
0.91,105,666.750524
0.68,123,666.993984
0.79,62,667.126082
0.9,120,667.370013
-1.18,381,668.172763
-3.64,207,668.612816
-2.3,389,669.388461
-0.22,263,669.943535
-1.95,374,670.728636
-3.13,279,671.290216
-7.7,725,672.820913
0.76,65,672.955156
0.18,88,673.129671
1.17,91,673.314222
1.56,30,673.370737
-18.18,2194,677.900333
-0.33,220,678.360458
-1.98,388,679.157823
1.1,86,679.32796
-0.57,173,679.665214
-8.24,627,680.914905
0.25,157,681.265959
-0.13,119,681.496986
-6.14,572,682.643934
1.35,94,682.823107
0.67,132,683.084395
-4.27,711,684.541221
-3.27,684,685.912044
-0.49,316,885.970714
-0.37,210,886.409275
