#{"t_start": 1716105985.176206, "env_id": "CenteringWorld-v0"}
r,l,t
-19.38,2089,3.893291
-35.88,4341,11.879779
0.9,44,11.96229
-25.94,3447,18.989451
1.51,4,18.996451
-2.98,496,20.006572
-0.33,266,20.523134
-4.64,728,22.035871
-10.77,1193,24.443155
-2.11,163,24.763691
-3.66,331,25.450275
-7.64,747,26.972957
-4.49,590,28.167094
1.35,43,28.251606
-6.42,871,29.998312
-1.09,362,191.563132
-35.85,4745,201.414633
0.41,91,201.629183
-13.14,1283,204.235377
-1.54,164,204.592087
-1.5,223,205.05916
-0.24,238,205.555755
-2.31,391,206.377277
1.47,67,206.514804
1.05,32,206.580332
-1.89,350,207.295629
-0.1,256,207.834585
-1.42,277,208.383942
-0.01,241,208.897045
-1.07,289,209.473688
-4.74,586,210.714963
-0.54,234,211.218788
-1.69,223,211.663432
0.98,87,211.83796
0.9,16,211.867489
0.71,163,212.217947
-1.8,341,212.896894
1.23,71,213.034034
-2.45,162,213.393178
0.27,201,213.798137
1.44,33,213.85914
-0.55,221,214.337791
0.83,29,214.392823
-1.12,338,215.059777
-13.97,1967,219.118191
0.08,242,219.633295
-19.32,2385,424.101242
-0.14,182,424.512297
-0.87,317,425.139374
0.6,58,425.253887
1.51,4,425.260887
-5.38,435,426.16752
1.25,58,426.280034
-8.04,479,427.250161
0.21,49,427.350672
-2.43,500,428.363797
0.82,194,428.767847
-0.11,242,429.252369
0.48,151,429.58291
0.14,149,429.869444
-0.95,105,430.073471
-0.86,133,430.334007
0.93,20,430.377007
-3.13,459,431.297134
-0.82,316,431.94321
-1.61,447,432.857825
0.72,130,433.115361
1.01,13,433.142361
1.25,90,433.316385
-1.33,227,433.803949
-2.42,387,434.572535
-0.16,246,435.100614
0.61,155,435.404691
1.4,48,435.503883
-1.06,181,435.905935
-3.29,468,436.860554
0.11,236,437.327116
1.62,33,437.38812
0.13,240,437.888685
-3.98,795,439.478879
1.23,67,439.608903
-7.19,598,440.80313
-1.01,422,441.674229
-1.45,353,442.409688
1.02,87,442.575201
0.79,116,442.808736
-0.82,196,443.238782
-1.19,235,443.718345
0.94,84,443.881856
-1.54,78,444.035879
0.75,49,444.170392
0.37,243,444.650952
0.63,121,444.885982
-0.65,265,445.44405
1.5,6,445.45505
-3.35,270,445.976612
-1.32,177,446.367585
1.51,27,446.416098
0.22,65,446.54361
0.75,160,446.854842
1.39,48,446.950354
0.58,109,447.164377
-0.15,233,447.661558
0.93,20,447.704854
0.97,133,447.958391
1.45,48,448.052903
0.98,94,448.229926
-0.74,248,448.755487
0.86,93,448.938032
0.19,64,449.059544
0.41,63,449.181056
0.55,115,449.436594
-8.71,1126,451.729953
-0.04,125,451.971979
1.59,26,452.02549
-7.18,520,453.069612
0.96,23,453.112124
0.82,130,453.371147
1.52,10,453.389152
1.15,76,453.571171
-0.81,214,453.987225
1.26,55,454.094737
-2.69,611,654.573493
0.1,233,655.075054
0.16,89,655.253079
-6.91,1122,657.552385
-1.92,464,658.526002
0.75,172,658.863048
-0.28,245,659.37861
-3.49,724,660.846294
-5.38,994,662.879539
0.36,199,663.303591
0.56,132,663.59313
0.78,143,663.872667
-1.9,222,664.36323
1.27,64,664.489741
-0.05,250,664.988302
-16.47,2110,669.374462
0.12,68,669.506975
0.73,69,669.679999
-2.47,532,670.780145
-1.99,100,670.97868
1.24,94,671.166704
-3.08,345,671.9033
-1.06,197,672.310351
0.41,27,672.361861
1.58,43,672.447374
0.95,52,672.551886
0.03,177,672.934155
1.28,78,673.094668
1.09,82,673.257223
0.27,60,673.374738
-5.02,338,674.089326
0.4,218,674.530538
-0.36,387,675.372642
1.47,20,675.409641
1.48,63,675.532665
0.55,103,675.737252
0.75,34,675.806251
0.87,111,676.051787
0.01,201,676.445031
1.42,22,676.49203
1.51,14,676.517035
-0.03,34,676.587543
-0.28,135,676.851311
0.56,151,677.192849
0.95,35,677.262362
0.22,230,677.709309
0.3,125,677.951845
1.09,116,678.209433
0.2,151,678.50652
-2.06,230,678.957724
0.94,24,679.006724
1.17,83,679.210826
1.01,115,679.434182
0.74,53,679.531188
1.29,85,679.698214
0.56,31,679.761573
-0.91,118,679.990597
1.41,28,680.040729
0.44,25,680.092729
-5.98,509,681.123935
0.71,74,681.30796
-4.94,774,682.84537
-1.93,435,683.72979
1.46,39,683.809824
1.37,59,683.925201
-6.0,877,685.702204
-0.54,146,685.983385
1.5,2,685.987385
0.99,45,686.073899
-1.7,241,885.990225
0.66,117,886.24025
1.11,192,886.6253
