#{"t_start": 1716105985.178206, "env_id": "CenteringWorld-v0"}
r,l,t
-2.84,557,1.317966
-30.31,3712,7.568243
-5.22,762,9.034926
-27.24,3648,16.435338
-7.78,566,17.613639
-10.91,1539,20.744216
-4.73,479,21.703823
-8.42,1265,24.28313
-7.04,987,26.27437
-3.55,713,27.709535
-23.71,2848,194.450356
-9.38,1431,197.413932
1.53,12,197.443934
0.92,79,197.59404
0.92,93,197.779039
-1.64,471,198.757134
-1.41,389,199.557904
-0.26,291,200.147126
-3.46,713,201.634183
1.02,120,201.867753
-9.63,1261,204.442062
-2.68,542,205.589264
0.27,168,205.965334
1.14,64,206.092728
0.02,249,206.596332
-1.77,466,207.549382
-5.27,753,209.103089
1.47,30,209.158598
0.52,142,209.448637
-0.59,23,209.49169
-6.4,447,210.452906
1.55,10,210.471415
-1.75,98,210.670963
-2.91,388,211.489962
1.0,1,211.491962
0.44,92,211.669432
-13.8,1842,215.457979
0.73,104,215.671968
-3.04,626,216.959245
-3.48,636,218.250477
0.48,89,218.46755
-4.64,841,220.168628
-1.7,423,221.03426
0.33,202,221.435381
1.1,58,221.594507
-4.69,758,223.12081
-0.67,327,423.391474
-1.57,234,423.871705
-9.43,1429,426.823111
0.19,53,426.928623
-5.4,717,428.370798
-0.42,269,428.924871
1.26,47,429.018384
0.55,84,429.185901
-4.27,469,430.141982
1.0,91,430.316007
-8.15,970,432.268755
-0.96,333,432.958337
-1.86,343,433.672925
-1.03,158,433.981465
0.11,106,434.19249
1.05,98,434.390515
-0.35,315,435.052101
-5.12,767,436.612525
0.35,183,437.013578
-4.97,750,438.505267
-2.52,159,438.814805
-8.29,1092,441.048154
1.08,71,441.18867
0.83,118,441.423203
0.88,55,441.539715
-4.75,902,443.399808
0.35,72,443.552321
0.93,143,443.838856
-2.88,413,444.686956
-4.79,519,445.738588
-0.09,160,446.056124
-2.9,208,446.497611
-2.68,215,446.917354
0.32,188,447.328022
-0.16,150,447.620558
0.98,104,447.82288
-0.7,274,448.391443
0.43,137,448.653975
-0.26,323,449.31608
-1.44,367,450.037671
-1.25,450,450.962281
0.12,98,451.161306
-0.82,296,451.772954
0.94,120,452.00949
1.22,107,452.216514
-13.32,1804,655.138567
0.59,93,655.327592
0.61,157,655.635129
-0.57,190,656.04718
0.57,135,656.313208
-1.33,136,656.57674
0.03,246,657.106301
0.98,38,657.183813
0.99,12,657.205813
-0.87,198,657.598385
0.53,94,657.789411
-0.55,117,658.076947
1.06,63,658.200461
-1.23,130,658.452998
-1.19,474,659.420614
1.44,45,659.511122
-0.43,232,659.972684
1.47,6,659.983684
-5.56,397,660.796782
-1.19,274,661.375856
1.54,15,661.403856
1.13,91,661.578881
0.76,69,661.718396
-1.4,154,662.015934
1.35,49,662.158955
-0.98,232,662.623007
-0.35,229,663.073566
-1.17,328,663.774156
0.25,120,664.025184
1.29,122,664.300717
-0.39,254,664.810278
0.7,61,664.935302
1.33,71,665.076814
0.65,168,665.463864
-0.67,122,665.704889
0.06,278,666.273962
-0.95,85,666.474986
1.39,27,666.52599
-0.07,210,666.945985
-0.3,240,667.439538
-3.69,143,667.746598
1.35,62,667.87511
-2.83,673,669.25895
1.04,105,669.465975
1.38,73,669.646998
-0.24,299,670.247072
-2.48,545,671.375729
-2.56,447,672.319353
0.56,89,672.493374
0.9,110,672.712399
-3.55,195,673.13618
-9.05,1031,675.30713
-0.18,258,675.817255
1.06,86,676.014281
1.24,89,676.189927
-0.53,156,676.497031
-1.19,115,676.725058
-0.72,407,677.568798
0.65,69,677.700309
0.64,109,677.914333
-1.19,213,678.362458
0.54,157,678.670545
-4.57,715,680.101729
-0.06,241,680.607131
0.27,60,680.721309
1.49,12,680.749406
1.5,2,680.753406
-2.18,223,681.22745
0.37,101,681.425477
0.29,122,681.662941
-0.46,295,682.267634
-0.36,144,682.54769
0.91,45,682.635935
-0.54,113,682.85637
1.53,7,682.868371
0.23,131,683.1224
0.9,49,683.250421
-0.06,191,683.62372
-7.7,729,685.081182
-0.45,295,685.698204
1.29,210,686.101899
-0.19,188,885.902711
0.57,173,886.274762
0.7,66,886.411275
