#{"t_start": 1716105985.173206, "env_id": "CenteringWorld-v0"}
r,l,t
0.16,60,0.364678
-30.01,3928,7.073684
1.37,31,7.129196
-5.51,686,8.41134
-14.73,1834,12.095801
1.16,69,12.228825
-2.4,250,12.757388
0.09,202,13.154435
-2.41,529,14.243068
-1.16,306,14.876142
0.8,123,15.11817
-9.86,1520,18.194352
-10.76,1527,21.310777
-0.48,315,21.969358
-30.09,3591,29.243726
-4.1,744,191.565131
-13.43,1781,195.341319
-5.5,799,196.969871
-0.47,157,197.308875
0.95,123,197.557992
-1.74,376,198.341197
-5.74,837,200.032603
-1.82,600,201.26062
-1.95,243,201.785236
0.02,161,202.110277
-2.18,320,202.77799
-11.36,1811,206.528805
-1.28,300,207.150598
-0.19,169,207.485373
-2.11,183,207.881102
0.8,54,207.987618
-13.01,733,209.476688
-3.78,335,210.212868
-6.9,1154,212.579967
0.73,181,212.936891
0.75,60,213.054037
-0.43,162,213.414181
-1.29,246,213.906319
-18.6,2153,218.327988
0.84,94,218.557555
0.06,266,219.081191
-0.97,348,219.810845
0.42,55,219.917935
-9.69,1440,222.864261
0.26,235,223.331839
-4.51,489,423.934217
-2.79,147,424.238756
-1.38,360,424.99735
-1.62,444,425.905476
1.08,98,426.104522
-0.39,107,426.321546
-0.02,200,426.744598
-0.19,306,427.352672
1.37,34,427.420185
-6.72,971,429.388885
0.77,130,429.67242
-0.96,516,430.713057
-1.08,107,430.924084
-1.03,235,431.380134
1.43,9,431.396137
-10.21,1293,434.038974
0.71,122,434.278999
-4.24,315,434.944588
-3.25,373,435.693402
0.93,96,435.921935
-2.0,526,436.996068
0.67,46,437.080578
-6.82,533,438.152219
0.38,188,438.519267
-1.79,194,438.928317
-11.22,1463,441.869252
-0.61,67,442.028276
-0.25,148,442.331177
1.36,74,442.474689
-0.78,116,442.707224
0.88,34,442.775224
0.68,106,442.984248
-6.86,689,444.43893
-8.23,368,445.192518
-3.67,319,445.821099
-0.38,162,446.143562
0.11,270,446.702329
-4.97,969,448.666974
1.36,78,448.824999
0.4,173,449.159055
0.77,139,449.457594
0.61,82,449.619619
0.88,55,449.727132
-0.55,275,450.271695
-0.81,248,450.804767
0.57,86,450.967281
0.95,45,451.055795
0.83,110,451.282818
1.25,67,451.445401
1.11,64,451.574913
-0.77,117,451.799958
1.14,74,451.940979
1.37,52,452.04349
1.48,10,452.06149
0.19,53,452.166002
1.31,65,452.294517
1.33,53,452.40103
0.39,239,452.892589
-1.49,224,453.330148
-0.21,44,453.417659
0.67,118,453.681683
-0.15,356,454.376271
-2.05,596,654.863031
-2.76,421,655.703129
1.1,116,655.972666
1.16,72,656.11418
-1.71,102,656.315204
1.04,260,656.821768
-1.76,331,657.527875
-0.42,113,657.753411
0.76,52,657.858923
1.5,38,657.979435
0.36,99,658.181461
-1.13,170,658.515998
0.86,29,658.569511
0.36,118,658.800536
0.17,149,659.127076
-0.03,234,659.586635
0.22,93,659.774659
0.97,112,659.997684
0.2,157,660.343734
-2.23,439,661.239342
1.47,15,661.273343
-2.27,376,662.00593
1.52,61,662.172954
1.06,107,662.391979
1.36,28,662.44349
0.14,100,662.640514
-4.07,310,663.281591
-1.24,438,664.182204
0.34,172,664.561253
0.66,70,664.704765
0.76,114,664.935302
1.33,83,665.099814
1.44,32,665.164327
-0.38,81,665.375352
1.29,65,665.503864
-3.48,286,666.083937
1.19,74,666.239962
-0.54,167,666.601499
0.9,30,666.665011
1.5,16,666.694013
-0.46,306,667.309923
0.41,166,667.675084
-0.35,179,668.04425
1.49,15,668.07325
0.13,196,668.4653
-2.33,278,669.049377
-1.51,237,669.51898
1.06,101,669.749514
1.3,83,669.917024
1.33,30,669.985535
-4.87,831,671.686279
-2.41,147,672.015811
1.09,168,672.362861
0.73,97,672.555887
1.39,24,672.601886
1.03,84,672.799913
0.18,210,673.225183
-1.37,131,673.483251
-0.01,217,673.955815
-2.76,260,674.486029
1.62,20,674.522035
0.16,78,674.691054
-1.54,330,675.402641
1.25,58,675.517154
-0.47,84,675.679739
-1.69,114,675.902763
0.48,16,675.939276
-0.47,100,676.167928
0.84,112,676.387521
1.38,52,676.489031
0.36,143,676.770098
0.53,145,677.089335
-2.36,358,677.799822
-5.75,752,679.341079
-1.73,359,680.036729
0.45,167,680.394848
1.39,25,680.45092
0.94,39,680.526926
-0.91,425,681.392472
-0.05,258,681.896813
-1.53,327,682.56269
-0.42,228,683.005882
-4.61,595,684.211951
-0.1,161,684.554306
-2.0,138,684.823665
-0.02,117,685.050183
0.87,54,685.155222
1.63,41,685.233228
0.96,39,685.34025
0.66,76,685.491662
0.06,205,685.893044
0.84,148,686.185946
-1.43,215,886.065229
-1.0,97,886.259254
0.5,136,886.531786
1.52,12,886.553787
