#{"t_start": 1716405256.1310663, "env_id": "CenteringWorld-v0"}
r,l,t
-70.7,366,1.250078
2.1,104,1.58967
8.75,41,1.666533
6.3,31,1.904079
5.25,44,1.96658
8.0,65,2.256243
11.55,53,2.333395
3.5,13,2.364647
8.75,24,2.395896
9.45,51,2.680085
6.65,21,2.711335
9.75,34,2.769505
8.7,38,2.822015
4.2,16,3.039406
7.7,20,3.070655
5.55,23,3.109179
3.15,9,3.124827
2.8,5,3.124827
6.65,16,3.156078
2.45,4,3.156078
4.9,12,3.171703
2.8,8,3.196749
4.9,11,3.205193
8.05,22,3.453031
6.65,20,3.490685
17.8,60,3.568907
10.15,31,3.637347
11.9,54,3.922795
17.15,56,4.008237
11.55,36,4.274906
17.15,55,4.352192
14.7,46,4.429096
3.85,14,4.460363
13.65,36,4.712621
5.6,14,4.728247
11.55,42,4.789694
6.65,27,4.836569
6.95,27,5.092587
6.3,15,5.112316
3.5,19,5.143566
7.0,20,5.175206
4.9,15,5.20817
3.5,8,5.213322
6.2,44,5.483352
3.85,9,5.498977
24.15,85,5.634399
5.95,16,5.654043
13.3,61,5.916974
4.55,10,5.932599
15.4,42,5.998832
3.5,7,6.014457
6.65,20,6.045708
9.45,25,6.262668
2.8,5,6.262668
2.45,4,6.280666
8.75,22,6.315842
11.9,33,6.362717
9.05,35,6.413523
4.55,10,6.581234
5.6,14,6.596859
12.25,38,6.66153
10.85,28,6.720794
20.65,63,6.974056
6.3,19,7.005306
4.9,11,7.02093
11.2,29,7.06683
3.5,11,7.098082
4.55,18,7.129331
4.9,13,7.144955
10.5,36,7.351067
7.3,24,7.400309
9.8,25,7.436589
8.4,21,7.46784
5.95,14,7.501045
19.6,55,7.737556
5.95,19,7.768807
6.95,29,7.826347
18.55,52,8.058566
10.15,26,8.105441
3.85,18,8.13789
6.3,15,8.158581
2.45,8,8.174228
10.5,32,8.221103
9.8,25,8.4262
19.6,57,8.519047
8.4,21,8.550297
6.65,16,8.589485
6.65,17,8.615757
5.25,14,8.79372
15.0,70,8.909557
6.25,20,8.941031
8.05,24,8.987906
4.2,19,9.198209
3.5,7,9.213834
7.35,19,9.250491
4.2,9,9.266905
4.2,11,9.282531
25.55,70,9.41576
10.85,33,9.662753
21.35,59,9.7755
3.5,7,9.791125
1.4,9,9.808553
10.8,33,10.049835
5.25,12,10.067869
15.75,44,10.162894
11.9,31,10.209789
11.5,36,10.454671
10.5,27,10.523319
7.7,31,10.570194
7.0,25,10.622026
5.6,13,10.653275
2.45,4,10.653275
4.9,13,10.684526
7.7,19,10.892282
15.4,46,10.988813
11.2,29,11.050404
3.85,14,11.07005
7.0,17,11.101804
21.35,64,11.411011
5.95,14,11.44909
9.45,24,11.496315
9.8,25,11.52761
11.55,31,11.759984
7.7,19,11.808812
5.95,14,11.828461
2.45,5,11.828461
6.65,16,11.859711
13.65,36,11.938596
22.05,61,12.212727
3.1,14,12.258615
8.4,21,12.289866
11.2,30,12.336741
8.05,22,12.566827
10.85,30,12.610789
15.75,42,12.704276
4.2,9,12.719901
5.5,27,12.766776
4.2,9,12.789168
4.9,11,12.975391
1.75,2,12.991889
7.0,17,13.012849
5.95,16,13.055371
5.6,27,13.109343
8.05,20,13.148274
3.85,12,13.163898
5.25,12,13.179523
8.05,20,13.225518
11.55,30,13.466818
8.4,22,13.498068
5.25,17,13.542015
22.75,62,13.836799
5.6,13,13.866954
2.8,7,13.882578
13.3,37,13.945079
6.65,16,13.975317
11.9,31,14.037834
6.3,15,14.07658
7.65,27,14.300345
3.85,10,14.315986
15.4,42,14.402845
3.15,6,14.408938
4.2,9,14.424599
17.85,49,14.687732
5.95,14,14.733571
2.8,5,14.749213
2.8,5,14.764841
17.85,50,14.873169
20.3,55,15.157449
11.85,35,15.218098
8.05,24,15.274153
6.3,17,15.295314
6.3,15,15.326563
5.6,13,15.342189
9.1,24,15.568016
6.65,16,15.609992
7.35,18,15.63264
7.35,20,15.684592
3.85,20,15.719003
8.05,20,15.749614
7.35,18,15.780863
5.25,16,15.989978
5.95,14,16.005604
13.65,40,16.085725
7.7,19,16.116975
5.95,14,16.155422
6.3,15,16.186695
7.7,20,16.389924
3.5,7,16.405548
10.15,26,16.467072
13.3,35,16.529573
7.65,27,16.579541
4.9,11,16.595183
2.45,13,16.626432
3.5,7,16.805472
4.9,11,16.821129
