#{"t_start": 1716405256.1227133, "env_id": "CenteringWorld-v0"}
r,l,t
-76.35,651,2.264596
9.1,36,2.330962
10.85,39,2.388624
9.8,51,2.667818
3.5,13,2.688438
4.9,12,2.704063
19.2,89,2.830368
3.85,21,3.063383
5.55,18,3.097278
4.2,16,3.117532
13.3,43,3.180056
9.4,47,3.461384
6.65,27,3.515712
19.25,56,3.592885
6.6,19,3.624136
13.3,45,3.899898
5.6,13,3.931148
5.6,17,3.962398
3.85,8,3.962398
2.8,5,3.983165
6.6,25,4.01659
3.15,10,4.038395
14.3,47,4.320807
10.85,29,4.360545
8.05,34,4.407421
6.3,15,4.437449
11.9,32,4.689724
5.6,16,4.705349
7.7,21,4.7366
6.3,15,4.766782
5.55,18,4.798047
5.95,16,4.813673
5.2,15,4.844922
14.0,38,5.105042
6.3,15,5.120669
8.05,28,5.183559
8.05,20,5.218676
10.15,28,5.252956
4.9,17,5.476081
5.6,15,5.50733
5.25,12,5.530161
5.25,12,5.538532
2.4,17,5.5698
5.25,12,5.585425
10.5,35,5.646753
5.95,16,5.662396
11.2,29,5.878453
5.25,12,5.909701
9.1,23,5.940952
21.35,59,6.038436
10.15,28,6.255395
3.15,6,6.255395
7.7,24,6.307533
2.8,18,6.324195
5.6,13,6.339819
3.5,9,6.355446
10.8,36,6.421876
17.5,49,6.654259
5.6,14,6.669883
6.65,18,6.707335
3.5,9,6.723737
11.9,31,6.769779
3.85,9,6.785405
8.4,21,6.966742
4.2,9,6.982409
4.9,12,7.013659
7.7,20,7.044909
8.4,26,7.090809
3.85,8,7.106435
3.4,17,7.122058
3.5,11,7.153308
8.05,20,7.32817
7.35,18,7.35942
9.45,26,7.410662
7.85,46,7.476193
14.0,46,7.716858
2.1,3,7.721861
5.95,18,7.745909
9.05,29,7.792785
8.05,20,7.8347
4.2,9,7.846981
6.65,17,7.878264
2.8,5,7.878264
4.2,14,8.051249
3.85,8,8.066919
7.7,19,8.098169
7.7,19,8.129417
10.15,28,8.182581
7.35,19,8.213831
7.7,26,8.245081
5.95,14,8.434553
5.6,19,8.465799
5.95,14,8.496149
10.5,27,8.5274
4.55,16,8.55865
8.05,31,8.608469
4.55,10,8.62411
13.3,36,8.848952
10.5,29,8.895828
8.75,22,8.933724
10.85,28,8.980634
11.2,29,9.206562
3.85,8,9.222187
7.35,18,9.275258
16.45,47,9.345237
4.9,11,9.386674
9.45,24,9.424113
-2.9,13,9.624231
7.35,20,9.655481
4.2,9,9.671106
4.9,11,9.706069
5.25,14,9.736978
19.95,57,9.833625
7.0,17,10.03786
7.0,22,10.09188
3.85,8,10.107504
10.45,44,10.186891
7.7,20,10.233766
10.15,51,10.516046
6.3,19,10.547296
9.45,25,10.596622
3.5,7,10.614737
6.3,15,10.630379
5.95,20,10.677254
7.35,18,10.88501
12.6,36,10.950271
5.25,13,10.981541
7.0,17,11.012792
9.45,24,11.062762
3.5,9,11.078403
5.25,12,11.110157
4.2,10,11.125662
9.45,24,11.35767
10.85,28,11.419363
4.2,9,11.434988
1.05,18,11.458861
7.7,19,11.504668
13.3,40,11.737087
5.25,12,11.768337
11.2,38,11.836814
6.3,15,11.868064
7.7,23,11.915829
8.4,21,11.946949
8.4,21,12.158544
21.7,66,12.282594
3.15,6,12.298219
3.5,15,12.329469
3.1,9,12.345094
5.95,14,12.375366
2.8,17,12.587876
5.95,14,12.603518
5.95,14,12.634767
6.65,19,12.666017
14.35,38,12.743879
4.55,10,12.759504
7.0,17,12.797521
18.2,50,13.063724
5.25,18,13.094975
6.65,16,13.125375
8.05,20,13.172251
8.75,36,13.421143
2.1,3,13.421143
7.0,17,13.459502
18.2,56,13.570952
6.65,16,13.592896
7.0,17,13.624148
5.6,13,13.654556
9.1,27,13.890931
14.7,43,13.982671
7.35,18,14.014937
5.5,27,14.061812
5.25,12,14.091108
7.65,23,14.308698
7.7,19,14.339964
12.6,33,14.386839
4.9,11,14.417291
8.4,21,14.464203
8.75,22,14.495452
5.95,14,14.711709
5.95,14,14.741924
6.65,16,14.788818
4.55,26,14.850253
8.75,24,14.897147
6.65,16,14.928398
6.65,16,14.959
6.3,15,15.165802
4.2,10,15.179576
4.55,10,15.195202
2.8,5,15.210826
5.6,21,15.242076
10.85,28,15.303667
6.65,16,15.334916
8.4,22,15.366168
6.3,15,15.576369
4.55,10,15.591994
6.65,16,15.625367
25.9,79,15.773591
4.55,10,15.804842
21.0,57,16.078452
4.2,9,16.094078
16.1,43,16.179423
11.2,29,16.398277
1.75,2,16.413901
14.0,37,16.49105
6.65,16,16.506675
8.4,21,16.553552
11.2,29,16.603536
4.55,10,16.619161
10.15,26,16.845108
32.2,91,17.026366
6.3,15,17.04201
5.95,14,17.254663
4.9,12,17.270288
6.3,15,17.307554
7.35,18,17.33824
8.75,22,17.385132
9.05,48,17.481725
11.55,30,17.701546
11.55,30,17.76371
8.05,20,17.794976
4.9,15,17.8326
7.0,19,17.874249
9.45,24,18.092912
14.7,41,18.155429
5.25,14,18.191993
10.15,26,18.239925
7.7,19,18.271174
8.4,21,18.317251
22.4,62,18.598376
8.4,21,18.646192
9.8,25,18.693087
3.85,8,18.708711
18.2,50,18.978572
2.1,3,18.978572
5.25,12,19.009822
8.05,20,19.041072
10.15,26,19.102526
5.6,13,19.118151
5.95,14,19.149402
21.0,63,19.44654
19.6,53,19.54087
10.15,26,19.75348
7.0,17,19.78473
7.0,17,19.81598
4.9,11,19.846269
4.55,10,19.861894
4.9,11,19.877519
9.8,25,19.934338
8.4,21,19.965986
2.1,3,19.981611
3.15,6,20.171306
7.7,19,20.202573
8.75,22,20.233823
5.95,14,20.279502
3.5,7,20.279502
12.25,32,20.342043
17.5,47,20.608782
12.95,34,20.671299
6.3,15,20.711911
2.8,5,20.717056
5.25,16,20.748307
10.15,28,20.795182
10.5,27,21.009713
5.6,16,21.0426
2.8,5,21.058263
18.55,50,21.158878
11.55,30,21.205777
5.25,16,21.423391
2.45,12,21.439011
6.65,16,21.475959
14.35,41,21.551251
2.45,8,21.56714
10.85,28,21.615982
7.7,19,21.647705
7.35,18,21.873185
16.8,45,21.952696
6.65,16,21.983842
5.95,16,22.029379
7.0,17,22.054422
4.2,9,22.07005
5.95,14,22.281813
4.55,10,22.297447
5.95,15,22.328736
5.95,15,22.359571
8.4,21,22.391191
10.5,27,22.437978
19.95,59,22.727304
5.95,14,22.758566
2.8,5,22.758566
4.55,10,22.792753
17.15,49,22.871156
12.6,33,23.112815
4.9,12,23.144375
7.7,19,23.175316
3.5,15,23.212376
13.3,35,23.268291
16.45,65,23.570384
21.35,60,23.686929
4.2,13,23.718181
9.8,25,23.766794
4.55,20,23.975242
4.85,16,24.006492
4.55,10,24.022372
8.05,22,24.076277
22.4,61,24.186786
4.55,10,24.387148
20.3,56,24.479686
17.5,47,24.580459
3.85,8,24.580459
4.9,11,24.784634
7.35,18,24.834557
10.15,27,24.881464
9.8,25,24.912702
3.85,12,24.95125
9.45,26,24.99819
9.1,24,25.21379
5.6,33,25.290804
3.5,7,25.30643
6.3,15,25.322529
8.75,27,25.376229
4.55,14,25.407756
8.75,24,25.454385
24.5,68,25.7628
12.25,37,25.840831
5.25,12,25.856715
10.85,28,26.084861
11.9,31,26.138788
6.3,15,26.170397
23.1,64,26.303751
5.6,13,26.486973
9.8,25,26.551253
15.75,42,26.614031
1.75,2,26.629683
4.2,9,26.645951
8.4,23,26.683572
12.95,36,26.910677
4.2,11,26.942179
5.6,13,26.976416
10.5,29,27.011941
2.45,6,27.027703
7.7,19,27.075375
6.3,15,27.091304
5.55,18,27.30126
11.9,31,27.354478
13.3,39,27.432516
16.05,46,27.528482
4.9,13,27.730446
3.5,7,27.74609
6.3,15,27.761717
8.4,21,27.808852
10.15,26,27.858596
7.0,25,27.9013
4.9,11,27.917215
7.35,19,27.96692
16.1,50,28.238031
5.6,13,28.276249
6.3,15,28.307518
7.35,18,28.338779
12.25,34,28.587673
20.65,58,28.691811
9.8,25,28.741163
9.45,24,28.772135
7.35,18,28.820121
6.3,15,29.022093
7.7,19,29.053699
5.25,12,29.084872
11.55,30,29.138776
12.95,34,29.201294
4.55,10,29.23363
2.05,8,29.234631
16.1,44,29.495096
7.7,19,29.542938
4.9,15,29.574206
7.0,17,29.605735
1.75,10,29.621453
7.0,23,29.675241
4.2,9,29.872098
10.5,27,29.919004
11.2,30,29.975629
1.05,16,30.009675
3.85,8,30.012803
9.45,26,30.059691
7.35,18,30.267169
17.85,49,30.36404
5.25,12,30.398067
10.15,28,30.449699
3.5,7,30.449699
7.35,18,30.49636
7.35,18,30.690074
4.9,11,30.721143
8.05,20,30.759591
14.0,37,30.822109
11.55,30,30.886727
6.3,15,30.902354
17.5,49,31.175744
14.7,39,31.244025
5.95,18,31.292931
8.4,21,31.325459
16.45,44,31.576761
8.4,21,31.622146
23.1,63,31.737797
6.65,16,31.947186
16.1,49,32.042709
4.2,9,32.063748
9.45,24,32.095301
6.3,15,32.13261
4.9,11,32.163198
5.6,17,32.375321
4.55,14,32.406595
9.45,24,32.453469
8.05,20,32.500261
15.05,40,32.56276
10.15,26,32.805365
8.0,45,32.883767
4.55,10,32.914973
10.15,30,32.963866
3.85,8,32.979772
8.4,21,33.025293
4.2,9,33.040936
5.6,13,33.254417
8.75,22,33.285925
5.25,12,33.317178
10.5,27,33.366922
6.3,15,33.398442
4.5,15,33.429685
3.15,6,33.454731
7.0,17,33.48261
17.45,54,33.759963
7.7,19,33.808933
8.75,22,33.840181
17.15,48,34.117041
8.75,22,34.157559
11.55,31,34.204689
6.3,15,34.242893
