#{"t_start": 1716405256.1227133, "env_id": "CenteringWorld-v0"}
r,l,t
-66.85,308,1.166873
-9.8,93,1.505342
3.45,37,1.566772
-2.1,54,1.644898
-3.15,125,2.026006
11.85,46,2.280221
8.4,53,2.373
7.0,22,2.404249
5.95,27,2.450262
5.6,17,2.676877
4.2,13,2.688438
3.5,8,2.704063
18.9,59,2.799116
5.95,19,2.814741
8.75,29,3.063383
5.25,14,3.079008
3.85,10,3.101279
5.25,18,3.117532
13.3,43,3.199373
3.1,11,3.213546
10.15,33,3.477008
7.7,25,3.515712
7.7,22,3.545993
5.25,18,3.57726
19.95,106,3.946773
7.35,18,3.985166
3.5,8,3.998926
3.5,9,4.000927
8.4,26,4.043777
2.8,5,4.059418
6.3,16,4.283259
5.6,23,4.32928
8.75,24,4.360545
8.75,34,4.407421
9.1,23,4.45309
6.65,21,4.6741
4.55,15,4.705349
23.45,74,4.829298
7.0,26,4.872179
5.25,16,5.098882
7.0,17,5.120669
10.5,27,5.167928
2.8,6,5.183559
7.0,17,5.208494
4.55,19,5.23733
2.8,5,5.23733
5.95,17,5.26858
13.3,37,5.531161
6.65,17,5.554175
5.25,12,5.5698
3.15,10,5.585425
9.45,39,5.646753
4.55,10,5.662396
5.25,14,5.862828
12.6,45,5.925327
8.4,21,5.968728
5.25,12,5.975913
11.55,33,6.038436
8.75,22,6.239771
8.75,23,6.271021
3.85,8,6.296025
2.8,5,6.305533
5.9,25,6.339819
9.8,27,6.386695
14.0,44,6.605211
5.25,12,6.625952
12.6,34,6.669883
24.5,76,6.965743
4.9,13,6.982409
8.75,28,7.029283
10.85,33,7.075183
8.75,22,7.122058
21.0,60,7.35942
19.25,59,7.476193
4.55,12,7.497793
2.1,5,7.506323
2.05,18,7.525024
1.4,26,7.730751
4.9,11,7.745909
7.35,18,7.77716
3.5,7,7.77716
4.55,10,7.792785
9.45,25,7.846981
4.55,10,7.862638
9.1,23,8.051249
4.2,10,8.066919
7.0,19,8.098169
12.6,34,8.160502
1.75,2,8.163934
2.45,4,8.166934
20.65,60,8.418925
6.3,19,8.450174
4.9,11,8.465799
12.6,34,8.5274
5.6,14,8.55865
3.85,8,8.55865
5.95,14,8.596767
5.6,18,8.62411
6.3,16,8.808671
2.45,5,8.816655
6.3,15,8.833328
5.25,12,8.848952
2.8,9,8.864577
6.65,16,8.895828
7.35,18,8.933724
29.4,96,9.290884
6.3,15,9.306509
5.95,25,9.360863
6.3,23,9.408488
5.25,16,9.608583
12.6,33,9.671106
7.0,17,9.720335
9.8,25,9.752604
15.75,44,9.849251
6.3,15,10.03786
15.75,47,10.138755
7.0,17,10.171247
2.45,4,10.186891
9.8,34,10.249395
3.15,6,10.249395
6.3,15,10.463024
2.35,19,10.500405
4.55,14,10.531672
6.3,17,10.562921
2.1,5,10.562921
3.15,14,10.610736
5.95,14,10.630379
19.25,52,10.900635
9.1,24,10.950271
9.1,23,10.997166
7.7,20,11.028416
14.7,44,11.125662
6.65,20,11.342045
8.4,21,11.388063
15.75,43,11.474486
10.15,26,11.520338
7.35,18,11.551587
6.3,17,11.752712
5.6,21,11.800151
1.75,7,11.819165
9.45,26,11.85244
8.05,20,11.899315
7.0,17,11.931306
4.15,13,11.946949
6.3,15,12.158544
7.0,17,12.189831
5.25,18,12.22108
16.45,46,12.313844
9.1,23,12.345094
7.0,17,12.39099
4.2,23,12.603518
7.35,18,12.634767
3.85,8,12.650392
4.55,10,12.666017
13.3,35,12.743879
7.35,18,12.775129
10.5,27,13.005259
7.7,19,13.044888
13.65,36,13.094975
7.0,17,13.141002
7.35,18,13.172251
5.25,12,13.203501
16.45,45,13.459502
9.8,25,13.506421
4.2,9,13.522045
7.0,17,13.567953
8.75,22,13.592896
6.65,16,13.641653
3.15,6,13.654556
7.0,17,13.871179
10.85,32,13.922181
8.7,25,13.982671
8.05,20,14.014937
7.7,19,14.046187
4.55,10,14.061812
12.25,35,14.308698
6.65,16,14.339964
9.1,25,14.386839
5.6,13,14.417291
16.1,54,14.680459
12.95,35,14.788818
21.35,59,14.897147
8.4,21,14.949856
9.8,27,15.179576
3.85,8,15.195202
22.05,62,15.303667
3.85,8,15.319292
4.2,9,15.334916
6.65,16,15.366168
5.25,12,15.560744
18.9,51,15.672242
28.0,79,15.982706
4.55,10,15.998331
8.05,20,16.047174
12.9,47,16.125328
2.45,4,16.143566
7.35,24,16.179423
4.2,13,16.210673
17.85,51,16.49105
10.5,28,16.537926
8.75,22,16.587894
12.95,34,16.813825
8.4,21,16.845108
9.45,24,16.891982
5.25,12,16.930546
4.15,14,16.946172
12.95,38,17.026366
3.85,9,17.04201
4.2,9,17.239
1.75,2,17.239
2.1,3,17.239
3.5,7,17.254663
4.9,17,17.291928
3.5,7,17.307554
2.1,3,17.307554
4.55,10,17.33824
6.3,15,17.353883
14.7,39,17.445443
9.8,25,17.654654
4.2,9,17.670295
6.3,15,17.701546
7.7,19,17.732796
6.3,19,17.779352
17.15,50,17.877454
7.35,19,18.088912
9.45,25,18.124178
5.25,12,18.139804
11.2,30,18.208673
7.35,22,18.255549
6.65,17,18.286799
2.1,7,18.286799
12.95,34,18.533896
4.2,9,18.551458
6.3,15,18.582749
19.6,53,18.677461
4.55,10,18.693087
10.85,28,18.930475
5.6,13,18.959931
18.55,51,19.041072
1.35,4,19.058457
10.5,27,19.102526
10.5,27,19.33486
14.7,39,19.415285
3.15,6,19.415285
4.85,17,19.44654
3.85,8,19.462165
5.6,13,19.496327
4.55,10,19.509604
10.15,29,19.556495
25.55,76,19.877519
10.15,26,19.929356
9.1,23,19.965986
4.55,10,20.171306
4.9,11,20.186947
5.95,14,20.202573
2.8,23,20.249448
10.5,27,20.310793
4.55,12,20.326418
3.15,6,20.342043
6.65,16,20.382064
4.55,12,20.403551
10.15,27,20.624424
10.85,30,20.671299
9.8,26,20.732682
5.25,17,20.763932
4.55,10,20.779557
2.8,9,20.795182
8.05,20,21.009713
5.25,12,21.0396
4.9,11,21.058263
7.0,17,21.073888
5.95,14,21.105139
5.95,14,21.143865
3.85,10,21.158878
6.65,16,21.190152
10.5,27,21.407513
5.25,12,21.439011
9.45,24,21.492869
7.7,19,21.52726
7.0,17,21.551251
16.45,44,21.631607
0.7,15,21.841935
4.2,13,21.873185
5.25,24,21.921062
9.1,23,21.952696
7.0,17,21.983842
9.8,25,22.050297
7.0,17,22.07005
11.55,39,22.328736
12.6,47,22.422453
7.35,18,22.455354
4.2,9,22.476269
9.45,29,22.696054
3.5,7,22.711679
8.75,26,22.758566
18.55,52,22.855762
6.65,16,22.896144
2.1,7,22.905466
5.95,14,23.112815
5.25,12,23.128453
6.65,16,23.159692
4.55,14,23.191225
8.75,22,23.237039
4.9,11,23.252382
