#{"t_start": 1716403087.2899923, "env_id": "CenteringWorld-v0"}
r,l,t
0.36,225,0.92496
0.74,267,1.825917
1.43,65,2.191493
1.33,77,2.292568
1.51,44,2.627997
1.67,47,2.69684
1.75,47,3.011272
1.76,30,3.058144
1.61,31,3.099795
1.63,19,3.125947
1.55,12,3.141592
1.09,38,3.456152
1.6,16,3.471777
1.61,13,3.503026
1.19,30,3.548873
1.65,19,3.564497
1.65,25,3.611372
1.64,18,3.641649
1.63,18,3.928992
1.53,9,3.948649
1.53,5,3.956068
1.17,25,3.99463
1.01,4,3.99463
1.58,11,4.010255
1.54,7,4.02588
1.63,19,4.059059
1.62,16,4.074901
1.55,7,4.090545
1.66,20,4.392509
1.59,14,4.423781
1.64,16,4.439405
1.6,14,4.470655
1.73,28,4.508358
1.52,11,4.524006
1.73,27,4.57088
1.6,12,4.861291
1.61,13,4.892543
1.66,18,4.908168
1.66,20,4.942562
1.69,22,4.973814
1.73,25,5.02069
1.61,13,5.04874
1.66,18,5.321674
1.63,21,5.367543
1.57,11,5.371563
1.59,13,5.402822
1.54,8,5.402822
1.78,31,5.466985
1.64,17,5.488346
1.65,20,5.519609
1.58,10,5.786308
1.62,15,5.803942
1.65,17,5.835192
1.14,20,5.866442
1.63,15,5.889212
1.74,26,5.92065
1.65,17,5.9519
1.75,27,6.183169
1.15,19,6.216895
1.69,21,6.236556
1.09,21,6.284057
1.51,3,6.291829
1.52,4,6.291829
1.67,23,6.33735
1.7,22,6.542667
1.63,15,6.573927
1.57,10,6.589552
1.63,15,6.605177
1.66,20,6.653071
1.56,8,6.659324
1.67,20,6.690585
1.56,8,6.70621
1.54,6,6.70621
1.67,19,6.753906
1.58,14,6.922883
1.56,8,6.938508
1.74,28,6.992649
1.64,16,7.008284
1.6,17,7.039533
1.59,11,7.055159
1.58,10,7.08449
1.7,22,7.119748
1.64,20,7.312487
1.65,17,7.328122
1.65,17,7.365679
1.63,15,7.381305
1.65,25,7.429098
1.66,18,7.460347
1.6,12,7.475973
1.66,20,7.672904
1.75,27,7.723439
1.73,25,7.758287
1.61,22,7.789537
1.71,25,7.838495
1.6,12,7.854131
1.67,19,8.050983
1.68,20,8.082258
1.56,8,8.082258
1.66,19,8.129133
1.73,26,8.166762
1.59,11,8.182412
1.64,16,8.213658
1.56,8,8.229282
1.83,37,8.459455
1.61,13,8.491721
1.58,10,8.507375
1.67,23,8.538625
1.62,18,8.569875
1.54,6,8.589276
1.63,15,8.600932
1.77,29,8.813475
1.66,18,8.84475
1.74,26,8.891626
1.62,14,8.929331
1.6,12,8.957409
1.7,22,8.989839
1.58,10,9.00546
1.65,17,9.221044
1.72,24,9.282488
1.61,27,9.329364
1.69,21,9.375278
1.11,20,9.395953
1.59,17,9.427203
1.61,17,9.636522
1.74,26,9.683399
1.78,31,9.753304
1.71,23,9.802801
1.67,21,9.833493
1.56,8,9.849118
1.73,25,10.078278
1.57,9,10.093902
1.64,16,10.126484
1.59,11,10.142814
1.61,13,10.174075
1.69,21,10.205324
1.73,25,10.254352
1.24,29,10.507488
1.7,22,10.545007
1.57,9,10.574191
1.64,20,10.595075
1.73,25,10.641946
1.65,17,10.679351
1.67,19,10.726237
1.65,17,10.924088
1.72,24,10.970963
1.66,26,11.024189
1.7,22,11.062704
1.52,16,11.104183
1.6,20,11.140852
1.6,15,11.346005
1.74,27,11.392882
1.76,28,11.442856
1.71,23,11.489741
1.67,19,11.520995
1.71,23,11.574191
1.58,12,11.783463
1.59,11,11.799088
1.69,21,11.845963
1.62,20,11.884515
1.71,23,11.931416
1.67,19,11.975285
1.57,9,11.979338
1.68,20,12.231589
1.71,23,12.278464
1.61,13,12.309522
1.65,17,12.340799
1.57,10,12.356424
1.62,17,12.387674
1.76,28,12.457492
1.72,24,12.694998
1.59,11,12.710622
1.63,15,12.758535
1.66,18,12.789785
1.71,23,12.821035
1.65,17,12.858509
1.59,11,12.874162
1.76,28,13.104384
1.7,22,13.135634
1.68,20,13.185421
1.61,13,13.204334
1.72,24,13.251235
1.8,32,13.31279
1.59,11,13.328443
1.71,23,13.550186
1.56,8,13.56581
1.62,14,13.581435
1.69,25,13.646056
1.65,19,13.677332
1.66,18,13.713994
1.63,15,13.733597
1.6,12,13.94289
1.57,9,13.966866
1.58,10,13.97615
1.72,24,14.023036
1.71,23,14.071867
1.68,20,14.107582
1.58,10,14.123208
1.67,20,14.154457
1.68,20,14.379498
1.63,15,14.429353
1.63,15,14.445004
1.71,23,14.491875
1.57,9,14.507499
1.8,32,14.577318
1.63,15,14.608564
1.55,9,14.627191
1.64,16,14.856508
1.61,13,14.875159
1.64,16,14.906409
1.68,20,14.937659
1.68,21,14.975231
1.62,14,15.006505
1.61,14,15.02213
1.63,15,15.053381
1.59,11,15.248143
1.52,4,15.248143
1.61,13,15.292133
1.6,12,15.304389
1.54,6,15.320019
1.55,7,15.335644
1.65,17,15.366894
1.7,22,15.404403
1.64,16,15.435678
1.68,21,15.652348
1.7,22,15.683594
1.59,13,15.716209
1.67,19,15.746265
1.74,26,15.79314
1.65,17,15.841965
1.59,11,15.847008
1.6,12,15.878268
1.6,13,16.08344
1.65,21,16.130318
1.54,6,16.130318
1.69,21,16.179319
1.62,14,16.210568
1.68,21,16.241818
1.56,8,16.26334
1.63,15,16.295076
1.75,27,16.520127
1.73,26,16.567001
1.65,17,16.612782
1.62,14,16.628434
1.59,11,16.659684
1.68,20,16.690934
1.55,7,16.709775
1.54,6,16.722061
1.67,19,16.94194
1.65,17,16.973218
1.64,16,17.004468
1.57,9,17.020796
1.55,8,17.041957
1.64,16,17.057609
1.56,8,17.073234
1.73,25,17.120105
1.63,15,17.165915
1.65,17,17.378345
1.57,9,17.39397
1.62,14,17.417199
1.61,13,17.432829
1.63,16,17.480324
1.61,13,17.495988
1.6,12,17.511614
1.67,19,17.542863
1.79,31,17.804387
1.59,11,17.820033
1.68,20,17.851283
1.66,18,17.882537
1.78,31,17.951022
1.73,25,17.98795
1.65,17,18.026188
1.55,7,18.216874
1.55,7,18.234498
1.67,19,18.265776
1.67,19,18.297025
1.57,9,18.312651
1.63,15,18.350215
1.81,33,18.397118
1.71,23,18.637927
1.58,14,18.671714
1.76,28,18.714902
1.73,25,18.761773
1.61,13,18.797053
1.68,20,18.828327
1.56,9,18.843953
1.61,13,18.875203
1.59,11,19.055538
1.73,29,19.122048
1.55,7,19.122048
1.52,10,19.153324
1.55,7,19.153324
1.71,23,19.2002
1.54,6,19.217216
1.57,9,19.233567
1.63,15,19.264843
1.55,12,19.280467
1.61,13,19.475091
1.64,16,19.506341
1.62,14,19.538331
1.6,12,19.558551
1.51,3,19.558551
1.61,13,19.589826
1.67,19,19.621076
1.62,14,19.636702
1.74,28,19.879393
1.63,15,19.910668
1.77,29,19.957543
1.65,17,19.987723
1.6,12,20.019
1.6,13,20.034624
1.65,18,20.077562
1.59,15,20.107554
1.68,20,20.31372
1.72,24,20.360618
1.66,18,20.391869
1.15,19,20.430414
1.57,9,20.446044
1.59,11,20.461668
1.66,18,20.492918
1.64,16,20.541863
1.75,27,20.79811
1.78,30,20.862786
1.71,23,20.894037
1.68,21,20.942372
1.63,15,20.962788
1.62,14,21.179416
1.81,33,21.234751
1.66,18,21.279525
1.64,16,21.300225
1.65,17,21.331475
1.76,28,21.385426
1.6,13,21.401208
1.53,5,21.607581
1.68,20,21.639867
1.53,5,21.639867
1.64,16,21.678388
1.69,21,21.723193
1.65,17,21.741842
1.73,29,21.804342
1.52,4,21.804342
1.67,20,22.029371
1.68,20,22.067947
1.65,18,22.099222
1.63,15,22.130468
1.55,7,22.154409
1.73,25,22.20026
1.63,15,22.215889
1.63,15,22.247136
1.59,12,22.447054
1.65,17,22.49197
1.61,13,22.516892
1.57,9,22.532517
1.7,23,22.563767
1.61,13,22.617868
1.53,5,22.633515
1.66,18,22.664766
1.73,26,22.908536
1.66,18,22.947082
1.66,18,22.978358
1.52,4,22.978358
1.74,26,23.042844
1.72,24,23.074105
1.71,23,23.12098
1.71,23,23.345049
1.68,20,23.375223
1.74,26,23.422124
1.62,14,23.453378
1.71,23,23.49923
1.72,24,23.546105
1.67,19,23.74388
1.61,13,23.782698
1.69,21,23.822061
1.61,13,23.837713
1.58,10,23.868963
1.69,21,23.915041
1.6,14,23.932703
1.71,23,23.979567
1.65,17,24.174138
1.53,5,24.189762
1.71,23,24.221013
1.68,20,24.275209
1.72,24,24.31277
1.77,29,24.374241
1.65,17,24.588763
1.69,21,24.635652
1.57,9,24.651277
1.59,11,24.666901
1.63,15,24.704411
1.51,3,24.704411
1.6,16,24.735685
1.61,13,24.766936
1.69,21,24.813729
1.73,25,25.050247
1.66,18,25.081497
1.8,36,25.151327
1.6,12,25.166979
1.61,14,25.198228
1.61,13,25.213854
1.67,19,25.261753
1.57,9,25.454465
1.62,14,25.485731
1.82,34,25.532605
1.65,18,25.579371
1.57,9,25.594996
1.72,24,25.641876
1.56,8,25.6575
1.61,13,25.67939
1.72,24,25.918043
1.69,21,25.949318
1.65,18,25.996443
1.55,7,26.01209
1.77,29,26.058965
1.64,16,26.091544
1.61,13,26.112788
1.54,6,26.12844
1.68,20,26.341806
1.67,19,26.373056
1.66,18,26.404307
1.59,11,26.441887
1.71,23,26.474146
1.63,15,26.5054
1.73,25,26.751257
1.72,24,26.798153
1.7,22,26.849554
1.74,26,26.899233
1.7,22,26.930484
1.56,8,26.961659
1.51,3,26.962774
1.72,24,27.18677
1.8,32,27.233644
1.58,10,27.24927
1.55,7,27.279421
1.68,20,27.310693
1.64,16,27.341943
1.7,22,27.388753
1.6,12,27.404396
1.67,19,27.616896
1.66,18,27.648147
1.65,17,27.679396
1.63,15,27.713705
1.66,18,27.744974
1.62,14,27.776224
1.79,31,27.830396
1.59,11,28.037856
1.68,20,28.058545
1.75,27,28.10542
1.59,11,28.137702
1.55,7,28.156593
1.66,18,28.174236
1.6,12,28.205485
1.62,16,28.221111
1.61,13,28.446176
1.65,17,28.490877
1.65,17,28.512707
1.57,9,28.528332
1.57,9,28.550308
1.69,21,28.596088
1.68,20,28.62736
1.76,28,28.674235
1.68,20,28.913266
1.64,16,28.928912
1.78,30,28.991412
1.65,17,29.030437
1.62,14,29.046082
1.72,24,29.083778
1.79,31,29.322121
1.74,26,29.369988
1.71,23,29.401239
1.63,15,29.452456
1.58,10,29.490757
1.55,7,29.492754
1.76,28,29.845021
1.48,8,29.86715
1.78,34,29.931524
1.67,19,29.974861
1.65,17,30.00873
1.63,15,30.036721
1.6,12,30.061189
1.63,15,30.096195
1.56,8,30.309738
1.65,17,30.342271
1.59,11,30.363379
1.5,2,30.367007
1.67,21,30.413602
1.68,20,30.449044
1.59,11,30.47005
1.65,17,30.509751
1.56,8,30.52408
1.6,12,30.545022
1.67,19,30.795354
1.66,18,30.841765
1.72,24,30.88864
1.61,13,30.920378
1.65,17,30.95447
1.57,9,30.970095
1.67,19,31.001345
1.71,23,31.204463
1.66,18,31.2493
1.52,5,31.250301
1.64,16,31.27529
1.57,9,31.290916
1.77,29,31.355397
1.61,21,31.386666
1.67,23,31.584558
1.64,16,31.612808
1.75,27,31.659688
1.6,12,31.692937
1.62,14,31.708581
1.71,23,31.750268
1.62,14,31.787796
1.63,15,31.811858
1.65,17,32.012829
1.73,27,32.059729
1.64,16,32.090979
1.59,13,32.122093
1.13,16,32.153368
1.66,18,32.184618
1.67,19,32.220309
1.73,25,32.421093
1.61,13,32.459631
1.59,11,32.475278
1.66,18,32.506528
1.64,16,32.522152
1.62,14,32.554496
1.61,13,32.585766
1.7,22,32.628468
1.71,25,32.871175
1.6,12,32.886823
1.6,12,32.902452
1.68,20,32.949323
1.63,15,32.983627
1.56,12,32.999278
1.65,17,33.030528
1.55,7,33.030528
1.59,15,33.227434
1.66,18,33.25868
1.71,23,33.308626
1.67,19,33.350292
1.7,22,33.381542
1.63,15,33.412894
1.63,15,33.444147
1.61,13,33.631395
1.71,23,33.6783
1.72,24,33.726509
1.55,7,33.741966
1.67,19,33.773236
1.68,24,33.804486
1.53,5,33.820111
1.63,15,33.850352
1.61,13,34.058854
1.64,16,34.093075
1.68,20,34.112719
1.7,22,34.159594
1.77,29,34.223227
1.67,19,34.254476
1.56,8,34.270101
1.78,30,34.508763
1.6,12,34.52845
1.7,22,34.5597
1.67,19,34.59095
1.64,16,34.638571
1.66,18,34.669823
1.65,17,34.701072
1.63,15,34.910713
1.71,23,34.960779
1.75,27,34.995074
1.61,13,35.026321
1.72,24,35.074281
1.75,27,35.121156
1.52,4,35.136785
1.65,17,35.333679
1.68,22,35.380458
1.64,16,35.411728
1.51,3,35.411728
1.63,15,35.448266
1.54,6,35.450326
1.61,13,35.465954
1.69,22,35.511804
1.73,29,35.757555
1.69,21,35.788806
1.56,8,35.822077
1.56,8,35.822077
1.67,23,35.868971
1.75,27,35.934796
1.74,26,35.975351
1.68,20,36.193067
1.62,14,36.208692
1.62,14,36.24235
1.61,13,36.270134
1.71,23,36.301384
1.68,20,36.356533
1.63,15,36.3785
1.76,29,36.621192
1.6,12,36.645208
1.64,16,36.680446
1.6,12,36.696093
1.73,25,36.758594
1.71,23,36.797115
1.55,7,36.812767
1.59,11,36.828393
1.5,2,36.828393
1.6,12,37.06183
1.65,17,37.094438
1.69,21,37.124462
1.53,5,37.140088
1.71,23,37.186963
1.6,12,37.214955
1.61,13,37.233598
1.64,16,37.249223
1.65,17,37.461936
1.64,16,37.493186
1.69,21,37.524434
1.74,26,37.574272
1.64,16,37.605522
1.5,2,37.605522
1.59,11,37.630514
1.65,17,37.665707
1.71,23,37.892873
1.67,19,37.924145
1.78,30,37.97102
1.73,25,38.024285
1.68,20,38.055534
1.68,20,38.112772
1.77,29,38.34231
1.71,23,38.373581
1.53,5,38.389206
1.62,14,38.404832
1.64,16,38.453468
1.7,26,38.486737
1.59,11,38.502362
1.64,16,38.70341
1.55,7,38.719035
1.69,21,38.765911
1.69,21,38.80443
1.7,24,38.851305
1.58,12,38.86693
1.55,7,38.886644
1.7,22,38.936758
1.65,17,39.151393
1.57,9,39.167038
1.65,18,39.212156
1.58,10,39.22881
1.66,18,39.26006
1.63,15,39.275686
1.64,16,39.326304
1.7,22,39.357572
1.68,20,39.577533
1.66,18,39.593158
1.66,18,39.648428
1.74,26,39.687848
1.52,4,39.687848
1.6,12,39.7191
1.61,13,39.734725
1.6,12,39.768019
1.79,31,40.01495
1.63,15,40.0462
1.54,6,40.0462
1.64,16,40.095173
1.73,25,40.128443
1.65,17,40.159693
1.68,20,40.212864
1.6,12,40.403462
1.8,32,40.473242
1.58,11,40.491041
1.65,17,40.523323
1.62,14,40.538806
1.56,8,40.554449
1.74,26,40.601325
1.78,30,40.837831
1.69,21,40.875355
1.57,9,40.890999
1.63,15,40.922249
1.65,17,40.953499
1.56,8,40.983734
1.53,5,40.983734
1.73,25,41.030629
1.63,15,41.061878
1.68,20,41.271303
1.69,21,41.31802
1.6,12,41.333673
1.59,11,41.364923
1.66,18,41.400676
1.75,27,41.445068
1.63,15,41.479563
1.65,17,41.676392
1.72,24,41.73828
1.62,14,41.753923
1.63,15,41.785173
1.63,15,41.808723
1.66,18,41.853479
1.58,10,41.870122
1.71,23,42.085838
1.57,9,42.101463
1.66,18,42.132713
1.59,11,42.157509
1.53,5,42.163804
1.56,8,42.179448
1.71,23,42.210698
1.65,17,42.241947
1.75,27,42.296032
1.7,22,42.514987
1.79,31,42.561862
1.61,13,42.592029
1.57,9,42.607677
1.79,31,42.670178
1.62,14,42.70034
1.72,24,42.922107
1.61,13,42.937753
1.6,12,42.969003
1.66,18,43.017152
1.62,14,43.032783
1.67,19,43.064032
1.62,14,43.095278
1.64,19,43.13686
1.6,12,43.343028
1.52,4,43.343028
1.6,12,43.374297
1.64,16,43.396219
1.63,15,43.43669
1.65,17,43.458048
1.67,19,43.48905
1.0,1,43.48905
1.57,9,43.5203
1.57,9,43.53689
1.66,19,43.566977
1.63,15,43.782656
1.66,18,43.813918
1.67,19,43.862379
1.62,14,43.880483
1.67,19,43.923207
1.65,17,43.954762
1.53,5,43.954762
1.63,15,43.993999
1.59,11,44.009928
1.73,25,44.244079
1.61,13,44.259954
1.59,11,44.291656
1.54,6,44.308865
1.57,9,44.312865
1.68,20,44.344145
1.7,22,44.39152
1.56,8,44.420201
1.58,11,44.437224
1.74,27,44.663144
1.64,17,44.694478
1.66,18,44.740046
1.64,16,44.758955
1.58,10,44.774573
1.69,21,44.8212
1.67,19,44.859654
1.67,19,45.111151
1.74,27,45.158025
1.56,9,45.192972
1.72,24,45.2245
1.66,18,45.255749
1.66,18,45.30964
1.62,14,45.325295
1.62,14,45.553684
1.66,18,45.584673
1.81,33,45.654823
1.66,18,45.685738
1.72,24,45.733685
1.68,20,45.765216
1.78,30,46.021499
1.64,16,46.059795
1.54,6,46.063794
1.74,26,46.1107
1.68,20,46.14195
1.73,25,46.197526
1.69,21,46.4045
1.67,19,46.451621
1.6,12,46.467471
1.69,21,46.517487
1.62,14,46.532628
1.65,17,46.571301
1.55,7,46.571301
1.63,15,46.615116
1.56,8,46.617116
1.67,19,46.830488
1.64,16,46.862019
1.57,9,46.877642
1.7,22,46.908895
1.58,10,46.947168
1.71,23,46.978693
1.69,21,47.041441
1.57,9,47.063825
1.73,25,47.319471
1.54,6,47.334961
1.67,19,47.370514
1.71,23,47.404506
1.63,15,47.435998
1.63,15,47.472045
1.67,19,47.500323
1.64,16,47.705524
1.66,18,47.737054
1.74,26,47.783936
1.65,17,47.821218
1.57,9,47.837138
1.7,22,47.868481
1.7,22,47.92094
1.0,1,47.928471
1.65,17,48.125317
1.67,19,48.162924
1.63,15,48.194468
1.66,18,48.225683
1.74,26,48.271313
1.72,24,48.318203
1.57,9,48.333828
1.62,14,48.528482
1.71,23,48.55997
1.67,19,48.613841
1.74,26,48.645458
1.61,13,48.676617
1.74,26,48.729767
1.5,2,48.729767
1.7,22,48.941464
1.68,20,48.988206
1.64,18,49.028384
1.58,10,49.034693
1.75,27,49.081598
1.59,11,49.112848
1.61,13,49.147368
1.67,19,49.375607
1.67,19,49.406867
1.69,21,49.438156
1.65,17,49.476351
1.64,16,49.507879
1.75,27,49.569208
1.69,21,49.603734
1.66,18,49.804524
1.57,9,49.82018
1.72,24,49.86746
1.64,16,49.90459
1.61,13,49.920247
1.6,12,49.936136
1.75,27,49.982997
1.77,29,50.242473
1.64,16,50.273747
