#{"t_start": 1716403087.2899923, "env_id": "CenteringWorld-v0"}
r,l,t
-1.6,413,1.715439
0.98,71,1.825917
1.44,60,2.160242
1.53,72,2.276943
1.61,39,2.581104
1.52,42,2.649944
1.66,48,2.728089
1.78,57,3.058144
1.5,8,3.072531
1.66,26,3.099795
1.52,5,3.118523
1.79,49,3.193369
1.57,23,3.471777
1.61,16,3.487402
1.63,18,3.527901
1.54,9,3.533229
1.65,22,3.564497
1.58,10,3.580122
1.65,20,3.611372
1.66,24,3.897739
1.67,21,3.952423
1.67,22,3.979005
1.64,16,4.010255
1.7,26,4.041505
1.75,31,4.090545
1.58,19,4.408157
1.64,19,4.423781
1.7,24,4.470655
1.17,31,4.524006
1.64,27,4.555256
1.57,11,4.586506
1.54,8,4.861291
1.67,19,4.892543
1.59,11,4.908168
1.66,20,4.942562
1.57,11,4.958189
1.54,9,4.973814
1.78,32,5.036315
1.72,24,5.321674
1.59,11,5.337299
1.64,18,5.371563
1.55,7,5.387197
1.64,16,5.402822
1.68,20,5.434072
1.61,13,5.465322
1.55,7,5.475234
0.54,13,5.488346
1.63,16,5.519609
1.6,12,5.786308
1.64,16,5.803942
1.64,17,5.835192
1.59,12,5.850818
1.77,29,5.902005
1.7,23,5.936275
1.69,22,6.151922
1.68,20,6.183169
1.73,26,6.220921
1.72,24,6.267806
1.58,10,6.287819
1.75,31,6.338349
1.74,26,6.558302
1.69,21,6.589552
1.73,27,6.640535
1.55,11,6.659324
1.14,26,6.690585
1.66,18,6.721835
1.58,10,6.737459
1.66,18,6.922883
1.69,29,6.985401
1.53,5,6.992649
1.56,8,6.992649
1.62,14,7.023908
1.61,15,7.055159
1.67,19,7.08749
1.62,14,7.104124
1.67,19,7.304203
1.61,21,7.328122
1.69,23,7.365679
1.57,9,7.381305
1.6,12,7.412455
1.71,23,7.444723
1.62,14,7.460347
1.54,6,7.475973
1.61,13,7.657279
1.55,11,7.672904
1.67,19,7.704154
1.71,23,7.742653
1.62,18,7.773913
1.72,24,7.820788
1.7,26,7.854131
1.56,8,8.016644
1.6,12,8.050983
1.69,21,8.082258
1.65,17,8.113508
1.72,24,8.15453
1.71,23,8.182412
1.7,23,8.229282
1.69,21,8.4282
1.67,19,8.459455
0.94,15,8.491721
1.64,17,8.523
1.77,31,8.569875
1.69,21,8.616583
1.7,22,8.813475
1.56,8,8.829125
1.68,20,8.860375
1.65,17,8.891626
1.49,5,8.907251
1.6,12,8.929331
1.73,25,8.974214
1.63,15,9.00546
1.71,23,9.221044
1.72,24,9.282488
0.68,22,9.313738
1.63,15,9.344984
1.77,29,9.395953
1.62,14,9.427203
1.58,10,9.442827
1.66,19,9.652153
1.63,15,9.683399
1.74,28,9.737679
1.55,7,9.753304
1.6,12,9.784554
1.68,21,9.817843
1.51,3,9.833493
1.61,17,9.864743
1.71,29,10.078278
1.66,18,10.126484
1.78,30,10.174075
1.74,26,10.220951
1.56,8,10.254352
1.65,17,10.285629
1.71,27,10.526241
1.61,21,10.566981
1.64,16,10.595075
1.75,35,10.663531
1.65,17,10.694987
1.62,14,10.726237
1.59,13,10.924088
1.66,18,10.955338
1.71,23,11.006538
1.54,14,11.024189
1.66,18,11.062704
1.66,18,11.100178
1.67,19,11.125227
1.51,3,11.140852
1.64,16,11.346005
1.74,26,11.392882
1.78,30,11.458492
1.52,4,11.458492
1.76,28,11.505366
1.76,30,11.574191
1.59,11,11.783463
1.71,23,11.830338
1.57,19,11.867564
1.63,15,11.900166
1.65,17,11.915791
1.76,28,11.979338
1.63,15,12.010613
1.73,25,12.278464
1.74,27,12.325173
1.76,36,12.403299
1.61,13,12.426214
1.68,21,12.457492
1.73,25,12.710622
1.57,9,12.742883
1.55,8,12.742883
1.57,9,12.758535
1.58,10,12.789785
1.52,4,12.789785
1.61,13,12.821035
1.75,27,12.874162
1.58,12,12.889786
1.62,14,12.921037
1.62,14,13.12001
1.59,11,13.135634
1.57,9,13.151259
1.52,4,13.151259
1.57,9,13.166884
1.68,21,13.219985
1.64,16,13.23561
1.63,15,13.26686
1.61,13,13.299613
1.57,9,13.31279
1.54,6,13.328443
1.72,24,13.550186
1.6,12,13.56581
1.77,29,13.612685
1.79,31,13.677332
1.53,5,13.692957
1.75,27,13.733597
1.6,12,13.94289
1.7,23,13.991786
1.06,9,14.007411
1.67,19,14.038661
1.65,17,14.083538
1.61,13,14.107582
1.72,24,14.138832
1.77,29,14.379498
