#{"t_start": 1716403087.2815971, "env_id": "CenteringWorld-v0"}
r,l,t
0.9,24,0.295732
-0.55,469,1.849937
1.55,34,2.153012
1.6,25,2.184263
1.54,24,2.231182
1.63,38,2.285338
1.57,19,2.300963
1.15,31,2.605143
1.68,36,2.658339
1.59,63,2.764449
1.75,42,3.06654
1.09,60,3.149987
1.59,16,3.181236
1.63,29,3.464547
1.71,38,3.537585
1.69,25,3.572892
1.09,31,3.619768
1.64,22,3.906135
1.67,27,3.960818
1.59,11,3.971755
1.75,35,4.01865
1.59,13,4.0499
1.75,29,4.09894
1.71,24,4.400904
1.66,19,4.432176
1.57,9,4.4478
1.16,22,4.494676
1.59,11,4.512615
1.62,15,4.532401
1.61,13,4.548026
1.65,19,4.579276
1.72,24,4.885313
1.67,20,4.916563
1.58,12,4.950957
1.55,8,4.950957
1.67,26,4.997834
1.65,23,5.029085
1.51,3,5.029085
1.67,21,5.330069
1.08,11,5.345694
1.64,16,5.37696
1.67,22,5.411217
1.66,18,5.426842
1.62,14,5.458092
1.09,18,5.491703
1.57,16,5.512375
1.1,19,5.790461
1.68,20,5.812337
1.64,16,5.843588
1.65,17,5.859213
1.7,22,5.909401
1.65,18,5.929045
1.73,25,5.975919
1.52,4,6.160317
1.75,27,6.208435
1.66,19,6.229316
1.64,16,6.260576
1.63,15,6.292452
1.59,11,6.300224
1.56,8,6.315876
1.61,17,6.346744
1.51,3,6.346744
1.71,23,6.566698
1.62,26,6.613572
1.57,9,6.6292
1.72,24,6.667719
1.62,14,6.683354
1.71,24,6.73023
1.63,15,6.761988
1.67,19,6.946903
1.15,18,6.978153
1.6,12,7.000044
1.55,7,7.001045
1.67,19,7.032303
1.6,12,7.063554
1.67,21,7.096884
1.08,21,7.128144
1.74,27,7.336518
1.67,19,7.358448
1.59,20,7.3897
1.61,18,7.42185
1.65,18,7.453118
1.58,16,7.484368
1.61,14,7.665674
1.68,24,7.696924
1.74,26,7.751048
1.7,24,7.782308
1.51,3,7.797932
1.56,8,7.813559
1.71,23,7.84689
1.75,27,8.053109
1.71,23,8.090653
1.19,22,8.121903
1.67,19,8.158261
1.66,18,8.190807
1.73,25,8.222053
1.0,1,8.222053
1.76,35,8.452221
1.77,33,8.51577
1.5,2,8.51577
1.67,19,8.54702
1.67,19,8.57827
1.62,34,8.810168
1.66,18,8.837521
1.6,12,8.853145
1.62,14,8.884396
1.59,11,8.900021
1.7,26,8.960366
1.79,31,9.013855
1.66,18,9.229439
1.66,18,9.275231
1.69,21,9.306509
1.7,22,9.353379
1.64,21,9.388711
1.52,6,9.404348
1.67,19,9.435598
1.65,17,9.644917
1.63,16,9.660548
1.62,14,9.691794
1.58,11,9.730424
1.77,29,9.777324
1.6,12,9.792949
1.54,6,9.824239
1.63,15,9.841888
1.73,26,10.071048
1.78,30,10.117923
1.21,24,10.166844
1.65,17,10.198095
