#{"t_start": 1716403087.2899923, "env_id": "CenteringWorld-v0"}
r,l,t
-1.32,460,1.794668
1.58,69,2.144617
1.35,110,2.314251
1.64,44,2.634135
1.76,44,2.69684
1.06,20,2.728089
1.69,37,3.026895
1.6,22,3.058144
1.74,30,3.099795
1.64,19,3.125947
1.65,23,3.172841
1.76,45,3.487402
1.59,15,3.503026
1.78,32,3.548873
1.72,34,3.611372
1.66,19,3.641649
1.12,22,3.928992
1.77,32,3.979005
1.63,16,4.010255
1.73,28,4.059059
1.64,17,4.074901
1.1,13,4.10617
1.16,25,4.408157
1.68,26,4.45503
1.52,10,4.470655
1.68,22,4.508358
1.8,32,4.555256
1.65,17,4.861291
1.66,19,4.892543
1.63,21,4.93325
1.69,21,4.958189
1.74,26,5.005065
1.15,22,5.041315
1.63,15,5.055001
1.18,22,5.355911
1.71,25,5.387197
1.62,14,5.402822
1.62,14,5.434072
1.16,23,5.475234
1.72,24,5.503979
1.57,17,5.785309
1.51,3,5.788308
1.72,25,5.819568
1.67,19,5.850818
1.67,19,5.889212
1.56,8,5.902005
1.66,18,5.92065
1.56,8,5.936275
1.68,24,6.151922
1.7,22,6.198794
1.54,6,6.208646
1.78,30,6.252181
1.52,4,6.252181
1.64,17,6.291829
1.66,20,6.329263
1.62,14,6.338349
1.65,17,6.558302
1.69,21,6.589552
1.66,18,6.620805
1.59,11,6.640535
1.56,9,6.657324
1.67,19,6.674958
1.76,29,6.737459
1.64,16,6.907258
1.67,27,6.954133
1.52,6,6.973624
1.59,11,6.992649
1.7,22,7.023908
1.66,20,7.055159
1.69,23,7.088489
1.54,12,7.119748
1.61,13,7.306208
1.55,7,7.312487
1.6,12,7.328122
1.75,29,7.381305
1.51,9,7.40084
1.67,19,7.429098
1.63,15,7.444723
1.67,20,7.475973
1.62,14,7.657279
1.6,14,7.688529
1.66,18,7.722439
1.72,24,7.758287
1.62,16,7.789537
1.57,9,7.805164
1.6,16,7.83346
1.69,25,7.873856
1.64,16,8.050983
1.79,33,8.097883
1.64,17,8.129133
1.68,24,8.166762
1.59,14,8.198037
1.65,17,8.229282
1.8,32,8.443826
1.69,23,8.491721
1.67,19,8.523
1.66,18,8.55425
1.67,19,8.596898
1.56,26,8.798972
1.67,19,8.829125
1.6,12,8.84475
1.64,16,8.876
1.8,33,8.94997
1.72,24,8.989839
1.75,31,9.221044
1.58,10,9.253013
1.64,24,9.298114
1.06,15,9.329364
1.77,29,9.380316
1.58,10,9.395953
1.6,20,9.427203
1.64,16,9.636522
1.64,22,9.683399
1.71,23,9.737679
1.68,20,9.768929
1.7,22,9.817843
1.69,25,9.864743
1.76,28,10.078278
1.7,23,10.140816
1.57,9,10.142814
1.72,24,10.1897
1.76,30,10.254352
1.58,10,10.270004
1.7,26,10.507488
1.66,18,10.545007
1.64,16,10.579422
1.63,23,10.626325
1.73,27,10.679351
1.58,16,10.710612
1.74,32,10.939712
1.54,14,10.970963
1.63,29,11.024189
1.1,19,11.062704
1.63,16,11.078334
1.72,24,11.140852
1.59,11,11.156477
1.57,11,11.36163
1.66,18,11.392882
1.76,28,11.442856
1.67,19,11.474116
1.76,28,11.537403
1.6,16,11.558541
1.59,11,11.783463
1.59,11,11.799088
1.73,25,11.845963
1.6,18,11.884515
1.66,20,11.915791
1.57,9,11.931416
1.6,12,11.963056
1.63,25,12.010613
1.62,14,12.247214
1.74,26,12.309522
1.71,23,12.356424
1.55,7,12.356424
1.57,9,12.387674
1.72,25,12.426214
1.63,15,12.457492
1.63,15,12.679372
1.71,23,12.742883
1.6,12,12.758535
1.64,16,12.789785
1.7,22,12.821035
1.59,11,12.858509
1.68,20,12.889786
1.8,33,13.12001
1.8,33,13.185421
1.72,24,13.219985
1.75,27,13.282485
1.62,15,13.31279
1.73,25,13.534534
1.75,27,13.581435
1.78,30,13.644056
1.67,19,13.677332
1.5,2,13.677332
1.67,19,13.717943
1.68,20,13.7531
1.64,16,13.971112
1.58,11,13.97615
1.72,24,14.023036
1.58,10,14.038661
1.65,17,14.08993
1.68,20,14.123208
1.68,24,14.154457
1.58,11,14.191543
1.62,14,14.395123
1.57,10,14.429353
1.53,5,14.429353
1.69,21,14.460629
1.64,16,14.507499
1.68,20,14.546041
1.19,22,14.577318
1.62,14,14.608564
1.63,15,14.826283
1.57,9,14.859508
1.73,25,14.890784
1.69,21,14.937659
1.52,12,14.966934
1.63,15,14.99088
1.62,14,15.006505
1.64,16,15.037755
1.61,13,15.232518
1.67,19,15.279397
1.68,22,15.320019
1.56,8,15.335644
1.66,18,15.366894
1.0,1,15.366894
1.57,9,15.389187
1.52,4,15.404403
1.65,17,15.420053
1.79,31,15.652348
1.58,10,15.667973
1.71,23,15.730641
1.66,20,15.761891
1.61,13,15.777515
1.57,9,15.79314
1.64,16,15.841965
1.55,7,15.847008
1.65,17,15.878268
1.72,26,16.114692
1.62,14,16.130318
1.7,26,16.194943
1.59,11,16.210568
1.55,7,16.226194
1.68,20,16.267169
1.7,22,16.310701
1.7,22,16.535752
1.72,24,16.567001
1.57,9,16.582623
1.6,14,16.628434
1.69,21,16.659684
1.56,8,16.675309
1.57,9,16.690934
1.73,25,16.737712
1.75,27,16.973218
1.62,14,17.004468
1.52,4,17.004468
1.63,15,17.041957
1.8,32,17.088859
1.63,17,17.138082
1.61,13,17.165915
1.63,15,17.378345
1.66,18,17.410378
1.54,6,17.417199
1.67,19,17.44845
1.68,20,17.495988
1.62,14,17.511614
1.62,14,17.542863
1.66,18,17.578694
1.68,20,17.804387
1.74,26,17.835657
1.67,19,17.882537
1.66,18,17.913755
1.55,7,17.92939
1.7,22,17.972321
1.56,8,17.98795
1.66,18,18.026188
1.76,28,18.25015
1.76,28,18.297025
1.62,14,18.328275
1.6,12,18.350215
1.74,27,18.397118
1.7,22,18.428367
1.67,19,18.678216
1.57,11,18.699277
1.57,11,18.714902
1.71,23,18.761773
1.54,6,18.761773
1.66,18,18.812703
1.59,11,18.828327
1.73,25,18.875203
1.56,8,19.055538
1.57,13,19.071163
1.65,17,19.118048
1.52,4,19.122048
1.63,17,19.153324
1.66,22,19.184574
1.66,18,19.231566
1.65,17,19.249218
1.65,17,19.280467
1.69,21,19.490715
1.62,14,19.52197
1.73,25,19.574201
1.54,6,19.574201
1.59,11,19.605451
1.67,19,19.636702
1.59,11,19.666926
1.67,19,19.698204
1.71,23,19.910668
1.67,19,19.941918
1.67,19,19.987723
1.61,13,20.003374
1.62,16,20.034624
1.57,9,20.05025
1.71,23,20.107554
1.53,5,20.107554
1.69,21,20.329368
1.66,18,20.360618
1.57,13,20.376243
1.69,21,20.430414
1.68,20,20.461668
1.78,30,20.526209
1.66,18,20.766862
1.64,16,20.79811
1.69,21,20.847135
1.6,12,20.862786
1.65,17,20.894037
1.61,15,20.925287
1.63,15,20.958768
1.55,7,20.962788
1.6,12,20.97844
1.65,17,21.187848
1.61,13,21.219126
1.67,20,21.250376
1.69,21,21.300225
1.61,13,21.31585
1.77,31,21.382426
1.51,3,21.39202
1.72,24,21.608587
1.65,17,21.639867
1.75,27,21.694012
1.7,23,21.741842
1.57,9,21.757467
1.74,28,21.804342
1.59,11,21.838899
1.55,7,22.029371
1.68,24,22.067947
1.66,18,22.099222
1.72,24,22.162848
1.59,11,22.178484
1.64,16,22.20026
1.65,17,22.231514
1.55,7,22.247136
1.67,21,22.462678
1.53,7,22.484282
1.61,13,22.501241
1.81,33,22.563767
1.66,18,22.633515
