#{"t_start": 1716403087.285866, "env_id": "CenteringWorld-v0"}
r,l,t
-0.04,167,0.838318
0.03,259,1.73519
1.03,128,2.179994
1.49,117,2.616498
1.71,64,2.71659
1.62,22,2.750659
1.74,40,3.046646
1.72,58,3.130074
0.98,27,3.176967
1.72,30,3.475904
1.6,13,3.491529
1.6,13,3.507153
1.11,23,3.552999
1.65,19,3.568624
1.57,16,3.599874
1.7,33,3.901866
1.55,7,3.91749
1.57,15,3.953775
1.53,6,3.963487
1.71,26,3.998757
1.72,25,4.030006
1.51,7,4.045631
1.56,9,4.06886
1.69,22,4.094671
1.53,9,4.385061
1.5,2,4.388399
1.66,18,4.412283
1.55,10,4.427907
1.65,18,4.459157
1.64,16,4.496483
1.64,20,4.528132
1.63,20,4.559382
1.72,25,4.865418
1.52,6,4.881044
1.75,27,4.912294
1.7,22,4.962316
1.52,8,4.962316
1.61,13,4.993565
1.22,28,5.024817
1.65,19,5.059127
1.67,19,5.341425
1.66,19,5.375689
1.69,21,5.406948
1.59,18,5.438198
1.23,26,5.488472
1.63,16,5.508106
1.68,20,5.789435
1.75,28,5.823694
1.59,12,5.839319
1.73,27,5.893338
1.71,25,5.924777
1.67,19,5.956027
1.64,18,6.17167
1.68,20,6.20817
1.61,13,6.225047
1.6,12,6.240682
1.63,16,6.271932
1.75,31,6.328951
1.7,22,6.358115
1.59,11,6.562429
1.66,18,6.578054
1.74,28,6.624931
1.6,12,6.66045
1.65,21,6.694711
1.69,21,6.725961
1.65,17,6.758032
1.73,25,6.942634
1.73,29,6.996776
1.67,19,7.028034
1.64,17,7.059285
1.65,29,7.108251
1.16,21,7.310334
1.67,19,7.332249
0.69,26,7.369805
1.56,8,7.385431
1.72,30,7.433224
1.54,10,7.448849
1.66,18,7.480099
1.82,34,7.692656
1.67,42,7.778039
1.69,23,7.80929
1.69,21,7.842622
1.72,24,8.047841
1.65,17,8.07076
1.63,15,8.086385
1.63,15,8.117635
1.62,14,8.13326
1.66,18,8.170888
1.62,14,8.202163
1.67,19,8.233408
1.71,23,8.432327
1.64,28,8.495847
1.62,14,8.511501
1.65,17,8.542752
1.69,21,8.574001
1.54,6,8.595947
1.51,3,8.601024
1.67,20,8.62071
1.68,20,8.817601
1.61,13,8.848876
1.57,9,8.864501
1.65,17,8.895752
1.75,27,8.954097
1.57,9,8.96271
1.55,7,8.97834
1.67,20,9.009586
1.58,12,9.225171
1.65,17,9.257139
1.7,28,9.30224
1.75,28,9.364735
1.68,24,9.400079
1.68,20,9.446954
1.65,17,9.640649
1.59,11,9.671904
1.76,28,9.726155
1.53,5,9.741805
1.58,10,9.75743
1.12,15,9.78868
1.68,20,9.821969
1.68,20,9.868869
1.66,18,10.066779
1.64,16,10.098029
1.62,14,10.134293
1.61,17,10.162575
1.65,17,10.193826
1.69,21,10.225077
1.79,31,10.289755
1.58,10,10.495988
1.66,18,10.533504
1.71,27,10.599201
1.63,15,10.614826
1.59,11,10.646072
1.69,27,10.699114
1.6,16,10.730363
1.65,19,10.928214
1.61,13,10.959464
1.66,18,10.996625
1.62,24,11.043941
1.76,34,11.113702
1.58,12,11.129353
1.72,24,11.350132
1.72,24,11.397008
1.61,13,11.412636
1.68,20,11.462618
1.72,24,11.509493
1.54,8,11.525122
1.65,18,11.562667
1.55,11,11.578317
1.68,20,11.803214
1.64,16,11.834464
1.65,17,11.879335
1.61,13,11.904292
1.22,29,11.951167
1.8,32,12.01474
1.69,23,12.28259
1.53,5,12.28259
1.63,15,12.3293
1.6,12,12.344925
1.5,2,12.344925
1.64,16,12.376176
1.6,12,12.3918
1.73,27,12.445993
1.59,11,12.477244
1.55,11,12.683498
1.61,14,12.714748
1.66,18,12.762661
1.63,15,12.778286
1.66,18,12.825161
1.74,26,12.878288
1.75,27,12.925163
1.7,22,13.124136
1.71,24,13.171011
1.52,4,13.187511
1.55,7,13.207461
1.61,13,13.224111
1.72,24,13.270987
1.67,19,13.311536
1.67,19,13.332569
1.73,25,13.554312
1.64,16,13.585562
1.65,17,13.616811
1.68,24,13.665834
1.58,10,13.681459
1.6,12,13.713374
1.22,25,13.760227
1.66,19,13.980276
1.62,14,13.995912
1.62,14,14.027162
1.64,16,14.058417
1.6,12,14.092004
1.64,16,14.111708
1.67,19,14.142959
1.66,18,14.174208
1.56,8,14.383624
1.59,11,14.399249
1.65,17,14.43348
1.56,8,14.44913
1.63,15,14.480379
1.59,11,14.511625
1.66,19,14.550168
1.59,11,14.56582
1.77,29,14.629313
1.67,19,14.863634
1.53,6,14.863634
1.68,20,14.894911
1.65,17,14.92616
1.56,8,14.941785
1.73,25,14.995007
1.69,21,15.026257
1.72,24,15.25227
1.58,12,15.267899
1.67,19,15.308516
1.67,19,15.33977
1.69,22,15.391315
1.73,25,15.439804
1.69,21,15.471054
1.69,21,15.68772
1.66,18,15.733446
1.73,25,15.766017
1.52,4,15.781641
1.65,17,15.812891
1.6,12,15.841838
1.61,13,15.86677
1.64,16,15.882395
1.62,14,16.103193
1.57,9,16.118818
1.67,19,16.166795
1.74,26,16.19907
1.61,17,16.23032
1.53,5,16.245945
1.74,26,16.299202
1.63,15,16.508578
1.64,16,16.539878
1.77,31,16.586749
1.73,25,16.648185
1.67,19,16.679435
1.65,17,16.726187
1.62,14,16.741838
1.71,23,16.961719
1.67,19,17.008595
1.59,11,17.030149
1.6,16,17.061736
1.52,4,17.061736
1.68,20,17.092986
1.64,17,17.142208
1.66,18,17.170041
1.57,9,17.382471
1.59,11,17.398097
1.63,15,17.421326
1.52,4,17.421326
1.73,26,17.48445
1.72,24,17.51574
1.7,22,17.562614
1.72,24,17.803264
1.74,26,17.839783
1.64,16,17.871034
1.7,22,17.917882
1.75,28,17.960804
1.7,26,18.02405
1.66,18,18.235624
1.67,19,18.254277
1.76,28,18.316777
1.72,26,18.354342
1.2,29,18.416869
1.64,16,18.432494
1.67,19,18.686744
1.72,24,18.719028
1.6,12,18.734653
1.62,14,18.765899
1.61,13,18.801179
1.6,12,18.816829
1.75,27,18.863703
1.79,31,19.090914
1.63,15,19.126174
1.64,16,19.157451
1.56,8,19.173076
1.63,15,19.188701
1.6,12,19.221115
1.61,13,19.237693
1.64,16,19.268969
1.52,6,19.284593
1.63,15,19.479217
1.74,28,19.526096
1.6,12,19.562677
1.68,20,19.593952
1.71,23,19.640828
1.8,32,19.70233
1.65,18,19.914794
1.64,16,19.930419
1.62,14,19.96167
1.61,14,19.991849
1.58,10,20.007501
1.65,17,20.03875
1.74,26,20.096028
1.72,24,20.317846
1.65,17,20.349119
1.6,12,20.364744
1.52,4,20.38037
1.69,21,20.418549
1.52,4,20.43347
1.59,11,20.45017
1.69,21,20.48142
1.56,8,20.497044
1.79,31,20.770988
1.6,12,20.786613
1.65,17,20.817862
1.58,10,20.851261
1.57,9,20.866912
1.71,23,20.898163
1.59,11,20.929413
1.53,6,20.929413
1.76,28,20.998191
1.69,21,21.207627
1.66,26,21.254502
1.66,18,21.2887
1.67,19,21.319977
1.53,5,21.335601
1.68,20,21.366852
1.67,19,21.405335
1.65,17,21.628368
1.75,27,21.666885
1.77,31,21.730318
1.71,23,21.777219
1.64,16,21.808469
1.67,19,22.017872
1.66,18,22.072073
1.68,20,22.103349
1.6,12,22.118974
1.66,18,22.166974
1.6,12,22.182611
1.63,15,22.204386
1.64,16,22.235641
1.7,22,22.45118
1.77,29,22.521019
1.68,20,22.552268
1.69,21,22.619995
1.75,27,22.668892
1.65,17,22.714877
1.69,21,22.950208
1.54,6,22.951208
1.67,20,22.982484
1.74,26,23.04697
1.65,17,23.062606
1.57,9,23.078231
1.61,13,23.109481
1.56,8,23.125107
1.74,27,23.349176
1.5,2,23.349176
1.66,18,23.395
1.67,19,23.42625
1.62,14,23.441875
1.63,15,23.487699
1.67,19,23.518982
1.55,8,23.534607
1.61,13,23.550232
1.69,21,23.763631
1.66,18,23.806367
1.65,17,23.841839
1.64,16,23.873089
1.66,18,23.906384
1.62,14,23.936829
1.77,29,23.983693
1.58,10,24.178264
1.62,14,24.193889
1.61,13,24.22514
1.65,17,24.263681
1.5,2,24.263681
1.67,19,24.29496
1.64,16,24.332525
1.62,14,24.362715
1.55,7,24.362715
1.52,4,24.378367
1.61,13,24.393991
1.59,11,24.60853
1.77,29,24.671027
1.73,26,24.724187
1.52,4,24.724187
1.71,23,24.771062
1.59,11,24.804059
1.68,20,24.833507
1.68,24,25.069999
1.67,21,25.101249
1.64,16,25.146056
1.65,17,25.171105
1.7,22,25.202354
1.69,21,25.250228
1.31,34,25.489857
1.65,17,25.521106
1.63,15,25.567862
1.69,21,25.599122
1.55,7,25.614747
1.76,28,25.665604
1.57,9,25.683516
1.62,14,25.896079
1.61,13,25.922169
1.61,13,25.953444
1.52,4,25.953444
1.66,18,25.999567
1.71,23,26.031842
1.58,10,26.047468
1.59,11,26.063092
1.79,31,26.31242
1.74,26,26.361558
1.62,14,26.377183
1.79,31,26.447013
1.63,15,26.478272
1.69,21,26.509527
1.64,16,26.542879
1.58,10,26.771029
1.67,20,26.802279
1.69,21,26.849675
1.66,18,26.887734
1.67,19,26.918985
1.5,2,26.918985
1.52,4,26.918985
1.55,7,26.93461
1.51,3,26.950236
1.63,15,26.982528
1.67,19,27.190896
1.61,13,27.206521
1.61,13,27.237771
1.64,16,27.27482
1.65,17,27.299195
1.0,1,27.299195
1.57,9,27.31482
1.69,21,27.361694
1.66,19,27.392879
1.6,12,27.408523
1.62,14,27.621022
1.75,27,27.667897
1.71,23,27.717831
1.62,14,27.7491
1.74,26,27.78035
1.61,13,27.816467
1.73,25,28.047025
1.51,3,28.047025
1.65,17,28.078298
1.73,25,28.109546
1.67,19,28.162718
1.62,14,28.178363
1.78,30,28.225237
1.6,12,28.450302
1.57,9,28.465927
1.62,14,28.501187
1.69,21,28.532459
1.76,28,28.596173
1.64,16,28.615861
1.7,22,28.662735
1.69,21,28.884587
1.71,23,28.933038
1.69,21,28.964289
1.0,1,28.964289
1.51,3,28.979914
1.73,25,29.033561
1.63,15,29.050209
1.72,24,29.087904
1.52,4,29.10354
1.69,21,29.307526
1.53,5,29.325161
1.65,17,29.35849
1.68,20,29.389741
1.75,27,29.454555
1.8,32,29.560203
1.67,23,29.875323
1.75,27,29.9252
1.78,30,29.990854
1.69,25,30.036649
1.6,16,30.068995
1.58,10,30.094903
1.68,20,30.331848
1.69,22,30.372163
1.68,20,30.417729
1.55,7,30.430249
1.61,17,30.459519
1.57,9,30.478301
1.6,12,30.508667
1.77,29,30.783856
1.79,31,30.845892
1.55,7,30.861516
1.5,2,30.861516
1.59,12,30.892767
1.62,14,30.908392
1.63,15,30.942949
1.62,14,30.974221
1.54,12,30.989846
1.67,19,31.021098
1.66,18,31.224216
1.66,18,31.254428
1.71,23,31.295042
1.65,17,31.326292
1.7,22,31.375166
1.72,24,31.406417
1.79,31,31.632562
1.63,15,31.663815
1.63,15,31.697063
1.61,13,31.712708
1.57,9,31.733418
1.62,14,31.754394
1.6,12,31.770017
1.69,21,31.815984
1.59,11,32.016956
1.63,15,32.032606
1.56,12,32.063856
1.64,16,32.079483
1.56,8,32.095106
1.72,26,32.157495
1.78,30,32.204366
1.68,21,32.409594
1.74,26,32.463757
1.59,11,32.479404
1.57,9,32.495028
1.67,19,32.526278
1.73,25,32.574267
1.73,25,32.616968
1.77,29,32.875301
1.76,32,32.922199
1.73,25,32.983709
1.55,7,32.987753
1.57,9,33.003404
1.77,29,33.05028
1.61,15,33.247182
1.58,10,33.262807
1.5,6,33.278432
1.68,20,33.32856
1.63,15,33.338784
1.52,4,33.354418
1.77,29,33.417021
1.65,17,33.432648
1.62,14,33.463898
1.6,12,33.651176
1.58,10,33.666801
1.67,19,33.713672
1.71,23,33.746093
1.63,15,33.777362
1.56,8,33.792987
1.62,14,33.824237
1.76,28,33.869484
1.72,24,34.101201
1.61,13,34.116845
1.66,18,34.148095
1.73,25,34.196082
1.73,25,34.242978
1.63,15,34.274228
1.74,26,34.504153
1.56,12,34.532576
1.63,15,34.548201
1.51,3,34.563826
1.67,19,34.595076
1.76,29,34.642697
1.53,6,34.658323
1.52,4,34.673949
1.68,20,34.705198
1.68,20,34.916987
1.56,8,34.932617
1.61,13,34.967906
1.69,21,34.999201
1.68,21,35.061759
1.59,11,35.078408
1.72,25,35.109658
1.71,23,35.322181
1.78,30,35.384584
1.75,27,35.431478
1.71,23,35.47008
1.65,17,35.51593
1.51,3,35.51593
1.66,18,35.730409
1.17,22,35.761682
1.76,28,35.826203
1.61,13,35.857472
1.59,13,35.873097
1.67,19,35.920957
1.71,27,35.975367
1.65,17,36.181568
1.7,22,36.212818
1.63,15,36.252884
1.64,16,36.274261
1.65,17,36.305511
1.66,18,36.336761
1.6,12,36.36698
1.68,21,36.595114
1.76,29,36.649334
1.69,21,36.700219
1.65,17,36.73147
1.6,12,36.747094
1.6,12,36.781432
1.56,8,36.801242
1.66,18,36.832519
1.72,24,37.065956
1.79,31,37.128588
1.65,17,37.159839
1.69,21,37.208437
1.52,4,37.220081
1.73,25,37.25335
1.75,28,37.481687
1.72,24,37.512936
1.6,12,37.55265
1.61,13,37.578399
1.62,14,37.594023
1.66,18,37.63464
1.67,19,37.667834
1.66,18,37.882177
1.63,15,37.912646
1.78,30,37.959521
1.7,22,38.012764
1.65,17,38.044035
1.78,30,38.099047
1.61,13,38.300721
1.64,16,38.316347
1.57,9,38.346436
1.78,30,38.393332
1.71,23,38.454556
1.66,18,38.475239
1.59,11,38.490864
1.61,13,38.522113
1.54,6,38.707537
1.78,30,38.754412
1.7,22,38.792912
1.7,22,38.839807
1.6,12,38.855431
1.55,7,38.871057
1.52,4,38.887317
1.72,24,38.940885
1.72,24,39.171164
1.77,29,39.217285
1.64,18,39.264187
1.72,24,39.295436
1.53,5,39.32643
1.74,26,39.361699
1.62,14,39.566036
1.68,20,39.597284
1.67,19,39.646149
1.72,24,39.690806
1.74,26,39.723227
1.72,24,39.787794
1.68,20,40.003451
1.62,14,40.034701
1.69,21,40.065951
1.63,15,40.1013
1.76,28,40.148195
1.58,10,40.16382
1.7,22,40.21699
1.79,31,40.453495
1.51,3,40.453495
1.65,18,40.495167
1.68,20,40.539933
1.7,22,40.574201
1.71,23,40.605451
1.71,23,40.826331
