,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
0,0,-499.76599999999996,2024-05-18 17:52:59.328015,2024-05-18 18:14:57.730121,0 days 00:21:58.402106,relu,0.05339359256121499,0.95,0.95,0.5530310182468222,linear,0.5,8,medium,False,True,True,0.7735134607217634,COMPLETE
1,1,1.1640000000000001,2024-05-18 17:52:59.329015,2024-05-18 18:02:05.736025,0 days 00:09:06.407010,tanh,0.0017670377678546706,0.99,0.98,3.1523482593894394e-05,constant,0.5,64,medium,False,True,True,0.10545344879323504,COMPLETE
2,2,0.13,2024-05-18 17:52:59.335322,2024-05-18 18:14:27.335037,0 days 00:21:27.999715,tanh,0.02715930454575246,0.95,0.995,3.946158851350731e-05,constant,0.9,16,medium,False,False,False,0.381653664331577,COMPLETE
3,3,0.0,2024-05-18 17:52:59.354673,2024-05-18 18:14:38.121093,0 days 00:21:38.766420,relu,8.773802251032205e-05,0.9,0.995,0.006032564585085115,linear,0.8,2048,medium,False,True,True,0.8197494958302171,COMPLETE
4,4,0.0,2024-05-18 17:52:59.356674,2024-05-18 18:13:29.741827,0 days 00:20:30.385153,tanh,3.7704439164111057e-06,0.8,0.98,0.005350065938555,constant,0.7,512,medium,False,False,False,0.21088445893217622,COMPLETE
5,5,-5298.362,2024-05-18 17:52:59.361676,2024-05-18 18:14:30.556226,0 days 00:21:31.194550,tanh,9.200564252879775e-07,0.99,0.999,2.8330525504544897e-05,constant,0.7,128,medium,False,True,True,0.3014466636864689,COMPLETE
6,6,-500.01000000000005,2024-05-18 17:52:59.368189,2024-05-18 18:14:33.527117,0 days 00:21:34.158928,tanh,8.779319290842558e-06,0.9,0.9,0.07597560842477306,linear,0.9,16,medium,True,False,False,0.047533751551529835,COMPLETE
7,7,-499.76599999999996,2024-05-18 17:52:59.370190,2024-05-18 18:14:39.460589,0 days 00:21:40.090399,tanh,2.097124229229307e-08,1.0,0.9,0.059281557075867644,linear,0.7,8,medium,False,True,True,0.040568581065433706,COMPLETE
8,8,0.0,2024-05-18 18:02:05.737024,2024-05-18 18:22:24.454154,0 days 00:20:18.717130,relu,2.9377081598312734e-06,0.95,0.995,0.00014277809124448902,linear,0.5,1024,medium,True,False,True,0.17444924584238386,COMPLETE
9,9,0.0,2024-05-18 18:13:29.743825,2024-05-18 18:30:11.536778,0 days 00:16:41.792953,tanh,1.3427507301409883e-05,0.9,0.9999,0.031126414875266836,linear,5.0,128,small,False,False,True,0.41366380435597205,COMPLETE
10,10,0.0,2024-05-18 18:14:27.336037,2024-05-18 18:31:37.169303,0 days 00:17:09.833266,relu,0.07662602122433096,0.92,0.9999,5.8823343738908054e-05,linear,0.9,2048,medium,True,True,True,0.2490542014519228,COMPLETE
11,11,0.0,2024-05-18 18:14:30.558225,2024-05-18 18:31:46.638374,0 days 00:17:16.080149,tanh,5.021119180991633e-05,0.99,0.98,0.007423643035196025,constant,0.3,2048,medium,False,False,False,0.9862885595009037,COMPLETE
12,12,0.0,2024-05-18 18:14:33.529116,2024-05-18 18:31:41.271732,0 days 00:17:07.742616,relu,1.4861279821412824e-08,0.99,0.99,0.001659703871894806,constant,2.0,2048,small,False,False,True,0.6307665482658744,COMPLETE
13,13,0.0,2024-05-18 18:14:38.123095,2024-05-18 18:31:41.738260,0 days 00:17:03.615165,relu,6.700216505222823e-05,0.92,0.9,0.00044564792364012475,constant,5.0,2048,small,False,True,False,0.6354873384902273,COMPLETE
14,14,0.146,2024-05-18 18:14:39.463589,2024-05-18 18:31:40.356352,0 days 00:17:00.892763,tanh,2.4548990095156805e-07,0.92,0.99,0.00019453770093255042,linear,0.9,512,medium,False,True,True,0.6847869189732235,COMPLETE
