,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
0,0,0.0,2024-05-18 23:08:29.968597,2024-05-18 23:47:37.632958,0 days 00:39:07.664361,tanh,4.4877298287880904e-08,1.0,0.99,0.45317817260094206,constant,5.0,256,medium,False,True,False,0.8806146842170905,COMPLETE
1,1,-98.75200000000001,2024-05-18 23:08:29.970597,2024-05-18 23:17:22.488973,0 days 00:08:52.518376,tanh,0.0003191382324479341,0.98,0.999,0.00012037193545020149,constant,0.5,128,medium,True,True,False,0.051157105516494994,COMPLETE
2,2,-500.00200000000007,2024-05-18 23:08:29.974598,2024-05-18 23:46:59.782462,0 days 00:38:29.807864,tanh,0.01387240855347044,0.98,0.9999,0.1261840363186135,constant,2.0,32,small,False,False,False,0.7731549581659903,COMPLETE
3,3,0.0020000000000000005,2024-05-18 23:08:29.975603,2024-05-18 23:47:54.093897,0 days 00:39:24.118294,tanh,2.767461197214705e-05,0.8,0.99,0.00019411844120683099,linear,0.5,1024,medium,True,False,False,0.5897040036043878,COMPLETE
4,4,-399.98400000000004,2024-05-18 23:08:29.996602,2024-05-18 23:47:02.517390,0 days 00:38:32.520788,tanh,5.910466812527477e-06,1.0,0.995,0.21221373178455266,linear,5.0,32,small,True,False,False,0.2636673633160853,COMPLETE
5,5,0.0,2024-05-18 23:08:30.000602,2024-05-18 23:47:25.660938,0 days 00:38:55.660336,relu,0.013248334239627775,0.8,0.95,0.31068822572926336,linear,0.3,2048,medium,False,False,True,0.30425166678410853,COMPLETE
6,6,0.0,2024-05-18 23:08:30.010113,2024-05-18 23:47:27.544475,0 days 00:38:57.534362,relu,2.1295943358647916e-06,1.0,0.9,0.0403417767414161,linear,0.5,2048,medium,False,True,False,0.47752984821433353,COMPLETE
7,7,-499.938,2024-05-18 23:08:30.016115,2024-05-18 23:47:27.291400,0 days 00:38:57.275285,relu,3.2220877799270445e-05,0.92,0.999,1.3514373315336893e-05,constant,0.6,2048,medium,True,False,True,0.4090719049582062,PRUNED
8,8,0.0,2024-05-18 23:08:30.018112,2024-05-18 23:46:59.029211,0 days 00:38:29.011099,tanh,3.758381715167204e-08,0.95,0.95,7.871369579399644e-05,constant,0.9,512,small,True,False,True,0.7418081259050178,COMPLETE
9,9,0.0,2024-05-18 23:08:30.028114,2024-05-18 23:47:31.204710,0 days 00:39:01.176596,tanh,1.8764820225443178e-08,0.92,0.995,7.721722717414991e-05,linear,0.3,8,medium,True,False,True,0.43265357944435545,COMPLETE
