#{"t_start": 1716406427.1859937, "env_id": "CenteringWorld-v0"}
r,l,t
-136.0,252,1.099894
-56.0,171,1.770824
17.0,34,1.829344
-1.0,83,2.157267
24.0,20,2.172892
48.0,81,2.486418
34.0,42,2.548918
53.0,61,2.646763
26.0,21,2.693637
23.0,75,2.964485
19.0,6,2.980109
70.0,104,3.32922
18.0,7,3.334271
22.0,10,3.349921
24.0,14,3.365546
30.0,21,3.412421
34.0,24,3.621198
32.0,20,3.66461
18.0,6,3.66661
18.0,12,3.682268
26.0,13,3.713518
24.0,11,3.729143
25.0,18,3.764337
33.0,21,3.798105
24.0,11,3.815756
41.0,30,4.055137
18.0,5,4.055137
43.0,30,4.109274
43.0,34,4.156171
25.0,15,4.195917
9.0,17,4.219773
26.0,13,4.424937
42.0,43,4.503063
33.0,20,4.521718
27.0,15,4.552993
22.0,11,4.568618
35.0,24,4.618636
40.0,28,4.829093
30.0,20,4.867621
26.0,16,4.898895
25.0,16,4.91452
23.0,10,4.930145
28.0,21,4.979115
15.0,3,4.979115
36.0,23,5.010365
29.0,16,5.20096
35.0,34,5.263457
36.0,26,5.3281
42.0,29,5.380189
17.0,6,5.389684
26.0,17,5.405115
24.0,13,5.601967
38.0,26,5.637414
31.0,18,5.668665
24.0,12,5.684288
27.0,14,5.717623
24.0,11,5.733267
29.0,16,5.748891
48.0,38,5.972837
23.0,10,5.988462
39.0,27,6.038476
30.0,17,6.06975
34.0,68,6.360463
44.0,31,6.409365
15.0,6,6.409365
27.0,14,6.443697
35.0,23,6.467589
13.0,10,6.498865
59.0,52,6.735537
39.0,26,6.782407
21.0,10,6.80018
40.0,28,6.836486
69.0,61,7.106271
24.0,13,7.12826
29.0,16,7.143885
23.0,22,7.19076
7.0,10,7.212974
24.0,23,7.240781
24.0,12,7.272031
28.0,23,7.474035
26.0,13,7.49624
24.0,11,7.51187
45.0,35,7.574024
43.0,57,7.670922
28.0,15,7.868937
10.0,1,7.870937
27.0,14,7.887585
36.0,23,7.93446
68.0,67,8.056805
26.0,14,8.08333
24.0,11,8.256348
19.0,6,8.271973
30.0,25,8.320909
22.0,9,8.32191
37.0,24,8.36881
21.0,8,8.384435
25.0,12,8.40006
32.0,20,8.438589
33.0,24,8.63767
25.0,14,8.668946
21.0,8,8.68457
20.0,7,8.700195
32.0,19,8.749901
53.0,42,8.842879
11.0,26,8.89637
28.0,16,9.126401
27.0,14,9.160875
31.0,18,9.196969
29.0,16,9.317422
21.0,8,9.404456
34.0,21,9.495115
38.0,26,9.541991
18.0,5,9.563336
37.0,26,9.787332
30.0,19,9.818581
36.0,25,9.865456
16.0,11,9.888314
20.0,7,9.903955
26.0,17,9.935205
25.0,12,9.95083
22.0,9,9.966456
18.0,5,9.985867
26.0,29,10.236414
31.0,18,10.268704
25.0,14,10.292823
55.0,42,10.364639
21.0,12,10.384115
29.0,18,10.604328
43.0,35,10.660493
30.0,17,10.68863
24.0,11,10.708683
33.0,20,10.740533
15.0,16,10.767096
25.0,16,10.793737
26.0,13,10.994315
29.0,16,11.021697
44.0,39,11.087937
48.0,35,11.147873
37.0,26,11.192073
57.0,50,11.456522
23.0,16,11.484644
68.0,59,11.590652
27.0,14,11.776879
44.0,31,11.832828
55.0,45,11.913184
45.0,32,11.971406
50.0,45,12.211526
35.0,22,12.252317
23.0,10,12.270089
37.0,24,12.311512
24.0,11,12.332521
36.0,23,12.374068
22.0,15,12.572064
34.0,21,12.608397
36.0,40,12.680281
71.0,73,12.980644
31.0,18,13.012636
31.0,18,13.043835
41.0,34,13.108856
48.0,35,13.173013
20.0,7,13.187175
30.0,18,13.38937
29.0,17,13.41893
29.0,22,13.457419
37.0,24,13.504714
20.0,15,13.531553
18.0,5,13.540789
27.0,15,13.568946
38.0,25,13.778162
63.0,50,13.917273
30.0,17,14.016019
77.0,76,14.398289
25.0,12,14.425621
28.0,19,14.467246
35.0,22,14.518312
36.0,34,14.588167
27.0,16,14.621346
20.0,7,14.810068
18.0,5,14.819628
26.0,13,14.84161
51.0,39,14.903636
36.0,23,14.959887
21.0,9,14.976048
18.0,5,14.98473
28.0,17,15.011992
29.0,16,15.20986
19.0,9,15.226436
37.0,24,15.276466
26.0,17,15.310693
61.0,48,15.391724
18.0,9,15.406538
21.0,11,15.424277
45.0,46,15.656775
24.0,11,15.674984
49.0,45,15.751316
20.0,15,15.77572
15.0,8,15.789748
23.0,14,15.967847
47.0,34,16.023616
46.0,33,16.077622
60.0,50,16.163048
35.0,22,16.353167
68.0,55,16.447842
39.0,26,16.492266
34.0,21,16.531655
23.0,10,16.54819
21.0,16,16.732373
37.0,24,16.773817
30.0,19,16.807504
17.0,4,16.813952
33.0,20,16.846402
31.0,18,16.877355
51.0,42,17.100955
60.0,47,17.180779
37.0,24,17.220865
28.0,15,17.247177
19.0,10,17.263646
41.0,35,17.49069
36.0,24,17.533477
39.0,34,17.589738
24.0,12,17.611493
42.0,31,17.663712
15.0,6,17.674032
15.0,8,17.844866
34.0,21,17.880452
18.0,25,17.923048
68.0,56,18.018998
62.0,50,18.263668
33.0,23,18.304351
30.0,21,18.345094
36.0,23,18.389875
34.0,21,18.427478
26.0,14,18.622124
20.0,7,18.634734
38.0,26,18.684756
47.0,34,18.747123
52.0,46,18.832531
33.0,23,19.041619
69.0,56,19.145172
27.0,16,19.174483
73.0,61,19.461728
56.0,57,19.565871
45.0,34,19.63047
56.0,45,19.884075
43.0,47,19.969283
30.0,17,20.000895
22.0,9,20.021192
29.0,16,20.048406
20.0,7,20.060816
19.0,6,20.071906
28.0,24,20.293298
43.0,30,20.352498
27.0,14,20.377552
22.0,9,20.393089
25.0,12,20.415906
27.0,14,20.445324
39.0,26,20.491126
31.0,18,20.690961
21.0,8,20.706579
30.0,17,20.738923
46.0,34,20.799184
23.0,10,20.819059
35.0,22,20.862787
19.0,16,20.890876
17.0,5,20.900339
19.0,6,21.082681
51.0,40,21.15973
20.0,21,21.197055
27.0,14,21.223504
22.0,9,21.23884
85.0,78,21.560928
25.0,16,21.588933
22.0,9,21.605553
37.0,24,21.649258
28.0,16,21.681733
75.0,63,21.972221
57.0,46,22.055084
37.0,28,22.107659
16.0,7,22.120063
32.0,19,22.325196
44.0,32,22.386822
43.0,31,22.442497
26.0,13,22.466966
29.0,16,22.498321
73.0,62,22.781746
25.0,12,22.80767
20.0,7,22.820162
27.0,20,22.855735
28.0,15,22.883671
37.0,24,22.930648
29.0,18,23.134112
38.0,27,23.183676
58.0,61,23.303664
32.0,19,23.344059
9.0,10,23.361711
22.0,9,23.551538
41.0,28,23.602554
42.0,29,23.657803
45.0,32,23.715988
28.0,19,23.755744
25.0,14,23.780697
49.0,37,24.024442
30.0,17,24.05966
21.0,9,24.075884
62.0,52,24.171997
26.0,13,24.194575
57.0,46,24.472811
37.0,24,24.510988
27.0,14,24.534945
37.0,25,24.574634
24.0,11,24.592226
89.0,86,24.886089
28.0,15,24.909532
30.0,17,24.936878
25.0,12,24.957028
39.0,27,25.15747
23.0,10,25.173106
19.0,6,25.182788
46.0,36,25.240533
30.0,21,25.278995
53.0,40,25.520345
24.0,11,25.538017
51.0,38,25.599411
33.0,20,25.630858
23.0,12,25.650682
30.0,17,25.676698
28.0,15,25.705713
28.0,15,25.910421
32.0,19,25.945783
36.0,23,25.982573
48.0,37,26.043485
25.0,12,26.061593
43.0,30,26.110505
25.0,12,26.294608
28.0,15,26.320456
26.0,13,26.343272
20.0,7,26.355217
28.0,15,26.380314
41.0,30,26.430291
32.0,19,26.46212
32.0,19,26.493529
24.0,11,26.681132
31.0,22,26.716228
62.0,49,26.795274
14.0,19,26.826505
49.0,48,27.072505
22.0,13,27.09347
22.0,17,27.122324
34.0,25,27.163674
32.0,19,27.193087
35.0,22,27.227603
24.0,11,27.247461
48.0,38,27.502112
19.0,10,27.53336
22.0,9,27.548986
24.0,23,27.595861
19.0,10,27.611486
47.0,34,27.673986
30.0,17,27.892735
30.0,19,27.923985
21.0,8,27.939611
35.0,22,27.97086
24.0,15,28.002111
25.0,12,28.017735
29.0,18,28.048985
40.0,29,28.252499
62.0,49,28.346249
17.0,4,28.361874
30.0,17,28.393124
33.0,20,28.424375
33.0,20,28.471251
21.0,8,28.486874
38.0,25,28.69
48.0,35,28.752499
35.0,22,28.799375
35.0,22,28.830624
28.0,17,28.861873
43.0,36,29.080624
28.0,19,29.111875
23.0,10,29.127499
73.0,61,29.236875
28.0,15,29.440388
39.0,26,29.487264
42.0,29,29.534139
56.0,43,29.612264
56.0,43,29.87789
31.0,18,29.924764
14.0,29,30.00289
22.0,9,30.018514
36.0,25,30.09664
20.0,9,30.112264
22.0,9,30.143515
