#{"t_start": 1716406427.196235, "env_id": "CenteringWorld-v0"}
r,l,t
-284.0,483,1.860764
15.0,56,2.131376
18.0,5,2.147026
24.0,59,2.249038
22.0,17,2.280314
32.0,27,2.491802
19.0,48,2.572995
48.0,94,2.885287
57.0,67,2.993907
36.0,29,3.033466
21.0,8,3.049091
30.0,18,3.254222
32.0,19,3.27728
58.0,67,3.386555
35.0,28,3.610957
69.0,59,3.703276
23.0,10,3.718902
28.0,15,3.759443
29.0,18,3.789005
31.0,22,3.82114
18.0,5,4.013644
23.0,17,4.044896
23.0,18,4.079611
20.0,8,4.094
41.0,43,4.161558
47.0,41,4.399042
26.0,17,4.430321
23.0,10,4.445946
29.0,16,4.477192
28.0,20,4.511477
33.0,20,4.542752
23.0,10,4.574002
16.0,3,4.574002
38.0,32,4.803226
24.0,18,4.838279
24.0,11,4.85738
25.0,12,4.873029
18.0,27,4.919904
40.0,65,5.175068
25.0,12,5.206347
29.0,16,5.237595
22.0,9,5.253216
34.0,22,5.302232
33.0,32,5.349106
44.0,39,5.590726
22.0,9,5.606504
77.0,102,5.769901
42.0,40,5.993846
42.0,33,6.043884
34.0,23,6.075134
26.0,13,6.10638
28.0,15,6.14069
18.0,9,6.156337
20.0,7,6.338585
37.0,30,6.383499
25.0,12,6.399124
48.0,48,6.472998
46.0,34,6.535499
39.0,26,6.725296
8.0,11,6.756541
69.0,61,6.857495
49.0,37,7.072136
32.0,19,7.102367
48.0,35,7.164893
40.0,28,7.214888
23.0,30,7.26179
23.0,14,7.448164
22.0,10,7.48033
28.0,15,7.501628
46.0,39,7.563782
45.0,43,7.645031
26.0,14,7.676306
36.0,23,7.877344
20.0,7,7.877344
29.0,16,7.908593
49.0,42,7.993041
19.0,6,7.993041
36.0,23,8.046564
26.0,13,8.071089
35.0,32,8.277357
45.0,34,8.342944
27.0,17,8.374194
33.0,20,8.420095
60.0,48,8.658705
38.0,25,8.705579
80.0,68,8.861602
17.0,4,8.869758
28.0,15,9.097468
29.0,21,9.147542
28.0,17,9.180634
35.0,22,9.365919
29.0,17,9.469211
22.0,9,9.484874
35.0,22,9.531749
56.0,45,9.792715
22.0,13,9.823965
25.0,12,9.83959
29.0,17,9.876581
