#{"t_start": 1716233740.1294692, "env_id": "CenteringWorld-v0"}
r,l,t
-9.13,1299,2.479454
-31.22,3530,8.392891
-52.97,6313,20.796871
-2.01,328,21.462422
-12.35,1268,23.928932
1.48,4,23.928932
-1.34,319,24.565992
-1.19,370,25.301945
-0.31,256,25.794203
-34.54,4127,231.919244
-1.49,419,232.775826
-15.55,1271,235.455647
-19.47,2398,240.806895
-0.37,111,241.022594
-0.77,321,241.707256
-2.29,407,242.456954
1.29,42,242.54982
-6.91,702,243.922684
-0.79,162,244.315403
-3.71,397,245.155075
-2.18,478,246.181031
-5.53,769,247.957084
1.37,44,248.045016
1.41,53,248.154039
-0.66,335,248.886233
0.14,212,249.351896
0.2,245,249.984583
-0.77,261,250.554143
-1.34,325,251.288369
-2.06,443,252.319749
0.02,116,252.550026
-0.09,223,252.969987
-2.14,328,253.566869
1.42,70,253.691625
-4.17,788,255.011356
-6.15,598,256.00639
-1.96,251,256.459312
-0.0,227,256.87082
1.1,84,257.014009
-1.73,337,257.636515
-1.19,227,258.049177
1.13,51,258.133028
-2.04,313,258.704175
1.49,11,258.735442
0.13,248,259.216192
-0.22,81,259.382462
-1.31,420,454.888412
-0.43,245,455.410852
1.05,13,455.443236
-4.19,585,456.630778
-2.06,435,457.515
-1.51,234,458.154793
-0.49,241,458.771553
0.21,226,459.255007
1.37,30,459.329854
-1.98,274,459.888421
0.79,122,460.126557
1.12,100,460.293219
-1.39,430,461.097504
0.96,93,461.279733
-0.44,172,461.588127
0.71,149,461.858201
-0.05,113,462.059942
1.29,48,462.139606
0.42,194,462.495337
-1.11,214,462.93752
1.31,63,463.059065
-0.14,215,463.482159
-0.07,123,463.772529
-1.46,378,464.710431
-5.39,461,465.696766
0.23,217,466.139497
0.16,215,466.584291
0.9,139,466.887493
-1.17,262,467.385164
-0.64,344,468.066849
1.03,118,468.308327
1.54,62,468.439822
-0.75,293,469.026164
-1.99,474,469.940855
0.89,35,469.999775
-1.15,133,470.296964
0.56,163,470.667781
0.5,201,471.078106
1.11,115,471.304016
0.94,141,471.551867
-3.57,402,472.305208
0.84,148,472.598263
1.03,146,472.880493
-1.49,100,473.077051
0.06,187,473.485926
-2.94,172,473.847839
0.23,217,474.314384
-3.23,672,475.914053
-6.1,706,477.381532
-0.3,159,477.723083
1.38,47,477.826243
0.51,129,478.105571
-1.46,271,478.639637
-2.12,380,479.348502
0.46,164,479.654221
0.28,153,479.932476
-0.0,260,480.390761
0.28,99,480.581311
0.61,132,480.82195
-1.95,168,481.131321
1.08,135,481.383455
0.99,77,481.532364
1.12,101,481.716749
-0.8,117,481.929239
0.93,78,482.085638
1.5,2,482.089692
1.2,119,482.306466
0.81,99,482.497415
-0.54,130,482.752814
-0.48,98,482.960595
-1.43,363,483.725265
-1.91,108,483.927279
0.56,96,484.132609
1.59,61,484.24808
-3.51,247,484.751689
0.97,116,484.977761
-5.22,416,485.849136
0.71,64,485.96038
1.37,50,486.05748
1.32,75,676.524161
1.04,61,676.619992
1.25,93,676.798607
0.22,98,677.056906
0.26,211,677.561335
1.0,1,677.563666
-0.47,156,677.985843
0.87,71,678.115397
0.64,169,678.448435
-3.56,202,678.823689
1.46,24,678.865356
-2.23,371,679.505064
-0.59,140,679.731955
1.55,49,679.810901
1.61,44,679.883897
1.07,109,680.070459
-2.48,328,680.625307
1.21,64,680.736822
1.23,106,680.915164
-0.02,261,681.399873
0.19,119,681.612446
0.69,95,681.786154
0.65,87,681.936844
0.02,128,682.154261
1.45,49,682.229141
1.01,137,682.457867
-0.3,130,682.698376
1.05,93,682.849521
0.99,110,683.044852
-3.72,275,683.564502
-0.55,237,684.014696
-1.27,128,684.250813
0.72,192,684.664471
0.23,42,684.749426
-1.33,75,684.89129
1.52,53,684.990799
-3.69,405,685.749375
0.87,113,685.974679
-0.08,215,686.369842
-0.99,296,686.959083
0.23,77,687.103228
0.04,36,687.172645
0.86,92,687.348691
0.84,77,687.49144
0.3,73,687.656575
1.24,89,687.815659
-1.1,152,688.106421
1.26,71,688.248843
1.11,115,688.463503
-2.47,263,688.970158
1.04,64,689.103848
1.41,34,689.166379
-1.6,222,689.607817
1.21,101,689.80054
-0.64,197,690.178835
1.48,51,690.257394
1.49,17,690.295306
0.04,122,690.554929
1.33,81,690.718373
-0.84,88,690.884161
0.99,126,691.136538
0.75,195,691.529917
1.27,70,691.65805
0.96,99,691.854913
1.04,32,691.913717
0.36,41,691.98305
0.97,65,692.098177
-0.13,194,692.503009
0.87,136,692.792415
-0.16,61,692.903316
-0.33,173,693.226217
1.25,84,693.391388
0.11,181,693.759115
1.22,106,693.952974
0.65,84,694.097428
0.27,90,694.278923
-1.93,163,694.60235
-0.83,133,694.851845
0.84,141,695.133291
-0.09,194,695.518216
0.84,96,695.698082
0.81,49,695.791464
-1.74,179,696.137316
1.3,81,696.280258
0.41,109,696.509084
0.96,71,696.657211
-0.92,209,697.038786
1.5,2,697.054411
1.17,66,697.185476
0.91,100,697.368508
0.31,194,697.766406
1.52,42,697.850516
0.34,154,698.140448
0.9,58,698.246255
1.7,48,698.327852
-1.57,196,698.732074
0.66,107,698.924477
-0.12,113,699.137454
1.51,12,699.145599
0.89,115,699.373496
0.3,81,699.549109
0.21,167,699.865354
1.35,93,700.043963
0.17,219,700.483283
0.78,98,700.653975
-0.23,74,700.801573
0.57,65,700.928076
1.54,52,701.011678
0.51,180,701.369719
-0.01,136,701.651836
0.43,53,701.743895
1.57,54,701.839349
1.46,73,701.987255
1.41,54,702.102747
0.7,134,702.358088
1.47,16,702.389816
1.02,147,702.703186
1.65,33,702.755711
-4.18,211,703.168563
1.61,64,703.288354
1.49,25,703.33728
0.69,79,703.528979
1.25,84,703.690719
0.92,93,703.865813
0.5,132,704.116471
0.35,161,704.486391
0.11,174,704.990739
0.73,75,705.178239
1.44,31,705.25729
0.99,60,705.382074
0.01,151,705.644008
1.6,30,705.699931
0.69,156,705.968661
0.1,144,706.213332
0.42,42,706.285394
1.32,65,706.396801
0.94,64,706.512928
-0.18,98,897.638275
1.06,115,897.858648
0.95,32,897.915359
0.26,144,898.208874
1.59,23,898.264738
-3.69,466,899.209404
-0.12,82,899.369212
1.35,65,899.5072
1.55,48,899.590044
0.41,28,899.686912
1.19,118,899.920679
1.25,46,900.00403
1.08,128,900.26419
1.06,73,900.397975
1.05,47,900.494588
0.26,59,900.611195
0.05,189,901.029182
-1.06,190,901.397454
-0.02,85,901.573712
-3.2,153,901.907457
0.99,154,902.194009
0.28,83,902.369943
1.09,130,902.616462
0.05,142,902.923764
1.48,84,903.101528
0.25,70,903.241982
1.23,68,903.434464
-3.11,313,904.128365
0.67,132,904.386253
-0.78,176,904.726907
-1.59,337,905.419003
-1.79,330,906.094125
1.46,27,906.142606
0.77,63,906.268712
0.08,110,906.48576
0.06,195,906.853402
-0.88,93,907.074483
-0.98,176,907.415835
0.65,100,907.607586
-1.95,223,908.070648
1.53,64,908.193929
1.63,48,908.28758
1.44,45,908.370801
1.05,117,908.598693
0.63,86,908.760235
1.37,76,908.904021
0.55,200,909.322787
-0.08,63,909.435227
1.28,84,909.606519
1.55,43,909.691354
1.5,5,909.706979
-3.25,334,910.374002
1.34,52,910.474049
0.87,83,910.628728
0.89,87,910.805564
1.56,74,910.9478
1.33,62,911.102801
1.48,53,911.21042
0.96,74,911.34358
0.24,211,911.764467
1.2,107,911.967883
0.7,172,912.337747
0.78,86,912.508156
0.8,52,912.609349
1.52,40,912.686058
1.11,141,912.948804
0.32,156,913.298058
1.41,75,913.430074
-0.3,94,913.632681
-0.47,219,914.29635
1.02,67,914.42585
1.52,45,914.507721
1.02,93,914.684753
1.65,39,914.760434
1.55,45,914.831897
-0.73,78,914.979553
1.25,86,915.126082
-0.36,75,915.255194
1.2,71,915.401831
0.53,56,915.501854
-0.7,142,915.746914
1.22,92,915.926783
0.6,117,916.166734
0.57,102,916.381806
1.4,86,916.533701
-2.63,151,916.816435
1.29,97,916.996586
1.12,69,917.124282
1.33,85,917.281123
-0.02,128,917.506235
-2.0,198,917.881216
-2.08,203,918.26156
1.56,64,918.374985
1.47,77,918.50946
1.59,69,918.634343
0.85,72,918.770814
-2.41,203,919.148909
1.28,102,919.34027
1.44,48,919.425688
-3.48,293,919.982708
1.52,68,920.164102
1.46,20,920.197715
