#{"t_start": 1716233740.1211386, "env_id": "CenteringWorld-v0"}
r,l,t
-11.94,1591,3.012599
-0.19,261,3.436973
-20.98,2451,7.494341
-3.86,541,8.416848
-2.69,527,9.354076
-12.6,1478,12.271199
-4.02,552,13.371188
0.22,114,13.605167
-0.09,265,14.142605
-4.84,865,15.841835
0.64,98,16.062236
-2.66,573,17.186833
-19.26,2276,21.697864
0.57,114,21.924412
-7.88,1184,24.258747
0.13,225,24.667552
-7.94,824,26.30284
0.26,188,26.663785
-1.28,241,27.152592
-4.35,793,28.725729
-7.34,1029,228.523093
-3.14,586,229.797619
-13.18,1711,233.370145
-19.15,1664,236.759493
-5.27,677,238.282237
0.51,166,238.665143
-2.3,492,239.715167
-6.78,1131,242.258148
-0.54,259,242.715229
-3.04,435,243.590405
-7.16,1096,245.960161
-1.23,379,246.880444
-0.16,284,247.481071
0.1,190,247.896655
0.8,155,248.215466
-1.1,389,249.081009
-1.17,372,249.977282
-0.01,281,250.580431
-0.6,316,251.31345
0.61,195,251.731102
-4.47,406,252.649125
-0.79,217,253.057843
0.3,211,253.44882
0.58,221,253.824879
-0.29,207,254.16635
0.91,148,254.413424
-1.09,376,255.05313
-0.15,226,255.415945
-0.33,219,255.786439
-2.86,545,256.76237
-1.09,197,257.114893
-2.08,240,257.549986
0.16,231,257.967695
0.43,192,258.311766
-4.67,450,259.167624
1.43,51,259.267699
-0.54,311,454.576377
-1.14,291,455.163938
-2.01,278,455.746324
0.23,62,455.858139
0.18,87,456.037952
0.64,165,456.391152
-5.6,715,457.931793
-0.54,212,458.530879
0.08,187,458.946516
0.64,118,459.204939
-2.55,463,460.151304
1.12,121,460.36532
0.46,160,460.644751
-5.56,515,461.605744
0.52,85,461.754362
0.23,115,461.959268
-3.55,397,462.709364
-1.92,426,463.556277
0.4,199,463.993506
0.88,150,464.364347
0.91,106,464.684155
0.55,101,464.947001
-3.07,482,465.912409
1.39,28,465.995463
-0.77,180,466.355148
-1.39,205,466.792929
1.01,115,467.046412
1.04,107,467.235217
0.4,145,467.495708
-1.31,412,468.332283
0.67,83,468.521776
-0.65,211,468.926193
-0.02,233,469.407083
-3.04,256,469.880027
-0.99,322,470.575916
-8.05,769,472.049782
1.03,85,472.214362
0.73,161,472.534382
1.29,92,472.702676
-0.07,98,472.888823
1.38,35,472.968991
0.86,99,473.193747
-3.98,227,473.654595
-0.28,87,473.848872
-9.54,731,475.58454
-1.04,260,476.130267
-2.74,373,476.913726
0.64,190,477.292791
1.37,58,477.408506
0.77,134,477.701415
0.97,128,477.984772
-1.11,339,478.664007
1.26,88,478.827157
0.43,112,479.018902
1.33,71,479.159852
1.42,63,479.287526
-1.1,251,479.743292
-0.02,186,480.07994
-0.26,104,480.268171
0.9,79,480.399092
-1.07,113,480.621239
0.3,153,480.895932
1.16,113,481.107248
-0.0,162,481.407398
1.04,67,481.540695
-3.73,416,482.312541
-3.21,239,482.776804
-0.89,186,483.165879
1.28,65,483.289777
0.56,105,483.53457
1.49,59,483.661072
0.67,150,483.956772
-4.93,556,485.066245
1.29,55,485.167311
0.24,90,485.364176
-2.41,164,485.723616
0.45,129,485.968711
-2.53,182,676.628322
1.48,22,676.659602
0.48,194,677.115254
-0.61,240,677.661867
1.47,10,677.682799
0.55,177,678.13622
0.69,178,678.4865
0.53,192,678.844503
1.48,76,678.977798
0.87,80,679.121164
-0.89,220,679.492258
-0.93,220,679.850474
-0.17,207,680.207235
0.34,160,680.472536
-1.54,232,680.869141
-1.54,279,681.373695
0.31,203,681.740258
1.0,138,681.981856
0.42,78,682.109636
1.07,49,682.194697
0.81,106,682.384429
-0.48,116,682.577816
0.51,118,682.772503
-0.81,125,682.995028
-3.64,371,683.705229
-2.16,299,684.259143
-0.04,137,684.521803
0.33,100,684.763674
0.89,44,684.847729
-0.44,239,685.281969
-0.6,128,685.521879
1.2,113,685.757705
0.1,213,686.164006
1.24,83,686.311697
-1.16,125,686.582322
-0.14,62,686.698533
1.46,41,686.774317
1.67,49,686.853984
0.4,153,687.149695
0.58,123,687.373678
0.77,147,687.690512
1.37,93,687.854909
-0.0,185,688.200632
0.9,100,688.39484
0.39,127,688.654567
0.35,119,688.893432
-3.24,238,689.324674
-3.6,274,689.877937
-1.29,236,690.319293
1.61,54,690.420514
-0.04,149,690.739501
1.46,51,690.834563
-2.23,177,691.182668
0.11,188,691.561197
-1.22,103,691.758213
-0.2,126,691.991381
0.63,64,692.106507
1.24,52,692.20485
1.13,92,692.378503
0.86,38,692.443501
1.2,120,692.738214
1.3,68,692.864381
-2.82,363,693.574362
0.61,118,693.805712
-0.03,125,694.041068
-1.24,191,694.383069
-0.36,115,694.626314
-0.79,135,694.891426
0.6,166,695.206545
-0.81,83,695.366386
0.49,68,695.510567
0.13,110,695.719916
-0.3,234,696.161584
0.84,150,696.45398
-0.07,39,696.557128
1.49,22,696.582052
-0.15,170,696.919961
0.98,101,697.115407
0.43,105,697.308038
0.41,122,697.561206
1.43,90,697.736056
1.35,102,697.932546
0.96,93,698.108602
-0.96,185,698.447124
-0.31,114,698.692461
0.92,122,698.916854
-1.17,71,699.042737
1.19,106,699.250219
-0.96,179,699.609549
0.22,56,699.709642
0.17,92,699.88931
1.56,75,700.032579
0.52,105,700.221355
0.11,101,700.414754
-1.31,195,700.809903
1.03,155,701.100805
0.91,34,701.17063
1.19,114,701.383092
-0.23,106,701.610159
0.15,95,701.783129
0.39,75,701.933055
1.55,29,701.995586
1.0,54,702.091435
-0.41,258,702.623084
0.69,176,702.96022
1.11,57,703.056408
1.46,58,703.176893
0.66,112,703.39283
1.51,33,703.489649
0.55,110,703.715105
1.43,28,703.761987
0.15,87,703.928393
1.43,43,704.014138
-0.09,86,704.179002
1.31,99,704.382373
0.47,150,704.865736
1.51,28,704.924057
1.26,59,705.059615
-1.41,176,705.453587
-0.82,158,705.732735
0.57,107,705.915709
1.08,111,706.104091
