#{"t_start": 1716233740.119342, "env_id": "CenteringWorld-v0"}
r,l,t
-8.58,1334,2.552098
-22.45,2765,7.149112
-4.22,665,8.290563
-19.91,2323,12.75729
-4.22,798,14.354097
-0.23,248,14.822448
-1.03,314,15.457517
-10.32,1390,18.197982
0.22,248,18.663537
-7.51,976,20.63135
-10.39,1052,22.732305
-14.97,2129,26.873352
-24.82,3214,231.261056
-4.85,726,232.68669
0.38,214,233.163172
1.51,12,233.208815
-0.94,372,233.996203
-3.12,668,235.316784
-3.61,556,236.451582
-3.65,668,237.941854
-1.22,225,238.416931
-3.73,607,239.747601
0.22,132,240.148654
0.99,112,240.417245
-6.08,791,242.118603
0.08,206,242.482587
-2.69,519,243.498217
0.91,146,243.775561
-1.57,122,244.017194
1.32,34,244.156789
-6.81,687,245.644272
-3.78,598,247.017187
0.75,148,247.332834
-16.99,1616,250.932857
-1.02,337,251.709007
-1.2,370,252.557155
-0.06,145,252.836066
-3.42,408,253.576996
0.51,174,253.867974
1.32,69,253.969847
-3.14,278,254.456865
-0.83,332,255.005827
1.03,83,255.148655
1.16,128,255.354811
-15.74,1117,257.325752
-0.07,188,257.678302
-2.02,106,257.859111
0.26,213,258.243746
0.58,163,258.551172
0.69,145,258.82189
-1.47,376,259.589482
1.28,84,454.402219
-2.91,583,455.599076
-7.27,456,456.522086
-3.82,496,457.525127
1.18,91,457.769915
0.24,130,458.143368
0.88,154,458.560723
0.75,72,458.735813
-0.32,225,459.219289
-0.18,147,459.52942
-4.36,491,460.469735
1.04,13,460.504324
0.42,132,460.744843
1.05,106,460.941898
-4.62,397,461.670482
-0.07,189,462.007959
-1.12,205,462.373163
1.55,19,462.420051
0.95,157,462.72433
1.3,34,462.794211
-5.27,470,463.766998
-1.32,395,464.748631
-0.17,147,465.090238
-1.13,146,465.38613
0.34,186,465.77254
1.09,136,466.049599
-0.11,194,466.449796
0.66,81,466.629593
-1.89,451,467.497504
-0.55,233,467.980728
-2.06,269,468.54625
1.18,70,468.674885
-2.64,397,469.471848
0.56,128,469.707945
0.7,79,469.850781
-2.54,332,470.561275
-0.37,217,471.012912
0.1,190,471.381859
-2.24,315,471.951511
-0.61,173,472.279443
-1.14,316,472.89062
-5.96,578,474.098657
-5.32,557,475.494695
-1.52,410,476.344841
0.57,127,476.615597
1.12,106,476.857179
-2.63,534,477.965764
0.22,100,478.169903
-0.97,192,478.555488
-1.39,388,479.284259
0.73,53,479.374287
-0.91,183,479.721664
-2.7,310,480.276817
1.02,13,480.298775
1.3,106,480.483119
0.84,106,480.691334
0.61,165,480.976268
-0.06,214,481.377957
1.49,46,481.474959
0.58,31,481.526866
0.54,83,481.695605
-7.14,574,482.7786
-0.27,168,483.11867
-3.96,464,484.080704
0.85,34,484.148928
-2.49,477,485.115454
0.2,166,485.445826
-0.27,62,485.594232
0.93,112,485.824216
-1.47,241,676.597458
1.29,86,676.746061
0.46,9,676.76144
1.02,17,676.793101
-1.92,332,677.605556
-0.09,136,677.979749
0.77,70,678.117212
1.13,87,678.292374
-0.55,217,678.709417
0.6,106,678.896304
0.7,161,679.171266
