#{"t_start": 1716233740.1211386, "env_id": "CenteringWorld-v0"}
r,l,t
-8.23,838,1.717637
-12.13,1689,4.545321
-5.89,965,6.131293
-7.43,852,7.559621
-28.47,3852,14.982713
-11.87,1524,17.956033
-8.41,1133,20.242591
-21.68,2855,25.843792
-0.89,371,26.579443
-3.12,368,27.303551
-4.72,825,28.927726
-1.68,482,227.562222
-6.77,1062,229.933542
-4.82,860,231.688921
-2.77,578,232.834805
0.6,153,233.206702
-0.97,235,233.669419
-12.56,1253,236.219165
-2.18,348,236.95582
-0.57,115,237.206803
-0.37,288,237.881939
0.59,187,238.294342
-0.49,222,238.796391
-0.98,331,239.497505
-0.91,248,240.146858
-0.19,211,240.711284
-1.06,400,241.523927
-18.85,2066,245.762384
-3.91,513,246.972817
1.49,7,246.973769
-1.05,191,247.381075
1.16,121,247.665421
-0.34,268,248.210207
-0.81,401,249.096644
-23.78,2638,254.547748
-0.57,206,254.886179
-0.37,178,255.178518
0.04,87,255.331117
-4.82,535,256.235427
-0.3,268,256.716102
-4.37,575,257.767977
-2.14,431,258.55958
-0.36,231,258.992841
-4.7,502,454.668093
-1.87,421,455.539156
-0.01,269,456.070955
0.97,84,456.232013
1.46,46,456.359697
-1.62,374,457.090536
-1.55,279,457.717552
1.26,68,457.904876
-0.97,411,458.946516
1.07,85,459.134107
-0.41,117,459.395079
-0.22,280,459.959069
-2.93,556,460.985938
-2.43,322,461.573563
0.99,145,461.845276
1.38,80,461.990538
-2.84,423,462.788249
-2.63,377,463.540249
-0.08,302,464.187175
0.4,98,464.494676
-5.08,375,465.359191
0.24,235,465.847629
-1.98,440,466.76344
1.16,101,466.983284
-2.15,440,467.818591
1.03,106,468.043522
0.93,122,468.284276
-0.74,92,468.483167
-0.64,214,468.903605
-2.83,395,469.674909
-0.36,227,470.121979
0.79,164,470.496742
-5.84,606,471.692505
-0.16,98,471.874589
1.18,78,472.001879
1.5,17,472.033152
-0.34,141,472.313539
-1.6,252,472.805178
-0.32,97,472.989573
0.53,117,473.256365
0.69,153,473.565975
0.17,168,473.920798
-0.07,142,474.224272
0.71,63,474.354393
0.17,61,474.464961
1.11,120,474.718203
0.91,90,474.910371
0.44,94,475.187627
0.45,149,475.649248
0.17,120,475.890752
-2.3,336,476.597054
0.32,39,476.685372
1.1,115,476.913726
0.75,101,477.13651
-1.95,186,477.489017
1.2,116,477.755597
1.52,68,477.905725
-0.19,161,478.243083
-0.15,184,478.598692
0.17,150,478.879313
1.32,75,479.018902
-2.21,435,479.83034
-2.76,403,480.558092
1.2,64,480.668537
-1.34,253,481.139652
-1.19,199,481.509445
-0.3,179,481.852167
0.45,204,482.222964
0.82,153,482.521704
1.48,22,482.555942
-0.47,178,482.918534
-0.27,148,483.219993
1.22,56,483.343054
-1.84,397,484.163158
-3.91,314,484.805487
0.32,57,484.920154
-1.37,258,485.411058
-0.05,90,485.623698
1.36,108,485.855467
-0.91,255,676.643977
1.5,34,676.702454
0.13,196,677.169432
-0.52,154,677.535797
0.36,107,677.741954
0.59,137,678.127898
0.51,185,678.490707
1.43,19,678.524015
-0.6,212,678.915345
0.66,171,679.200859
1.19,73,679.333201
1.41,55,679.429014
0.64,118,679.621729
1.51,65,679.72438
-4.86,242,680.128681
0.01,165,680.409356
1.24,89,680.570443
0.76,93,680.713818
