#{"t_start": 1716403489.6399803, "env_id": "CenteringWorld-v0"}
r,l,t
-0.39,299,1.218647
1.24,96,1.620981
1.47,18,1.652292
1.62,43,1.716847
1.57,10,1.732474
1.67,40,1.801747
1.74,36,2.099298
1.73,93,2.247512
1.93,83,2.614564
1.7,36,2.681222
1.55,14,2.692569
1.63,23,2.967849
1.66,24,3.016779
1.92,74,3.132207
1.69,47,3.46341
1.84,97,3.862649
1.58,12,3.892641
1.59,22,3.91558
1.65,17,3.947309
1.67,21,3.978342
1.53,5,3.995524
1.62,14,4.009236
1.61,17,4.040518
1.4,24,4.337549
1.81,40,4.388497
1.86,38,4.450921
1.45,31,4.497818
1.51,17,4.78009
1.64,18,4.811618
1.61,18,4.842876
1.69,25,4.891702
1.51,19,4.912652
1.54,6,4.928025
1.71,27,4.959263
1.64,16,5.241641
1.58,11,5.257281
1.62,14,5.288782
1.59,11,5.310107
1.78,43,5.367822
1.6,12,5.383695
1.64,18,5.426084
1.51,17,5.690777
1.71,24,5.737393
1.7,26,5.775919
1.73,37,5.838706
1.56,8,5.856854
2.15,91,6.200916
1.63,51,6.290484
1.74,32,6.509246
1.67,21,6.540777
1.62,14,6.572035
1.6,18,6.604101
1.55,7,6.604101
1.52,12,6.635632
1.73,33,6.682507
1.6,12,6.86775
1.86,45,6.946317
1.81,33,7.008613
1.72,24,7.046892
1.48,17,7.216682
2.04,56,7.31386
1.86,42,7.383358
1.56,30,7.587831
1.82,38,7.650326
1.76,29,7.703334
1.69,22,7.734754
1.59,13,7.766003
1.49,17,7.79592
1.6,22,7.977374
1.74,41,8.041977
1.78,37,8.104454
1.59,11,8.129517
1.7,24,8.312846
1.55,9,8.33782
1.56,24,8.367068
1.86,40,8.442697
1.54,6,8.442697
1.67,29,8.489874
1.53,21,8.686867
1.73,31,8.733663
1.76,38,8.803315
1.61,17,8.834562
1.68,20,8.867814
1.95,47,9.10426
1.75,29,9.151135
2.1,78,9.439719
1.53,5,9.439719
1.62,16,9.477168
1.66,20,9.494916
1.6,20,9.541035
1.67,19,9.572305
1.64,16,9.610772
1.58,12,9.636702
1.67,27,9.869862
1.91,43,9.949293
1.59,11,9.964918
1.61,15,10.00255
1.62,18,10.019678
1.62,16,10.066319
1.62,14,10.270311
1.67,19,10.301531
1.59,11,10.317302
1.47,5,10.332791
1.52,4,10.332791
1.66,22,10.379429
1.64,32,10.441929
1.77,32,10.511665
1.6,16,10.715992
1.62,14,10.746985
1.88,40,10.827303
1.66,20,10.858814
1.72,24,10.908514
1.89,41,11.159661
1.6,20,11.19135
1.63,17,11.237979
1.47,19,11.269316
1.9,42,11.353367
1.5,6,11.542792
1.67,27,11.596076
1.53,19,11.636575
1.59,15,11.657633
1.61,21,11.704779
1.58,45,11.976215
