#{"t_start": 1716403489.6316247, "env_id": "CenteringWorld-v0"}
r,l,t
-0.74,367,1.322329
1.41,43,1.660647
1.6,24,1.701982
1.57,31,1.74083
1.42,52,2.074987
1.5,28,2.107653
1.77,36,2.170975
1.56,30,2.217849
1.55,46,2.528326
1.56,21,2.559686
1.79,38,2.62292
1.57,13,2.638792
1.61,17,2.670038
1.59,13,2.697925
1.7,30,2.976205
1.54,6,2.99175
1.62,14,3.014229
1.6,31,3.060441
1.66,26,3.091937
1.6,12,3.123191
1.65,37,3.433717
1.82,53,3.51892
1.61,28,3.56666
1.6,14,3.582316
1.65,27,3.888015
1.79,32,3.923935
1.6,17,3.955664
1.77,39,4.017592
1.53,5,4.033674
1.56,8,4.033674
1.96,50,4.365591
1.64,20,4.412478
1.54,15,4.428357
1.89,42,4.49056
1.43,49,4.835645
1.67,23,4.866848
1.58,10,4.888031
1.64,36,4.936381
1.78,36,5.249997
1.68,21,5.281662
1.72,41,5.344928
1.65,17,5.376178
1.64,16,5.407676
1.62,22,5.438438
1.63,16,5.714776
1.66,41,5.784275
1.58,11,5.800186
1.57,9,5.815802
1.6,12,5.831673
1.61,13,5.847062
1.79,31,6.108671
1.6,12,6.124234
1.62,14,6.155662
1.65,39,6.209272
1.58,10,6.225177
1.79,35,6.292439
1.6,20,6.504528
1.63,15,6.517601
1.67,23,6.549133
1.67,22,6.600545
1.74,29,6.643987
1.66,25,6.675239
1.55,21,6.876106
1.75,51,6.970176
1.62,45,7.052248
1.49,9,7.055248
1.94,52,7.290965
1.87,39,7.371029
1.53,5,7.376056
1.75,29,7.422964
1.59,15,7.596187
1.59,15,7.627184
1.67,23,7.658682
1.52,9,7.681125
1.77,30,7.727645
1.74,26,7.774359
1.58,10,7.793568
1.74,38,8.001364
1.52,4,8.001364
1.51,5,8.022717
1.56,10,8.034408
1.73,29,8.081651
1.64,16,8.11281
1.77,31,8.166761
1.65,17,8.346176
1.58,10,8.359488
1.67,21,8.391017
1.87,42,8.46698
1.57,23,8.49823
1.59,11,8.513832
1.6,16,8.695223
1.65,19,8.726407
1.61,17,8.764173
1.67,23,8.795794
1.52,20,8.827326
1.52,22,8.874169
1.81,33,9.087229
1.51,19,9.112616
1.58,10,9.128241
1.53,6,9.143866
1.61,13,9.159491
2.06,62,9.260489
1.43,31,9.463712
1.6,24,9.519416
1.59,11,9.53345
1.59,11,9.54939
1.94,51,9.645057
1.59,13,9.862856
1.65,18,9.894107
1.58,10,9.909725
1.89,46,10.004922
1.53,5,10.012767
1.65,17,10.045323
1.6,12,10.058585
1.61,13,10.090121
1.55,7,10.278667
1.66,18,10.309887
2.03,59,10.419035
1.7,22,10.471146
1.78,30,10.708466
1.68,20,10.755341
1.8,32,10.820045
1.98,51,10.916869
1.79,37,11.152664
1.97,55,11.26195
1.69,21,11.293203
2.05,58,11.598682
1.67,19,11.620405
1.62,75,11.774229
1.52,8,11.790105
2.17,71,12.101233
1.65,17,12.140694
1.54,22,12.175655
1.74,29,12.420047
1.84,38,12.484826
1.49,23,12.533599
1.57,13,12.56513
1.57,9,12.58075
1.61,15,12.611755
1.61,24,12.84503
1.64,20,12.86598
1.66,18,12.89723
2.01,65,13.037723
1.58,16,13.075284
1.75,29,13.33572
1.69,21,13.382627
2.22,79,13.528375
1.83,45,13.779666
1.53,5,13.79811
1.64,23,13.832614
1.58,12,13.863876
1.6,12,13.879749
1.38,30,13.942154
1.89,44,14.204726
1.84,41,14.281818
1.69,21,14.312818
1.66,22,14.358586
1.56,28,14.591253
1.57,14,14.606868
1.6,12,14.638123
1.68,20,14.684568
1.68,28,14.731744
1.74,26,14.77994
1.63,15,14.982715
1.68,20,15.029684
1.55,13,15.045327
1.66,24,15.092194
1.96,48,15.17766
1.79,34,15.413032
1.89,41,15.498166
1.77,38,15.5631
1.67,19,15.594329
1.58,14,15.802697
1.55,11,15.818324
1.6,16,15.841992
1.58,10,15.857254
1.69,23,15.908827
1.54,14,15.940086
1.77,29,15.988757
1.94,58,16.265096
1.67,19,16.312681
1.55,7,16.331634
1.78,30,16.371132
1.75,27,16.434569
2.23,77,16.762868
2.02,58,16.875365
1.57,9,17.055716
1.72,24,17.109579
1.61,13,17.140849
1.65,19,17.172098
1.55,8,17.191474
1.93,49,17.283828
1.58,10,17.473252
1.72,24,17.521958
1.61,13,17.553238
1.62,18,17.584739
1.8,32,17.650215
1.71,24,17.681727
1.74,30,17.915067
1.62,16,17.946123
1.62,18,17.987836
1.55,7,17.987836
1.79,31,18.051262
1.8,32,18.114047
1.55,7,18.129671
1.62,22,18.350324
1.75,27,18.403448
1.62,18,18.434687
1.69,27,18.486106
1.0,1,18.494996
1.59,11,18.501304
2.24,76,18.831606
1.5,8,18.834606
1.99,51,18.934438
1.65,21,19.159639
1.62,14,19.175652
1.59,15,19.206793
1.65,35,19.271109
1.66,18,19.302688
1.91,43,19.574209
1.55,19,19.596377
1.58,22,19.643246
1.63,15,19.658865
1.49,9,19.695141
1.6,20,19.727675
1.68,20,19.758673
1.97,49,20.038029
1.58,10,20.053656
1.58,10,20.075315
1.79,31,20.136832
1.56,8,20.152704
1.92,48,20.416895
1.54,6,20.416895
1.59,11,20.455438
1.49,7,20.455438
1.78,30,20.518219
1.48,24,20.567212
