#{"t_start": 1716403489.6362674, "env_id": "CenteringWorld-v0"}
r,l,t
-0.15,242,0.895396
0.93,291,2.087247
1.73,57,2.182009
1.55,25,2.213207
1.92,66,2.572817
1.76,53,2.649773
1.63,25,2.693282
1.67,44,2.987107
1.61,29,3.040424
1.55,7,3.055799
1.74,38,3.10302
1.59,15,3.137919
1.85,40,3.463124
1.67,22,3.482781
1.57,13,3.514277
1.63,29,3.562017
1.78,32,3.866362
1.62,15,3.891411
1.74,26,3.919293
1.64,16,3.951022
1.59,14,3.966429
1.48,25,4.012949
1.6,12,4.029032
1.83,38,4.345305
1.7,22,4.377004
1.52,10,4.39221
1.55,7,4.407835
1.78,35,4.470292
1.66,21,4.50153
1.57,13,4.783803
1.67,26,4.815331
1.88,44,4.895415
1.8,38,4.947363
1.58,10,4.962976
1.69,22,5.245354
1.67,19,5.277019
1.67,22,5.324628
1.92,44,5.387408
1.67,19,5.424532
1.54,6,5.433795
1.55,25,5.725739
1.58,22,5.761584
1.69,26,5.795543
1.66,24,5.82703
1.59,11,5.858427
1.52,4,5.863777
1.59,11,5.875448
1.57,31,6.134941
1.53,21,6.166442
1.76,30,6.220534
1.57,9,6.236156
1.64,20,6.267414
1.85,43,6.512959
1.94,50,6.595902
1.67,23,6.623473
1.63,15,6.654998
1.52,8,6.654998
1.72,26,6.871463
1.62,26,6.92688
1.58,10,6.933922
1.66,22,6.965533
1.49,15,6.996452
2.12,64,7.254787
1.71,42,7.317573
1.58,14,7.354618
1.54,16,7.371413
1.69,21,7.403015
1.62,14,7.434216
1.68,20,7.622541
1.6,16,7.638166
1.51,3,7.654039
1.58,12,7.676483
1.56,12,7.691304
1.61,13,7.707047
1.58,10,7.723002
1.66,18,7.753836
1.55,14,7.790926
1.77,33,7.981087
1.54,8,7.996722
1.61,15,8.029765
1.51,21,8.061293
1.49,7,8.077009
1.43,34,8.139146
1.72,26,8.332984
1.94,48,8.401741
1.69,21,8.44641
1.72,26,8.478029
1.53,11,8.509189
1.71,29,8.706126
1.58,14,8.721764
1.73,25,8.775496
1.79,39,8.838274
1.56,42,9.061158
1.53,9,9.085997
1.72,29,9.123598
1.66,24,9.170473
1.64,16,9.202659
1.64,19,9.224584
1.53,15,9.255847
2.02,68,9.528807
1.61,13,9.544748
1.81,33,9.614485
1.65,21,9.656039
1.58,10,9.858213
1.61,13,9.873575
1.64,16,9.905082
1.86,38,9.984527
1.88,56,10.085478
1.71,51,10.367486
1.54,24,10.398756
1.51,7,10.414393
1.84,40,10.500071
1.64,33,10.750698
1.55,8,10.766732
1.65,17,10.800051
1.64,16,10.831016
2.03,55,10.927851
1.65,31,11.163374
1.67,19,11.195063
1.62,36,11.273029
1.53,13,11.28856
1.6,16,11.329258
1.53,17,11.35708
1.61,33,11.599788
1.55,15,11.638289
1.78,30,11.692584
1.66,34,11.75393
1.64,16,11.785462
1.7,22,12.011459
1.83,50,12.09659
1.79,31,12.15506
1.53,5,12.171013
1.68,20,12.204944
1.63,15,12.417404
1.74,28,12.464563
1.63,15,12.511187
1.67,19,12.544612
1.61,35,12.607112
1.77,29,12.845681
1.62,18,12.876951
1.8,32,12.948671
1.58,36,13.0021
1.52,12,13.050896
1.74,27,13.299814
1.65,17,13.331077
1.74,26,13.379985
1.67,19,13.411519
1.57,9,13.427011
1.9,47,13.523732
1.41,35,13.759184
1.63,15,13.80397
2.03,57,13.90691
1.76,28,14.137301
1.8,34,14.200083
1.54,14,14.215462
1.57,21,14.2613
1.58,10,14.277175
1.7,26,14.3238
1.74,27,14.570695
1.59,27,14.602226
1.68,20,14.648854
2.1,62,14.758327
1.65,17,14.978072
1.54,8,14.996398
1.54,6,15.00914
1.75,27,15.05629
1.33,35,15.125775
1.62,14,15.141432
1.66,18,15.173018
1.73,30,15.408389
1.64,16,15.446616
1.61,15,15.462273
1.61,23,15.509392
1.62,14,15.542524
1.83,35,15.589686
1.59,25,15.813681
1.6,12,15.837349
1.48,24,15.888281
1.58,10,15.904184
1.6,14,15.920022
1.52,12,15.950802
1.62,14,15.984114
1.66,18,16.015396
1.51,7,16.213296
1.89,41,16.276075
1.7,22,16.32799
1.55,7,16.32899
1.66,18,16.366489
1.71,27,16.423712
1.55,19,16.636953
1.61,13,16.665526
1.71,23,16.697046
1.6,12,16.728026
1.63,15,16.758226
1.6,12,16.773883
1.57,13,16.805133
1.81,37,17.051073
1.66,22,17.100937
1.53,5,17.104936
1.93,45,17.197781
1.64,16,17.216713
1.57,9,17.232062
1.93,47,17.516315
1.7,22,17.548596
1.7,22,17.580096
1.53,5,17.595471
1.68,22,17.645572
1.61,13,17.661483
1.59,25,17.879195
1.5,4,17.89507
1.97,51,17.983193
1.89,41,18.062536
1.64,16,18.094021
1.64,24,18.314687
1.78,30,18.38215
1.93,48,18.461555
1.64,16,18.496661
1.74,38,18.749076
2.05,57,18.845993
1.58,18,18.877119
1.6,12,18.892757
1.64,16,18.942622
1.57,33,19.171009
1.81,33,19.245778
1.62,14,19.266467
1.78,31,19.313688
1.83,42,19.57582
1.77,29,19.62309
1.4,34,19.691499
1.82,34,19.75403
1.45,15,19.79985
1.57,9,19.984574
1.85,39,20.066589
1.76,31,20.116532
1.52,4,20.132189
1.6,12,20.148061
1.88,46,20.412252
1.87,49,20.498062
1.77,30,20.562569
1.71,29,20.615538
1.51,11,20.817762
2.05,57,20.918025
1.59,11,20.949096
1.67,19,20.980029
1.61,19,21.01131
1.69,23,21.224138
1.72,25,21.270787
1.66,20,21.316547
1.59,11,21.332205
1.63,19,21.363732
1.59,15,21.394705
1.79,31,21.457329
1.83,37,21.701966
1.61,13,21.717591
1.75,29,21.782091
1.75,27,21.82921
1.76,31,22.090501
1.63,17,22.121762
1.55,7,22.121762
1.66,22,22.183152
1.83,35,22.241755
1.65,18,22.287289
1.61,13,22.303945
1.71,24,22.536256
1.62,22,22.567506
1.5,12,22.583376
1.78,35,22.6532
1.54,8,22.669011
1.64,20,22.724872
1.84,36,22.965454
1.57,25,23.012581
1.6,12,23.033919
1.59,11,23.050836
1.5,2,23.050836
1.64,16,23.082119
1.63,15,23.113369
1.67,25,23.166534
1.72,24,23.387333
1.61,14,23.40297
2.18,71,23.535283
1.66,18,23.584159
1.75,27,23.817496
1.75,27,23.864402
1.63,17,23.89602
1.63,15,23.931176
1.62,18,23.949833
1.48,20,23.996697
1.55,11,24.197014
1.9,43,24.282352
1.72,24,24.337514
1.56,10,24.342553
1.54,6,24.35821
1.58,14,24.389737
1.63,19,24.421007
1.63,19,24.624885
1.65,17,24.670715
1.54,6,24.686374
1.77,33,24.733524
1.82,36,24.811511
2.07,59,25.109321
1.65,17,25.129247
1.68,20,25.160216
1.67,19,25.208126
1.5,2,25.212139
1.56,8,25.229002
1.77,31,25.276158
1.53,25,25.498005
1.55,7,25.513299
1.58,22,25.561353
1.65,17,25.59301
1.82,34,25.655012
1.78,30,25.90403
1.55,15,25.91967
1.88,40,25.999251
1.55,13,26.030418
1.59,11,26.046063
1.96,48,26.321012
1.99,51,26.420707
1.64,16,26.447757
1.69,21,26.479038
1.54,6,26.494663
1.83,38,26.746663
1.63,18,26.778192
1.69,21,26.824821
1.55,7,26.841241
1.57,11,26.862374
1.58,10,26.878032
1.53,13,26.893657
1.56,16,26.924908
1.79,33,27.183192
2.0,52,27.281751
1.74,26,27.323097
1.99,53,27.614502
1.95,48,27.696002
1.71,23,27.734172
1.63,23,27.781327
1.52,4,27.797006
1.61,13,27.827998
1.66,24,28.048825
1.59,15,28.066605
1.58,10,28.082106
1.57,13,28.113631
1.6,18,28.147713
1.55,9,28.163895
1.61,13,28.179242
1.99,51,28.450202
1.65,19,28.488332
1.99,51,28.595678
1.54,20,28.627196
1.6,12,28.643008
1.61,13,28.843321
1.62,14,28.874323
1.55,15,28.909167
1.9,46,28.987573
1.64,16,29.025824
1.6,12,29.041479
1.66,18,29.245689
1.65,17,29.27694
1.57,11,29.308201
1.53,9,29.324765
1.6,14,29.345997
1.99,51,29.454123
1.62,14,29.475064
1.8,32,29.710308
1.65,17,29.742011
1.68,20,29.780033
1.63,15,29.811313
1.72,24,29.858189
1.51,3,29.870807
1.74,26,29.907131
1.68,20,30.116754
1.64,20,30.15405
1.64,16,30.185568
1.52,24,30.233199
1.55,19,30.264705
1.88,40,30.525103
1.62,14,30.554062
1.73,26,30.593994
1.8,32,30.65998
1.57,9,30.679072
1.55,7,30.679072
1.68,22,30.726209
1.55,7,30.741996
1.88,40,30.987393
1.64,16,31.019014
1.67,19,31.050172
1.67,32,31.111675
1.67,19,31.142988
1.62,14,31.353233
1.43,15,31.368611
1.59,11,31.384486
1.53,5,31.41458
1.69,27,31.448862
1.49,5,31.464772
1.64,16,31.495736
1.84,36,31.565736
1.57,17,31.761357
1.74,26,31.808568
1.6,14,31.855124
1.85,44,31.933535
1.73,25,31.971815
1.68,20,32.204275
2.14,66,32.328249
1.98,50,32.583338
1.75,27,32.637528
1.87,39,32.719559
1.76,28,32.768983
1.64,16,32.791664
1.63,15,33.005358
2.26,81,33.171047
1.64,36,33.233437
1.6,12,33.435267
1.55,15,33.471058
1.94,48,33.562262
1.55,19,33.597748
1.59,11,33.613679
1.69,21,33.660537
1.65,17,33.860322
1.55,11,33.891603
1.36,26,33.941507
1.89,45,34.026721
1.58,10,34.04257
1.71,25,34.08976
1.68,20,34.308675
1.58,14,34.324244
