#{"t_start": 1716403489.6362674, "env_id": "CenteringWorld-v0"}
r,l,t
-0.12,255,0.911022
1.37,26,1.191356
1.43,133,1.656004
1.51,46,1.72056
1.4,45,1.80346
1.35,39,2.10301
1.53,44,2.166332
1.79,53,2.492117
1.83,44,2.578979
1.63,26,2.618277
1.71,37,2.665395
1.6,24,2.940311
1.76,59,3.040424
1.63,16,3.055799
1.69,35,3.125183
1.57,12,3.137919
1.7,29,3.448271
1.44,20,3.467123
1.37,49,3.558017
1.55,12,3.562017
1.7,23,3.850754
1.57,9,3.866362
1.71,23,3.903649
1.68,23,3.951022
1.81,44,4.012949
1.55,8,4.029032
1.62,22,4.32539
1.64,22,4.360948
1.6,14,4.377004
1.65,18,4.407835
1.74,61,4.50153
1.44,25,4.799459
1.6,12,4.815331
1.79,32,4.862205
2.2,74,5.245354
1.61,13,5.260993
1.62,15,5.277019
1.57,10,5.292495
1.6,12,5.324628
1.58,33,5.371535
1.64,16,5.403033
1.84,38,5.710133
1.6,12,5.725739
1.57,15,5.759583
1.65,17,5.779632
1.52,4,5.779632
1.65,19,5.81116
1.62,14,5.842419
1.69,27,5.875448
1.77,29,6.134941
1.69,23,6.182062
1.45,9,6.195374
1.61,18,6.220534
1.78,44,6.293197
1.72,28,6.512959
1.73,43,6.575748
1.52,24,6.623473
1.75,56,6.871463
1.61,19,6.902713
1.55,7,6.929923
1.63,15,6.95003
1.58,30,6.996452
1.63,31,7.050605
1.81,33,7.254787
1.6,24,7.302044
1.61,21,7.333193
1.9,43,7.403015
1.63,20,7.434216
1.84,36,7.654039
1.58,10,7.670459
1.7,22,7.707047
1.69,21,7.738467
1.68,28,7.790926
1.58,24,7.965216
1.63,15,7.996722
1.58,10,8.024503
1.46,10,8.029765
1.74,61,8.143475
1.53,5,8.146475
1.54,6,8.146475
1.64,16,8.337984
1.5,12,8.354846
1.66,18,8.386374
1.5,2,8.386374
1.71,25,8.43372
1.49,19,8.462338
1.5,30,8.509189
1.65,18,8.69058
1.55,19,8.721764
1.5,8,8.737375
1.66,18,8.774496
1.89,49,8.854585
1.58,20,8.887184
1.73,31,9.092316
1.75,31,9.139223
1.55,23,9.189138
1.58,12,9.20894
1.63,27,9.240493
1.68,22,9.443432
1.56,12,9.459069
1.78,30,9.520126
1.53,21,9.544748
2.17,76,9.873575
1.82,34,9.953006
1.77,31,10.008124
1.64,20,10.048618
1.53,6,10.053942
1.6,12,10.070032
1.63,29,10.305244
1.79,50,10.398756
1.57,17,10.430285
1.76,33,10.500071
1.52,24,10.735073
1.8,33,10.800051
1.89,41,10.862527
1.59,11,10.89657
1.6,18,10.927851
1.66,20,11.148022
1.5,14,11.163374
1.7,22,11.219453
2.12,65,11.341424
1.65,17,11.546505
1.48,18,11.578054
1.66,18,11.615762
1.74,28,11.67697
1.49,13,11.692584
1.57,17,11.723845
1.64,16,11.769586
1.53,9,11.785462
1.63,15,11.995584
1.72,24,12.027084
1.76,38,12.09659
1.8,34,12.15506
1.64,22,12.204944
1.64,20,12.417404
1.78,31,12.480183
1.7,22,12.544612
1.64,32,12.591746
1.59,15,12.638254
1.86,40,12.876951
1.68,22,12.924089
1.71,23,12.971003
1.54,12,12.986456
1.6,12,13.017455
1.57,9,13.049896
1.91,54,13.346702
1.82,34,13.411519
1.85,39,13.49245
1.66,22,13.712295
1.64,20,13.743559
1.62,23,13.793468
1.74,30,13.844019
1.53,5,13.859233
1.69,21,13.890744
1.65,17,13.937511
1.58,12,14.137301
1.7,22,14.168586
1.57,9,14.18446
1.57,13,14.215462
1.58,10,14.239653
1.85,38,14.308175
1.72,28,14.353943
1.73,25,14.58661
1.59,13,14.602226
1.74,26,14.648854
1.83,35,14.711206
1.65,17,14.74271
1.55,7,14.758327
1.77,30,15.00914
1.57,9,15.025041
1.65,17,15.040684
1.63,21,15.087552
1.64,32,15.141432
1.65,17,15.173018
1.7,22,15.392757
1.6,18,15.430804
1.69,25,15.478145
1.57,13,15.493524
1.62,14,15.528634
1.93,45,15.605045
1.71,24,15.813681
1.63,15,15.852611
1.44,14,15.886281
1.57,11,15.904184
1.76,30,15.950802
1.58,10,15.984114
1.44,36,16.213296
1.91,51,16.31406
1.67,21,16.344647
1.65,17,16.382128
1.61,13,16.398022
1.98,50,16.681139
1.58,10,16.697046
1.72,24,16.758226
2.22,81,17.083044
1.64,16,17.104936
1.85,37,17.187832
1.89,45,17.263562
1.55,9,17.279185
1.57,9,17.484235
1.78,30,17.533238
1.77,29,17.595471
1.65,21,17.629929
1.67,20,17.677084
1.53,5,17.677084
1.83,35,17.910424
1.63,17,17.962128
1.78,30,18.014734
1.84,37,18.078152
1.57,9,18.094021
1.63,15,18.125028
1.59,11,18.314687
1.49,9,18.330303
1.86,38,18.414685
1.54,10,18.430044
1.83,37,18.496661
1.52,6,18.512573
1.56,18,18.717548
1.56,10,18.733455
2.13,69,18.861521
1.68,20,18.892757
1.56,8,18.908122
1.58,12,18.946622
1.61,17,19.154996
1.71,23,19.18628
1.7,24,19.24982
1.56,18,19.266467
1.67,23,19.313688
1.98,50,19.591734
1.97,55,19.691499
1.6,24,19.738394
1.69,21,19.770025
1.6,20,20.001023
1.83,43,20.070673
1.56,8,20.0863
1.55,7,20.116532
1.68,24,20.148061
1.6,12,20.179312
1.66,18,20.211748
1.66,18,20.412252
1.83,35,20.482077
1.58,14,20.513576
1.52,4,20.513576
1.58,10,20.546663
1.81,34,20.599899
1.74,26,20.833377
1.81,33,20.902223
2.2,86,21.058435
1.73,25,21.270787
1.52,16,21.286614
1.48,14,21.332205
1.5,14,21.34808
1.85,41,21.425797
1.78,32,21.670702
1.58,10,21.686341
1.55,25,21.73862
1.58,10,21.766464
1.58,10,21.782091
1.79,34,21.82921
1.63,15,21.867472
1.64,18,22.090501
1.68,20,22.121762
1.84,36,22.206912
2.08,61,22.31957
2.05,58,22.620674
1.64,16,22.637578
1.65,23,22.684459
1.61,15,22.722742
1.89,46,22.981332
1.53,5,22.981332
1.74,26,23.04579
1.68,20,23.066494
1.62,14,23.097744
1.47,11,23.113369
1.62,14,23.14966
1.55,11,23.166534
1.8,34,23.40297
1.7,22,23.450114
1.68,20,23.488377
1.72,24,23.535283
1.6,12,23.550908
1.69,21,23.771798
1.65,17,23.817496
1.82,36,23.880357
1.67,19,23.916157
1.55,7,23.934176
1.52,4,23.934176
1.6,16,23.965713
1.51,3,23.965713
1.98,51,24.250796
1.57,11,24.266454
1.77,29,24.339553
