#{"t_start": 1716402645.9486306, "env_id": "CenteringWorld-v0"}
r,l,t
-0.47,306,1.207546
1.51,41,1.268971
1.12,88,1.648147
0.94,104,2.029339
1.54,21,2.05858
1.05,82,2.424342
1.7,53,2.517286
1.88,94,2.885863
1.83,95,3.028838
1.72,27,3.326298
1.56,15,3.341948
1.66,23,3.388826
1.68,23,3.420071
1.91,83,3.7902
1.2,45,3.873705
1.02,79,4.219566
1.58,10,4.235216
1.64,18,4.257571
1.64,16,4.288824
1.67,20,4.32649
1.51,8,4.342137
1.6,16,4.357763
1.6,23,4.627094
1.03,12,4.642719
1.85,42,4.711257
1.82,45,4.798181
1.62,15,4.813806
1.57,9,5.082872
1.64,18,5.114739
1.64,17,5.135391
1.68,21,5.166642
1.58,10,5.182266
1.52,4,5.182266
1.73,26,5.234739
1.65,18,5.250387
1.58,10,5.520556
1.12,15,5.556705
1.6,15,5.574353
1.81,41,5.636855
0.61,19,5.671589
1.62,14,5.690233
1.54,14,5.721484
1.71,23,5.944232
1.72,25,5.996508
1.79,35,6.048407
1.56,8,6.048407
2.18,75,6.360111
1.31,35,6.424031
1.76,30,6.47026
1.67,21,6.503721
1.62,15,6.710804
1.62,16,6.731888
1.53,9,6.747537
1.55,9,6.757793
1.73,29,6.804671
1.58,14,6.838305
1.89,42,6.905445
1.8,32,7.096567
1.71,23,7.143441
1.55,7,7.160226
2.03,58,7.248402
1.84,40,7.464153
1.67,19,7.501743
1.34,37,7.564244
1.27,30,7.601109
1.19,27,7.813631
1.59,11,7.836737
1.57,10,7.858252
1.64,16,7.899496
1.8,32,7.959756
1.81,34,8.008734
1.6,12,8.029981
1.7,22,8.210767
1.54,6,8.236719
1.62,18,8.279119
1.81,45,8.363913
1.53,5,8.368918
1.7,22,8.40019
1.59,15,8.587196
1.75,27,8.656541
1.8,36,8.715134
1.62,17,8.741268
1.66,22,8.771404
1.93,51,9.018082
1.75,27,9.057838
2.16,69,9.1747
1.02,10,9.360946
1.63,15,9.385953
1.66,20,9.42099
1.62,14,9.443986
1.67,21,9.478135
1.64,17,9.506141
1.57,9,9.522121
1.71,23,9.55904
1.91,44,9.792355
1.59,11,9.807714
1.57,13,9.836884
1.62,18,9.867358
1.63,17,9.894361
1.58,18,9.925092
1.6,26,10.158953
1.59,11,10.192985
0.93,12,10.208134
1.52,4,10.223777
1.62,26,10.277717
1.72,24,10.358207
1.77,35,10.424908
1.6,16,10.62985
1.62,14,10.652663
1.87,40,10.718947
1.65,18,10.746524
1.74,26,10.789169
1.9,44,11.035081
1.63,17,11.062406
1.65,17,11.088145
1.56,10,11.105356
1.91,45,11.162139
1.5,6,11.177766
1.71,23,11.465286
1.58,10,11.480912
1.6,14,11.496537
1.11,22,11.548184
1.72,24,11.574533
1.7,23,11.605784
1.65,17,11.888082
1.78,31,11.950606
1.69,21,11.979764
1.6,20,12.011032
2.14,75,12.38288
1.17,25,12.420433
1.64,16,12.451702
1.61,17,12.471531
1.68,24,12.5216
1.64,20,12.541304
1.85,37,12.849586
1.09,15,12.865237
1.51,3,12.865237
1.6,18,12.896487
1.87,39,12.958019
1.14,17,12.991271
1.85,41,13.288051
1.57,9,13.303696
1.61,13,13.319321
1.54,26,13.366197
1.61,14,13.397462
1.59,11,13.404755
1.16,27,13.650626
1.73,25,13.712942
1.65,17,13.746882
1.76,30,13.806967
1.95,48,13.886212
1.69,21,14.0644
1.61,13,14.09565
1.61,13,14.111275
1.64,16,14.141464
1.59,11,14.16782
1.61,13,14.187258
1.91,43,14.427885
1.71,23,14.475708
1.8,32,14.522583
1.59,11,14.538209
1.69,25,14.587209
1.67,23,14.618459
2.1,64,14.878145
1.68,20,14.908133
1.53,5,14.92378
1.58,10,14.949814
1.7,28,15.003951
1.6,16,15.168456
1.64,16,15.199706
