,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,1.574,2024-05-15 18:57:15.705647,2024-05-15 18:59:36.229406,0 days 00:02:20.523759,tanh,128,0.1,7.377595905437844e-08,0.95,0.9,0.0010731667291536554,0.6,10,128,medium,0.6482995375061271,COMPLETE
1,1,0.0,2024-05-15 18:57:15.706893,2024-05-15 19:29:32.903034,0 days 00:32:17.196141,relu,64,0.4,2.3194179145511777e-08,0.92,0.9,2.225858310451709e-05,0.3,5,8,tiny,0.7902222211791957,COMPLETE
2,2,-499.91,2024-05-15 18:57:15.711283,2024-05-15 19:26:49.523246,0 days 00:29:33.811963,tanh,32,0.2,0.06788613234799061,0.8,0.99,0.03981223083691581,0.6,10,1024,tiny,0.9377761731471754,COMPLETE
3,3,0.002,2024-05-15 18:57:15.731800,2024-05-15 19:22:04.849453,0 days 00:24:49.117653,tanh,64,0.4,2.2615843901332613e-05,0.95,0.9999,0.007664083792589398,0.6,10,256,small,0.256991660297605,COMPLETE
4,4,0.0,2024-05-15 18:57:15.736147,2024-05-15 19:20:38.113079,0 days 00:23:22.376932,relu,16,0.3,1.76328306228369e-07,0.99,0.9,0.01368080632667646,0.3,1,2048,small,0.22972854184353075,COMPLETE
5,5,0.006,2024-05-15 18:57:15.741234,2024-05-15 19:16:10.313764,0 days 00:18:54.572530,relu,512,0.1,8.210782572199247e-05,0.98,0.995,0.00016519269901946125,0.8,1,64,tiny,0.8569530549048798,COMPLETE
6,6,-100.02,2024-05-15 18:57:15.744380,2024-05-15 19:16:49.713713,0 days 00:19:33.969333,tanh,512,0.2,0.012535145140684293,0.99,0.99,1.4604433243823518e-05,5.0,10,2048,tiny,0.36499993049428825,COMPLETE
7,7,0.0,2024-05-15 18:57:15.756865,2024-05-15 19:41:24.607357,0 days 00:44:08.850492,tanh,8,0.1,0.026560471363568695,0.98,0.98,0.4541974993058269,0.7,10,2048,small,0.4589118107416257,COMPLETE
8,8,0.0,2024-05-15 18:59:36.230428,2024-05-15 19:21:39.499822,0 days 00:22:03.269394,relu,8,0.3,0.024123803150685328,0.9,0.95,0.0003483737252138459,0.5,1,8,tiny,0.6244696582170411,COMPLETE
9,9,0.0,2024-05-15 19:16:10.313764,2024-05-15 19:34:53.992035,0 days 00:18:43.678271,tanh,128,0.2,1.249453229472949e-05,0.8,0.99,0.3987925752843445,5.0,10,2048,tiny,0.84198276163329,COMPLETE
10,10,1.272,2024-05-15 19:16:49.713713,2024-05-15 19:22:13.688289,0 days 00:05:23.974576,relu,32,0.2,7.306088564024215e-05,0.92,0.95,0.006875829384902731,5.0,1,64,small,0.34301846209676967,COMPLETE
11,11,0.0,2024-05-15 19:20:38.113079,2024-05-15 19:37:35.137645,0 days 00:16:57.024566,relu,16,0.3,8.02705323596506e-07,0.92,0.99,0.041459759461675384,2.0,1,256,small,0.7283117328356216,COMPLETE
12,12,0.0,2024-05-15 19:21:39.499822,2024-05-15 19:36:55.385330,0 days 00:15:15.885508,tanh,128,0.4,0.006895688646126925,0.95,0.9,0.002752028112305779,1.0,1,64,tiny,0.09081851689640452,COMPLETE
13,13,-499.938,2024-05-15 19:22:04.849453,2024-05-15 19:38:51.138802,0 days 00:16:46.289349,relu,8,0.2,0.00023204240929022347,0.8,0.95,0.07781724216538886,5.0,1,128,medium,0.4852249125835352,PRUNED
14,14,0.328,2024-05-15 19:22:13.690288,2024-05-15 19:36:41.376947,0 days 00:14:27.686659,tanh,256,0.2,1.586675010574781e-08,0.92,0.95,0.11550940545305506,5.0,1,32,small,0.7636701830995485,COMPLETE
