,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,0.0,2024-05-18 14:51:34.760459,2024-05-18 15:14:16.892735,0 days 00:22:42.132276,relu,32,0.3,0.0036375168164939444,0.98,0.999,0.014933880762622878,0.5,1,1024,small,0.7036919959026625,COMPLETE
1,1,0.0,2024-05-18 14:51:34.760459,2024-05-18 15:13:13.872580,0 days 00:21:39.112121,relu,128,0.4,1.998680175720408e-08,0.95,0.9999,0.01285910554996136,0.5,10,1024,tiny,0.0661904963307628,COMPLETE
2,2,-199.964,2024-05-18 14:51:34.768501,2024-05-18 15:28:58.530480,0 days 00:37:23.761979,tanh,16,0.1,0.01892616758160266,0.98,0.9999,0.00041840646563439375,0.5,5,2048,small,0.6748599895587859,COMPLETE
3,3,-499.96999999999997,2024-05-18 14:51:34.784059,2024-05-18 15:19:46.062417,0 days 00:28:11.278358,tanh,64,0.1,3.3346620981888605e-08,1.0,0.98,0.07852528031155213,5.0,20,64,medium,0.7736791842921024,COMPLETE
4,4,0.0,2024-05-18 14:51:34.785617,2024-05-18 15:12:33.926174,0 days 00:20:59.140557,relu,512,0.2,7.642831778574776e-08,0.9,0.98,0.000138584318535965,1.0,1,16,small,0.3954086108467124,COMPLETE
5,5,-299.94199999999995,2024-05-18 14:51:34.796454,2024-05-18 15:10:23.683512,0 days 00:18:48.887058,relu,128,0.4,3.572947764025791e-05,1.0,0.95,1.2705568495940889e-05,0.8,1,256,tiny,0.10429907942405148,COMPLETE
6,6,0.012,2024-05-18 14:51:34.801268,2024-05-18 15:15:31.029810,0 days 00:23:56.228542,relu,128,0.3,0.02379808238938297,0.8,0.98,2.9153226608719247e-05,0.3,20,1024,tiny,0.6804032991488554,COMPLETE
7,7,-499.88199999999995,2024-05-18 14:51:34.803285,2024-05-18 15:25:31.419640,0 days 00:33:56.616355,relu,32,0.1,0.00013020458776233002,0.95,0.995,0.060108534646158035,5.0,10,2048,medium,0.9757176640790387,COMPLETE
8,8,0.0,2024-05-18 15:10:23.683512,2024-05-18 15:49:10.554688,0 days 00:38:46.871176,relu,16,0.2,1.650928540922039e-06,0.92,0.99,0.20103171731445857,0.6,20,512,medium,0.4014873705616473,COMPLETE
9,9,-499.88199999999995,2024-05-18 15:12:33.926174,2024-05-18 15:47:59.607107,0 days 00:35:25.680933,tanh,128,0.2,0.0007128104676262363,0.99,0.995,0.16869014161704285,0.7,10,8,tiny,0.9291708811633326,PRUNED
10,10,0.0,2024-05-18 15:13:13.872580,2024-05-18 15:55:42.956577,0 days 00:42:29.083997,relu,8,0.1,0.007508869394647914,1.0,0.9,0.0871622616892182,0.6,20,512,medium,0.7453554040614346,COMPLETE
11,11,-499.954,2024-05-18 15:14:16.892735,2024-05-18 15:44:47.470854,0 days 00:30:30.578119,relu,64,0.2,1.2678958586179881e-05,1.0,0.99,0.6952599804393311,0.7,20,128,small,0.302732164769966,PRUNED
12,12,-0.01,2024-05-18 15:15:31.029810,2024-05-18 15:37:12.062821,0 days 00:21:41.033011,relu,128,0.3,2.339701675279352e-08,0.9,0.9999,0.0019842219066508256,5.0,20,2048,medium,0.2934425171942797,COMPLETE
13,13,0.0,2024-05-18 15:19:46.070925,2024-05-18 15:35:50.845755,0 days 00:16:04.774830,tanh,128,0.1,0.007356286638170249,1.0,0.995,7.189758557265061e-05,0.7,1,2048,small,0.05170310996842109,COMPLETE
14,14,-0.012,2024-05-18 15:25:31.420639,2024-05-18 15:39:30.723897,0 days 00:13:59.303258,tanh,256,0.1,1.1546778520275045e-05,0.99,0.9,2.8257043710118066e-05,0.3,1,64,tiny,0.5898972309223787,PRUNED
