,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-0.001999999999999999,2024-04-28 21:26:45.756821,2024-04-28 21:58:18.897285,0 days 00:31:33.140464,tanh,64,0.1,2.4686557350015753e-05,0.8,0.9,1.9366674736345925e-05,0.5,20,1024,medium,0.26140313994314734,COMPLETE
1,1,-499.794,2024-04-28 21:26:45.778674,2024-04-28 21:45:42.685465,0 days 00:18:56.906791,relu,64,0.2,0.005454572264976631,0.92,0.98,0.11004609775784083,1.0,1,16,small,0.2933374559850256,COMPLETE
2,2,-499.838,2024-04-28 21:26:45.780674,2024-04-28 21:51:21.719381,0 days 00:24:35.938707,tanh,32,0.3,0.0007384784845453757,0.95,0.99,0.036280740071135395,0.7,5,2048,tiny,0.8468129163446058,COMPLETE
3,3,1.3980000000000001,2024-04-28 21:26:45.785778,2024-04-28 21:38:32.028331,0 days 00:11:46.242553,relu,512,0.4,6.253369137916074e-07,0.8,0.98,0.009980806473132054,0.3,5,8,tiny,0.9853320428683852,COMPLETE
4,4,0.0,2024-04-28 21:26:45.793110,2024-04-28 22:05:21.504588,0 days 00:38:35.711478,tanh,16,0.2,0.015166210607130269,0.95,0.99,0.11181475686508946,0.5,20,256,tiny,0.7108510366049238,COMPLETE
5,5,0.0,2024-04-28 21:26:45.794111,2024-04-28 21:51:04.214364,0 days 00:24:18.420253,tanh,64,0.1,0.003560051542065015,0.95,0.9999,0.39847890167540745,5.0,10,1024,small,0.10755237153267139,COMPLETE
6,6,0.088,2024-04-28 21:26:45.794111,2024-04-28 21:49:21.972944,0 days 00:22:36.178833,tanh,32,0.1,1.1947716832198388e-06,0.8,0.98,8.793888097535285e-05,1.0,1,2048,medium,0.607498140570117,COMPLETE
7,7,0.0,2024-04-28 21:26:45.794111,2024-04-28 21:47:55.666149,0 days 00:21:09.872038,relu,64,0.3,1.3574919883529635e-08,0.99,0.99,0.03677673840387826,1.0,10,256,small,0.2784216289926179,COMPLETE
8,8,-100.002,2024-04-28 21:38:32.037403,2024-04-28 21:57:20.917206,0 days 00:18:48.879803,tanh,64,0.3,3.284518178536239e-08,1.0,0.9999,0.02369291073734301,0.5,1,256,small,0.7489069500805744,COMPLETE
9,9,0.0,2024-04-28 21:45:42.685465,2024-04-28 22:02:07.465991,0 days 00:16:24.780526,relu,256,0.2,7.601183319715472e-05,0.8,0.9999,0.0015652144804621123,1.0,5,1024,tiny,0.600037741219148,COMPLETE
10,10,-499.878,2024-04-28 21:47:55.666149,2024-04-28 22:11:11.135100,0 days 00:23:15.468951,tanh,8,0.4,1.4888008017830394e-08,0.95,0.9999,0.9879280793091151,0.6,5,2048,medium,0.49009192191227136,PRUNED
11,11,-299.834,2024-04-28 21:49:21.972944,2024-04-28 22:09:37.312080,0 days 00:20:15.339136,relu,512,0.3,0.0007380124584333908,0.99,0.9999,0.006195856530893998,0.3,10,64,medium,0.8963925106204512,PRUNED
12,12,0.07,2024-04-28 21:51:04.214364,2024-04-28 22:12:47.059538,0 days 00:21:42.845174,tanh,512,0.4,0.0005020376913589423,0.8,0.999,0.00041075910746708505,0.7,10,16,medium,0.008904176079865489,COMPLETE
13,13,-100.002,2024-04-28 21:51:21.725385,2024-04-28 22:10:11.439628,0 days 00:18:49.714243,tanh,32,0.4,0.00741941569202456,1.0,0.995,0.00424293225821416,0.9,5,128,medium,0.1553649494222923,PRUNED
14,14,0.0,2024-04-28 21:57:20.917206,2024-04-28 22:11:17.862221,0 days 00:13:56.945015,relu,64,0.2,0.0038574411193444346,0.92,0.98,0.023921388782628842,2.0,1,256,medium,0.1957131086010918,COMPLETE
