,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,1.254,2024-05-19 22:37:04.734275,2024-05-19 22:56:22.125978,0 days 00:19:17.391703,relu,512,0.4,3.839403490437506e-08,0.99,0.99,0.00018770408143081035,0.5,10,64,medium,0.060235927455578375,COMPLETE
1,1,-499.88599999999997,2024-05-19 22:37:04.738138,2024-05-19 23:09:29.153977,0 days 00:32:24.415839,relu,256,0.4,0.007166889686873452,0.95,0.95,0.08373520230517525,0.7,10,32,medium,0.45540017520889253,COMPLETE
2,2,0.008000000000000002,2024-05-19 22:37:04.738444,2024-05-19 23:17:09.576489,0 days 00:40:04.838045,relu,32,0.2,0.018962949484018037,0.9,0.9999,3.3420287601182665e-05,0.3,20,16,medium,0.03665055340405421,COMPLETE
3,3,-499.974,2024-05-19 22:37:04.742296,2024-05-19 23:20:07.563774,0 days 00:43:02.821478,relu,32,0.2,6.829715339243009e-06,0.98,0.995,0.20969439567925832,0.9,20,16,small,0.3768782817664065,COMPLETE
4,4,0.024,2024-05-19 22:37:04.762399,2024-05-19 23:05:18.225456,0 days 00:28:13.463057,tanh,256,0.2,0.0001287259684255268,0.95,0.995,0.0001697532163266577,5.0,10,512,medium,0.8578603955561268,COMPLETE
5,5,-499.90999999999997,2024-05-19 22:37:04.764220,2024-05-19 23:15:12.406780,0 days 00:38:07.642560,relu,32,0.4,0.07521888308368123,0.98,0.95,0.8255493818756119,2.0,10,8,medium,0.3821385491585604,COMPLETE
6,6,0.0,2024-05-19 22:37:04.771814,2024-05-19 22:51:23.400078,0 days 00:14:18.628264,tanh,128,0.4,3.419728735316341e-08,0.92,0.9999,1.5309080773028814e-05,0.5,1,32,medium,0.8734004826078383,COMPLETE
7,7,1.614,2024-05-19 22:37:04.777188,2024-05-19 22:51:53.118745,0 days 00:14:48.341557,relu,32,0.2,1.9873603405020656e-07,0.9,0.99,0.008940710965796123,0.8,20,32,tiny,0.5520575264230534,COMPLETE
8,8,0.0,2024-05-19 22:51:23.400078,2024-05-19 23:10:22.975766,0 days 00:18:59.575688,tanh,512,0.3,0.0052456916592277724,0.95,0.9999,0.00030525200373566054,0.3,1,512,medium,0.16031368842122407,COMPLETE
9,9,-499.878,2024-05-19 22:51:53.134370,2024-05-19 23:11:52.032634,0 days 00:19:58.898264,tanh,32,0.2,2.0003896884923078e-07,1.0,0.999,4.042786526977504e-05,0.8,1,2048,small,0.23038412370803663,COMPLETE
10,10,0.6880000000000001,2024-05-19 22:56:22.140403,2024-05-19 23:27:54.581789,0 days 00:31:32.441386,relu,16,0.2,2.229781104573477e-05,0.99,0.98,0.0001786354006071103,0.8,20,64,small,0.5656256602348627,COMPLETE
11,11,0.028000000000000004,2024-05-19 23:05:18.225456,2024-05-19 23:30:01.673955,0 days 00:24:43.448499,tanh,16,0.3,4.3053489223778956e-07,0.8,0.9999,0.006187193817242391,5.0,10,8,tiny,0.3980630951195243,COMPLETE
12,12,0.316,2024-05-19 23:09:29.153977,2024-05-19 23:22:37.989760,0 days 00:13:08.835783,relu,256,0.1,5.816952120702238e-07,1.0,0.95,0.0020106204643051393,1.0,5,2048,small,0.23353355243971208,COMPLETE
13,13,-499.95,2024-05-19 23:10:22.975766,2024-05-19 23:25:42.617032,0 days 00:15:19.641266,relu,32,0.3,5.367023484361693e-06,1.0,0.9999,0.8793701002413804,0.5,5,32,tiny,0.08920885780740417,PRUNED
14,14,0.002,2024-05-19 23:11:52.043908,2024-05-19 23:25:55.459414,0 days 00:14:03.415506,relu,32,0.4,0.0011696924216223236,0.98,0.999,0.0021052870914656627,0.6,1,64,medium,0.26728878236405706,COMPLETE
