#{"t_start": 1716402645.9395552, "env_id": "CenteringWorld-v0"}
r,l,t
0.02,445,1.672201
1.09,216,2.477464
1.78,56,2.557612
1.19,67,2.894938
1.57,10,2.910584
1.61,17,2.926208
1.94,101,3.335374
1.55,24,3.366648
1.6,26,3.413526
1.56,13,3.429147
1.36,61,3.78365
1.75,43,3.846153
1.61,39,3.899445
2.01,61,4.228642
1.65,17,4.244291
1.83,44,4.313525
1.61,13,4.351213
1.61,14,4.366838
1.56,8,4.382463
1.51,15,4.636169
1.66,21,4.673437
1.55,13,4.689082
1.86,42,4.762512
1.76,34,4.822881
1.71,24,5.107573
1.64,16,5.128819
1.29,52,5.206966
1.62,14,5.239814
1.66,19,5.259463
1.61,15,5.545255
1.64,16,5.567784
1.62,14,5.583428
1.61,13,5.599055
1.86,46,5.683664
1.63,16,5.714933
1.71,23,5.937682
1.68,24,5.973906
1.76,28,6.026231
1.6,12,6.041856
1.08,19,6.073107
1.61,13,6.088731
1.53,19,6.126381
1.57,9,6.142006
1.59,15,6.347086
1.71,33,6.408324
1.08,26,6.447079
1.74,26,6.489144
1.02,24,6.527359
1.73,25,6.740964
2.04,66,6.851379
1.73,25,6.898274
1.02,11,6.916844
1.67,19,7.090017
1.57,11,7.105642
1.64,16,7.136892
1.55,7,7.152517
1.27,45,7.221387
1.47,50,7.457602
0.58,20,7.495173
1.67,19,7.526443
1.56,8,7.542069
1.8,32,7.588944
1.58,11,7.610184
1.67,19,7.641456
1.56,8,7.799159
1.06,15,7.842808
1.69,21,7.889644
1.7,22,7.937701
1.56,8,7.937701
1.62,14,7.970933
1.58,14,7.98656
1.68,21,8.034052
1.68,20,8.204209
1.72,25,8.272003
1.79,31,8.325454
1.87,39,8.39364
1.5,2,8.39364
1.63,15,8.424891
1.73,25,8.64213
1.68,20,8.67191
1.56,8,8.687556
1.63,16,8.708565
1.54,6,8.724209
1.57,12,8.750343
1.56,13,8.764848
1.66,23,8.812919
1.63,21,8.989717
1.74,26,9.035643
1.62,22,9.066913
1.65,28,9.126353
1.6,16,9.151043
1.12,19,9.181182
1.62,14,9.375332
1.76,28,9.423162
1.62,14,9.446209
1.69,26,9.488098
1.55,11,9.506108
1.84,40,9.573256
1.75,27,9.779295
1.66,24,9.81679
1.76,28,9.868832
1.77,31,9.919205
1.57,9,9.940785
1.68,20,10.168029
1.91,49,10.264102
1.55,15,10.333849
1.72,24,10.379815
1.0,1,10.379815
1.66,18,10.413279
1.55,13,10.613611
1.58,10,10.63376
1.61,13,10.654573
2.01,53,10.740896
1.67,19,10.771133
1.66,23,10.808707
1.54,10,11.000971
1.78,30,11.049055
1.67,19,11.078262
1.75,42,11.142061
1.63,15,11.168117
1.72,24,11.453413
1.56,8,11.458715
1.63,15,11.474362
1.63,15,11.505612
1.66,20,11.536863
1.81,34,11.599234
1.58,14,11.61486
1.67,19,11.897157
1.73,28,11.944061
1.54,10,11.973392
1.61,13,11.988839
1.58,10,12.004482
1.73,25,12.035732
1.76,29,12.0923
1.57,9,12.104532
1.57,9,12.360705
