#{"t_start": 1716402645.9476242, "env_id": "CenteringWorld-v0"}
r,l,t
-0.8,289,1.182467
1.35,56,1.266052
1.43,45,1.584029
0.54,60,1.671539
1.53,76,2.016343
1.5,140,2.471396
1.56,22,2.502667
1.77,33,2.549543
1.62,19,2.593123
1.53,9,2.607191
1.57,42,2.886869
1.52,6,2.902515
1.55,13,2.918139
1.54,7,2.933764
1.56,15,2.946121
1.6,22,2.994573
1.64,65,3.342954
1.58,10,3.358579
1.63,15,3.374207
1.62,15,3.405457
1.65,17,3.421077
1.8,37,3.476747
1.76,40,3.791206
1.63,51,3.875713
1.6,15,3.891376
1.7,24,3.938252
1.69,22,4.199304
1.59,11,4.220573
1.6,12,4.236222
1.74,26,4.274205
1.65,18,4.305456
1.83,41,4.374394
1.6,12,4.6281
1.74,27,4.665368
1.72,24,4.696638
1.66,18,4.727889
1.78,32,4.783559
1.59,11,4.814812
1.61,15,5.083878
1.03,24,5.120749
1.65,21,5.152024
1.12,22,5.183273
1.54,7,5.198897
1.77,30,5.235745
1.89,43,5.559715
1.69,22,5.590986
1.69,21,5.622235
1.83,36,5.675595
1.6,12,5.706864
1.73,29,5.945238
1.79,35,6.002514
1.63,15,6.033787
1.73,26,6.065038
1.58,64,6.358569
1.74,27,6.409218
1.22,29,6.454405
1.61,13,6.474263
1.59,11,6.493067
1.65,17,6.51929
1.72,25,6.732895
1.75,28,6.774426
1.67,19,6.821302
1.72,24,6.858955
1.55,8,6.858955
1.6,22,6.906451
1.82,46,7.128823
1.66,18,7.165258
1.59,11,7.182062
1.63,15,7.197693
1.53,6,7.213318
1.58,10,7.23378
1.73,29,7.433887
1.55,7,7.433887
1.68,20,7.481104
1.56,8,7.487104
1.6,12,7.50275
1.19,26,7.549624
1.72,24,7.580875
1.64,16,7.617762
1.55,8,7.633387
1.89,45,7.879572
1.88,40,7.960763
1.92,48,8.030988
1.6,12,8.19614
1.82,34,8.284656
1.63,15,8.317384
1.63,16,8.333045
1.54,6,8.348672
1.67,19,8.385571
1.5,2,8.385571
1.72,26,8.588202
1.85,40,8.663841
1.73,25,8.71614
1.61,14,8.741469
1.64,16,8.756779
1.57,9,8.772411
1.67,19,8.810849
1.76,34,9.023573
1.65,17,9.043221
1.74,30,9.102668
1.53,5,9.109989
1.62,14,9.132388
1.83,35,9.359066
1.8,32,9.413388
1.42,46,9.488975
1.56,8,9.502097
1.57,9,9.518018
1.89,43,9.750508
1.0,1,9.75151
1.55,7,9.763427
1.6,28,9.808622
1.53,5,9.816136
1.49,9,9.835775
1.56,8,9.849318
1.57,11,9.867363
1.7,22,9.900396
2.23,78,10.240408
1.56,8,10.256033
2.01,53,10.404802
2.11,73,10.704386
1.6,18,10.733829
2.01,54,10.996688
1.69,21,11.030178
2.1,65,11.132635
1.58,12,11.146511
1.69,21,11.178772
1.82,34,11.481918
1.09,15,11.497543
1.71,23,11.552643
1.96,49,11.622415
1.11,16,11.904736
1.75,29,11.951612
1.59,24,11.98077
1.75,28,12.027663
1.5,6,12.043289
2.18,71,12.415156
1.69,21,12.437083
1.98,50,12.526684
1.76,30,12.797569
1.66,20,12.844358
1.58,10,12.850593
1.54,6,12.866243
1.53,7,12.866243
1.62,14,12.897493
1.56,8,12.913118
1.6,12,12.928744
1.48,8,12.944368
1.57,11,12.959025
1.95,49,13.281811
1.19,25,13.304702
1.76,28,13.351578
1.61,21,13.398469
1.91,45,13.667639
1.58,10,13.697251
1.64,20,13.739057
2.1,77,13.871592
1.96,48,14.112281
1.65,18,14.142471
1.6,12,14.165376
1.77,31,14.227374
1.68,20,14.254939
1.52,8,14.428891
1.81,34,14.492339
1.96,48,14.572564
1.71,23,14.619465
1.7,22,14.79341
