#{"t_start": 1716402645.9409158, "env_id": "CenteringWorld-v0"}
r,l,t
-1.85,391,1.5918
1.27,79,1.708212
1.57,53,2.018186
1.58,17,2.037053
1.25,109,2.456972
1.84,76,2.570492
1.6,46,2.871516
1.68,109,3.036553
1.61,18,3.311909
1.68,55,3.396541
1.54,6,3.412165
2.09,105,3.81354
1.53,9,3.829165
0.55,11,3.844792
1.6,14,3.87842
1.64,16,3.898084
1.67,37,3.94496
1.68,20,4.206012
1.49,17,4.24293
1.55,7,4.24293
1.62,14,4.265286
1.1,15,4.296539
1.6,17,4.329205
1.66,22,4.365477
1.59,15,4.381102
1.77,30,4.672076
0.97,20,4.703346
1.75,28,4.734597
1.79,40,4.805895
1.6,12,4.837146
1.51,5,5.090586
1.6,14,5.106212
1.78,32,5.158732
1.67,19,5.189981
1.59,15,5.205606
1.57,9,5.221232
1.72,27,5.273727
1.75,27,5.566423
1.66,20,5.597694
1.61,13,5.613318
1.62,15,5.628943
1.07,11,5.660194
1.65,19,5.682303
1.49,9,5.697948
1.72,24,5.936321
1.62,20,5.972545
1.75,29,6.009223
1.7,22,6.056122
1.77,29,6.103372
1.45,30,6.324717
1.13,19,6.35982
1.07,16,6.394482
1.73,26,6.43474
1.67,19,6.463794
1.6,14,6.486377
1.11,16,6.511436
1.59,15,6.718519
1.67,19,6.739603
1.77,55,6.82801
1.56,8,6.850019
1.71,24,6.881289
1.65,19,6.919566
1.97,49,7.151156
1.79,32,7.204401
1.51,3,7.204401
1.63,15,7.236351
1.7,22,7.27322
1.03,11,7.440595
1.41,55,7.525083
1.75,27,7.571958
1.54,10,7.587583
1.77,31,7.640095
2.04,59,7.930213
1.58,11,7.936341
1.6,20,7.969572
1.59,16,8.000824
1.49,7,8.016448
1.65,22,8.202848
1.58,10,8.218481
1.59,27,8.28305
1.62,14,8.317498
1.6,12,8.324093
1.8,34,8.39228
1.85,50,8.653998
1.63,15,8.670549
1.49,3,8.686195
1.6,12,8.706205
1.72,24,8.738474
2.05,57,8.988356
1.61,13,9.003981
1.61,13,9.034282
1.55,7,9.034282
1.71,23,9.083617
1.55,15,9.110836
1.73,25,9.149682
1.56,8,9.16274
1.07,16,9.188765
1.66,20,9.391663
1.69,21,9.428264
1.59,11,9.445896
1.55,7,9.457633
1.57,9,9.472793
1.62,26,9.515586
1.88,47,9.754812
1.58,10,9.771139
1.63,15,9.794603
1.59,19,9.825794
1.65,17,9.857125
1.63,16,9.882078
1.55,7,9.896912
1.68,21,9.923892
1.75,27,10.183643
1.49,9,10.1987
1.13,34,10.262742
1.66,19,10.340981
1.69,21,10.378454
1.53,9,10.39511
1.51,13,10.420126
1.64,16,10.625869
1.55,17,10.655258
1.56,12,10.673999
1.52,4,10.680226
1.7,24,10.721662
1.66,19,10.751066
1.6,14,10.772919
1.38,47,11.026026
1.57,9,11.039861
1.62,20,11.071174
1.79,34,11.124457
1.66,18,11.153219
1.59,11,11.169854
1.67,19,11.446819
1.56,10,11.457355
1.61,13,11.473001
1.62,14,11.504252
1.63,15,11.535502
1.82,36,11.582248
1.86,38,11.644749
1.73,25,11.9427
1.93,46,12.018747
1.56,12,12.034371
2.03,55,12.359344
1.61,15,12.390594
1.8,32,12.443792
1.91,44,12.526027
1.8,32,12.804277
1.85,37,12.857301
1.65,29,12.904201
1.57,11,12.919826
1.73,25,12.965734
1.6,12,12.981381
1.72,24,13.271468
1.08,19,13.295765
1.69,23,13.327036
1.74,27,13.373912
2.1,64,13.69311
1.64,16,13.724788
1.66,18,13.759784
1.78,32,13.815799
1.83,35,13.8783
1.55,7,13.8783
1.64,16,14.072115
1.62,20,14.103365
1.68,20,14.142541
1.73,25,14.186227
1.6,12,14.206363
1.51,3,14.207486
1.63,15,14.246827
1.73,26,14.4356
2.0,54,14.530298
1.66,18,14.579273
2.15,68,14.83139
1.58,14,14.86685
1.63,15,14.88586
1.71,23,14.915848
1.77,29,14.973155
1.61,14,15.011666
1.53,11,15.020904
1.53,5,15.176171
1.61,17,15.207421
1.87,39,15.277243
1.71,25,15.316999
1.57,11,15.341777
1.53,5,15.341777
1.64,16,15.373071
1.63,15,15.549175
1.52,10,15.564823
1.72,24,15.611698
1.61,15,15.627321
1.96,49,15.720057
1.51,11,15.735684
1.56,8,15.757735
