#{"t_start": 1716205892.7339947, "env_id": "CenteringWorld-v1"}
r,l,t
-1.33,130,5.109191
-3.83,1022,46.534911
0.88,376,62.095024
1.64,26,63.384152
1.05,14,63.415414
-4.74,711,93.291705
1.63,125,98.455518
1.6,24,98.503425
1.61,19,99.777041
1.62,15,99.815762
1.57,18,101.082393
1.08,21,102.361814
1.7,65,105.000171
1.48,10,105.014188
1.53,38,106.344209
1.63,22,107.624487
-1.02,55,110.205351
2.06,82,112.855144
1.07,14,114.128294
1.78,55,115.483758
1.6,21,116.750098
1.56,8,116.766149
1.65,34,118.075583
1.56,8,119.351653
1.57,9,119.379947
1.6,12,119.392031
1.05,11,120.660625
1.57,9,120.67625
1.54,6,120.691875
0.55,9,120.7075
1.02,9,121.952146
1.77,31,123.27528
1.54,6,123.290927
1.59,19,123.32257
1.6,15,124.607622
2.09,89,128.563173
-0.63,30,128.622101
1.67,27,129.923362
1.6,12,131.210595
1.44,14,131.22661
1.55,13,132.511389
1.65,17,132.543716
1.61,27,133.841614
1.29,63,136.477654
1.45,25,137.780114
2.08,78,140.431193
1.56,10,140.465722
1.84,36,143.06098
1.52,18,143.087673
1.23,39,144.423091
1.66,49,146.998184
1.66,40,148.337984
1.7,26,149.619818
1.52,4,149.640663
1.52,4,149.640663
1.48,10,149.667342
1.08,14,150.94486
1.68,22,152.227621
1.6,12,152.244405
1.43,15,152.276132
1.69,21,153.584446
1.55,11,153.600126
1.56,8,154.873439
1.16,29,156.169837
1.75,33,157.479427
1.85,45,158.799736
1.66,18,160.073042
1.57,98,163.989365
2.27,91,167.94815
1.53,11,167.964185
1.13,22,169.262117
1.54,10,169.294992
1.73,41,170.5978
0.59,21,171.879955
1.58,14,171.920858
0.53,15,173.180162
1.67,26,174.443919
1.6,24,174.49352
1.55,7,174.509145
1.54,6,175.772244
0.48,22,175.812409
1.57,9,177.092217
1.09,28,178.391773
1.55,7,178.407377
1.43,33,179.721901
1.95,74,182.349177
1.53,5,182.36513
1.53,5,182.381165
1.53,15,183.630646
1.56,8,183.646271
1.62,16,184.906055
1.67,19,184.957977
1.81,41,186.264476
0.54,19,187.569287
1.47,17,188.847374
1.56,8,188.862999
1.56,8,188.879116
1.56,10,188.895139
1.71,23,190.193283
1.59,11,190.208936
1.53,9,191.47718
1.2,23,191.524473
1.52,4,192.767124
1.62,15,192.812167
1.04,11,192.823207
1.71,25,194.108204
1.88,46,196.660959
0.56,12,196.700111
1.52,10,196.721235
1.17,26,198.014049
1.44,22,199.2981
1.53,5,199.317651
1.33,31,200.613664
1.69,25,201.907111
1.65,17,201.946886
1.52,10,203.21909
1.78,36,204.534449
1.82,40,205.863654
1.6,26,207.184765
1.59,15,207.209836
1.58,10,208.502074
1.55,15,208.533993
1.68,23,210.059851
1.02,7,210.075476
1.25,37,211.560673
1.6,16,212.91814
0.49,13,212.94941
0.55,19,214.261274
0.06,15,214.291008
1.72,25,215.562647
1.55,7,215.578271
1.64,22,216.861554
1.53,5,216.877462
1.56,9,216.901565
1.59,11,218.173968
0.77,34,219.470044
1.11,14,219.501702
1.69,21,220.788604
1.55,7,220.796643
1.63,25,222.076307
1.79,39,223.399694
1.55,7,223.413793
1.38,28,224.694648
1.65,17,225.971044
1.08,11,225.987111
1.52,6,226.00257
1.63,15,227.272695
1.44,14,227.309602
1.59,11,227.328267
1.6,12,228.594808
1.7,22,228.629837
1.59,13,229.917389
1.6,14,229.950203
1.57,9,231.276591
1.68,20,231.325362
1.73,26,232.60749
1.71,29,233.904298
1.54,6,233.919923
1.77,43,235.262158
1.04,13,236.538981
1.57,9,236.550498
1.58,10,236.582074
1.79,31,237.87436
1.67,25,239.181719
1.56,8,239.197729
1.55,15,240.487583
1.05,16,240.518864
1.5,16,241.791079
1.62,14,241.822102
