#{"t_start": 1716205892.7382088, "env_id": "CenteringWorld-v1"}
r,l,t
-6.2,1442,59.456146
1.51,4,59.472046
1.51,8,59.487426
1.48,8,59.503051
-4.14,822,93.296491
1.36,105,97.1921
0.46,29,98.490923
1.13,31,99.772827
1.53,5,99.795468
1.5,4,99.804506
1.47,23,101.078179
1.59,29,102.385142
2.05,95,106.312599
1.69,32,107.623315
1.62,22,108.899206
1.65,31,110.201137
0.49,11,110.229376
1.69,30,111.504134
1.54,21,111.55104
1.61,15,112.821917
1.75,42,114.156615
0.04,14,115.439132
1.71,41,116.745883
1.67,47,118.099527
1.68,25,119.387817
1.61,13,120.656411
1.66,42,121.987283
1.63,19,123.271066
1.55,9,123.286713
1.58,15,123.318356
1.58,10,124.593336
1.66,18,124.628638
1.7,23,125.918939
1.52,4,125.942062
1.04,16,127.223362
1.65,26,127.270259
1.58,10,128.564992
1.56,8,128.567993
1.63,16,128.59926
1.14,19,129.904021
1.74,35,131.222396
0.54,9,131.251473
1.75,29,132.539502
1.03,10,133.805769
1.63,25,133.86933
1.67,19,135.157312
2.26,109,139.140985
1.81,38,141.728168
1.68,20,141.767919
0.57,17,143.066804
1.55,9,143.083459
1.59,13,143.099084
1.52,4,144.361358
1.15,22,144.408822
1.7,36,145.732172
1.86,41,148.294195
1.55,7,148.314623
1.8,38,149.631158
1.13,19,150.917148
1.58,13,150.946683
0.92,35,152.255835
1.51,6,152.271918
1.54,6,152.271918
1.58,10,153.564214
1.71,30,154.869225
1.65,17,154.900487
1.52,6,154.924525
1.49,15,156.198778
1.65,36,157.503438
1.53,5,157.503438
0.92,25,158.795522
1.57,9,158.811118
0.57,11,160.068828
1.53,5,160.068828
1.52,10,160.104649
1.87,75,162.722931
1.53,5,163.985151
1.58,42,165.329545
0.52,24,166.635198
1.67,22,166.674897
1.78,32,167.99124
1.57,18,169.293778
1.73,27,170.577906
1.98,59,173.167904
1.6,25,173.20723
1.73,25,174.489306
2.25,84,178.403163
1.79,36,179.717687
1.56,14,179.760166
0.54,8,181.016184
1.42,28,181.072097
1.79,33,182.376951
1.6,13,183.626432
1.06,10,183.657928
1.6,39,184.957763
1.67,23,186.244637
1.56,8,186.260262
1.56,8,187.534931
1.54,6,187.534931
1.36,111,191.504634
1.61,17,192.785194
1.67,19,192.818993
1.96,52,195.388401
1.67,27,196.688855
1.53,5,196.695897
1.13,16,197.977153
1.77,69,200.594682
1.59,11,200.625095
1.67,20,201.902897
1.04,9,201.924591
1.5,10,201.942672
1.62,26,203.246149
1.03,6,203.261892
1.57,9,204.514941
1.59,25,204.569741
1.66,18,205.85944
1.54,6,205.874816
1.51,17,207.170511
0.05,48,208.529778
1.58,10,208.557355
1.55,35,211.51384
1.89,41,212.929881
0.54,16,212.976343
1.66,18,214.271138
1.5,2,214.271138
1.61,13,214.302408
1.57,9,215.542557
1.72,26,215.608658
1.0,1,215.611193
1.12,21,216.889278
1.67,19,218.179842
1.88,46,219.502574
1.16,24,220.792428
1.14,19,220.824117
1.56,8,222.072093
1.56,8,222.08794
1.51,10,222.103365
1.55,9,223.361807
1.66,18,223.410577
1.64,16,224.670299
1.55,8,224.687433
1.54,6,224.690434
1.62,18,225.96683
1.57,9,225.998356
1.71,23,227.268481
1.6,12,227.307458
1.55,9,227.324053
1.6,16,228.593593
0.83,36,229.923692
0.98,13,229.952033
1.23,29,231.326702
1.83,37,232.635136
1.69,23,233.928726
1.56,8,233.948668
1.52,14,235.231803
0.62,18,235.257944
1.65,21,236.546284
1.6,12,236.57786
1.54,6,237.828043
1.2,42,239.146237
1.91,87,243.082871
1.59,11,243.117322
1.5,8,243.123361
1.63,15,244.395017
1.6,22,244.440486
1.08,13,245.689427
1.68,20,245.7293
1.59,11,246.995438
2.04,60,249.593871
1.81,48,250.941489
1.72,37,252.247068
1.71,29,253.553407
1.2,75,257.445073
1.61,21,257.483896
1.09,13,258.747646
1.15,18,258.779321
1.52,10,258.80844
1.53,5,260.059021
1.67,25,260.103392
1.67,19,261.383497
1.75,28,262.676845
1.65,17,262.708118
1.67,23,264.015287
1.54,6,264.027484
1.69,21,265.305493
1.82,34,266.62582
1.6,12,266.641445
1.74,26,267.946481
1.1,27,269.259995
1.62,14,269.291506
1.02,5,270.553702
1.67,23,270.588378
1.64,18,271.878825
1.65,28,273.172969
1.06,9,273.188605
1.01,8,273.204226
1.03,7,274.46972
1.67,22,274.508054
1.0,7,274.52368
1.65,17,275.809685
1.44,58,278.416619
1.56,8,278.432245
2.06,59,281.069222
1.64,16,281.095563
1.04,21,282.38332
1.21,31,283.689496
1.68,22,284.970967
1.58,12,284.992611
1.61,13,285.024487
1.24,31,286.30958
1.54,6,287.564772
1.09,21,287.614899
1.67,19,288.892713
1.4,60,291.510027
1.65,22,291.561804
1.55,9,292.828355
1.54,6,292.834355
