#{"t_start": 1716205892.7425704, "env_id": "CenteringWorld-v1"}
r,l,t
1.36,20,0.274955
-0.0,153,6.302706
0.69,53,8.807158
-3.59,1163,56.905307
1.59,13,56.914347
1.25,85,60.772861
1.65,32,62.069662
-4.55,722,91.950216
-0.28,158,97.203709
1.8,65,99.809186
1.67,28,101.105229
1.55,14,102.377781
1.77,34,103.690665
1.61,30,104.991595
1.56,9,105.005612
1.08,34,106.332645
1.57,22,107.613911
1.53,5,107.623952
1.12,24,108.908862
1.54,20,108.940549
1.65,21,110.23407
1.62,30,111.515698
0.51,5,111.531054
1.51,3,111.531054
0.48,18,112.817555
2.07,93,116.736522
1.5,2,116.740522
1.61,22,116.77279
1.54,9,118.035758
1.45,21,118.088076
1.58,12,119.367371
1.58,10,119.383455
2.03,61,121.982922
1.56,10,122.002301
1.07,12,123.266704
0.55,14,123.297976
1.69,21,124.597046
1.75,62,127.234647
1.55,7,127.234647
1.57,9,127.250272
1.64,19,128.563632
1.77,39,129.89966
1.55,7,129.907766
1.67,51,132.51949
0.15,31,133.817533
1.5,2,133.817533
1.36,34,135.152951
1.57,13,135.168576
1.56,22,136.475122
1.56,8,136.485161
1.54,24,137.78698
-0.4,26,139.10164
1.53,7,139.10464
1.5,4,139.121606
1.53,21,140.404974
1.5,10,140.422617
1.59,11,140.459146
1.56,12,141.731823
1.61,15,141.763557
1.58,35,143.094723
1.53,12,144.372622
1.71,36,145.702168
0.71,36,147.004758
1.56,20,148.289833
1.53,9,148.317322
1.59,11,148.330913
1.55,13,149.595264
1.64,16,149.632087
1.59,17,150.912786
1.58,16,150.952364
1.71,29,152.251474
1.57,19,153.555853
1.66,23,153.59155
1.0,18,154.8805
1.58,10,154.896125
1.03,89,158.79116
1.57,13,158.831053
1.81,37,161.377098
1.59,13,161.401247
1.68,20,162.671325
1.56,8,162.68698
1.96,53,165.309527
1.6,12,165.34108
1.66,18,166.615212
1.76,32,167.939574
1.09,18,167.971241
1.57,9,167.986878
1.59,11,169.269556
1.54,24,169.309569
1.53,5,170.570544
1.68,22,170.60485
1.83,38,171.927374
1.56,8,173.171586
1.53,7,173.171586
1.61,13,173.202868
1.55,7,174.454691
1.09,20,174.484944
1.5,17,175.763668
1.02,11,175.796788
1.45,51,178.398802
0.48,30,179.69767
2.26,92,182.37259
1.69,23,183.653566
0.55,14,184.89748
1.53,6,184.913536
1.6,12,184.949402
1.54,14,186.208995
0.64,96,190.144992
1.67,23,190.200361
1.52,4,190.200361
1.59,12,191.480124
0.13,18,191.515897
1.66,24,192.809632
1.5,3,192.814631
1.57,11,194.067943
1.61,17,194.099628
1.48,36,195.405572
1.06,13,196.669379
1.58,14,196.691536
1.59,13,197.970788
1.51,5,197.973791
2.2,80,200.620733
1.67,19,201.898535
1.69,26,203.210514
1.47,37,204.525874
1.62,20,204.56538
1.69,48,207.182232
1.5,2,207.185235
1.36,39,208.525417
0.96,13,210.035618
1.03,8,210.051275
1.71,23,211.509478
1.59,13,211.546096
1.79,35,212.940834
1.06,9,212.971981
0.5,11,214.254698
1.64,16,214.282432
1.57,9,214.304554
1.65,19,215.569695
1.73,30,216.868886
1.68,20,218.167392
1.53,5,218.17748
1.51,17,218.20815
1.65,19,219.477093
1.6,12,219.504212
1.54,8,219.524217
1.57,11,220.787067
1.54,6,220.788067
1.77,35,222.099004
1.67,29,223.398167
1.71,23,224.672984
0.42,52,226.016512
1.03,10,227.279745
1.6,12,227.305083
1.52,4,227.313138
1.67,19,228.589232
1.84,52,229.949672
1.61,13,231.283884
1.57,9,231.312787
1.78,33,232.623258
1.61,13,233.88052
1.56,26,233.942306
1.57,9,235.217923
1.56,8,235.227441
1.57,9,235.237949
1.79,49,237.829725
1.56,8,237.834233
1.16,21,239.13237
1.57,11,239.157518
1.58,10,239.173143
1.74,30,240.49491
1.78,30,241.798086
1.89,55,244.390655
1.6,12,244.418695
1.51,15,245.685065
1.55,9,245.710849
1.51,24,246.991076
2.01,61,249.589509
1.67,19,249.620785
1.56,16,250.904738
1.64,21,250.944707
1.48,16,252.219078
1.89,73,254.844427
1.63,16,256.149116
1.56,12,256.164752
1.55,7,256.180377
1.6,12,257.447763
1.73,29,258.741284
1.6,12,258.759323
1.54,22,260.05266
1.67,51,261.384135
1.59,11,262.657379
1.78,34,263.973386
1.61,13,264.002864
1.69,33,265.301131
1.58,10,265.316756
1.57,9,266.602813
1.74,26,266.653716
1.63,15,267.930028
1.57,9,267.942119
1.05,8,267.95815
1.78,33,269.285143
1.57,9,270.555871
1.66,18,270.584017
1.53,8,271.834372
1.55,7,271.857005
1.58,10,271.884537
1.54,6,271.889537
1.85,37,273.216104
1.65,17,274.488068
1.6,16,274.519318
1.57,9,275.790203
1.56,10,275.805323
1.6,14,275.836623
1.66,24,277.139076
1.76,29,278.427883
1.76,31,279.753024
1.67,19,281.052351
1.45,11,281.079081
1.57,11,281.091202
1.58,10,282.34729
0.98,34,283.666542
1.59,14,283.696177
1.58,10,284.956596
1.51,7,284.966605
1.62,17,285.003871
2.02,59,287.598484
1.58,18,288.872715
1.71,24,288.935877
1.5,4,290.179973
1.56,10,290.212567
1.62,14,290.234219
0.73,35,291.553385
1.56,8,292.817929
1.57,9,292.829993
1.08,11,292.845639
1.65,17,294.1322
1.54,6,294.1322
1.59,11,294.170562
1.03,17,295.429705
1.76,30,296.73557
0.95,10,296.748641
1.63,17,298.029718
1.57,16,298.060969
1.09,12,299.331953
0.42,22,299.371516
1.65,28,300.66528
1.64,16,301.936119
1.03,14,301.973785
1.79,33,303.280993
1.54,8,303.292502
1.56,8,304.575058
1.56,10,304.582093
1.6,12,304.611738
1.69,32,305.917169
1.64,17,307.193109
1.73,26,308.468427
1.58,14,308.500058
1.52,4,308.500058
2.17,72,311.121859
1.34,60,313.737449
1.6,12,315.023475
1.51,3,315.023475
1.6,12,315.059943
1.6,18,316.341842
1.63,15,316.373092
1.8,72,319.008216
1.8,37,321.571064
1.54,6,321.571064
1.69,22,321.618336
1.6,16,322.902082
1.57,11,322.913113
1.78,32,324.213398
1.64,20,325.502727
1.73,25,326.79337
1.52,4,326.800875
1.56,8,326.821991
1.67,23,328.105573
1.56,8,328.121205
1.8,38,329.450192
1.68,20,330.712286
1.54,6,330.727916
1.03,6,330.743541
1.11,26,332.038738
1.58,12,332.048783
1.55,7,333.302664
1.6,12,333.31106
1.6,12,333.342311
1.56,12,334.589049
1.58,10,334.607678
1.73,26,335.878128
1.77,29,337.166258
1.72,27,338.445833
1.04,7,338.461474
1.57,9,338.4771
1.51,13,339.739238
1.64,16,339.785429
1.87,71,342.4586
1.49,13,343.729964
1.58,10,343.745595
1.1,14,343.784686
1.65,17,345.053432
1.31,34,346.357443
1.8,32,347.658901
1.57,9,347.674503
0.54,12,348.946323
1.53,5,348.946323
1.57,20,349.000088
1.56,12,350.260464
1.42,24,351.556126
1.6,12,351.571751
1.53,7,351.587376
0.59,15,352.861583
1.56,8,352.887679
1.15,27,354.181689
1.54,6,354.197565
1.6,15,354.234823
1.6,12,355.510231
1.62,18,355.541686
1.65,17,356.814976
1.6,12,356.831491
1.6,22,358.119979
1.16,19,358.149231
1.58,10,359.41564
1.49,13,359.438716
1.62,14,360.69746
1.69,23,360.745873
1.53,5,361.983766
1.66,18,362.022001
1.7,22,363.313059
1.57,9,363.329721
1.57,12,363.345756
1.62,14,364.623719
1.83,35,365.93738
1.61,13,365.953452
1.61,23,367.241441
1.84,36,368.553666
1.64,16,369.821074
1.56,8,369.848715
1.38,28,371.13351
1.32,24,372.414068
1.65,17,372.44794
1.61,13,373.702377
1.12,17,373.744923
1.58,10,373.766359
1.59,11,375.030837
1.63,15,375.047458
1.63,15,376.319281
1.55,7,376.334907
1.67,19,376.383341
1.62,14,377.649502
1.59,11,377.66402
1.54,12,378.951186
1.68,20,379.00561
1.45,15,380.264283
1.71,23,380.307644
1.67,19,381.578844
1.64,18,382.841547
1.68,21,382.882111
-0.57,25,384.17174
1.62,14,384.203532
1.55,7,385.427802
1.58,28,386.723447
1.71,23,386.778546
1.41,27,388.075648
1.69,23,389.392464
1.55,7,389.406546
1.52,8,389.422483
1.73,26,390.712526
1.64,16,391.997444
1.67,19,392.037884
1.72,24,393.344005
1.51,11,393.368577
1.72,24,394.640328
1.64,16,395.913873
1.77,29,395.975275
1.58,10,397.231121
1.57,11,397.252801
1.52,4,397.252801
1.1,13,398.521839
1.57,9,398.537464
1.7,22,399.817839
1.59,17,399.857173
1.63,16,401.133875
1.85,37,402.457713
1.6,12,402.471296
1.98,53,405.082955
0.42,32,406.373265
1.09,18,406.419812
2.13,75,410.27844
1.52,5,410.27844
1.56,16,410.322275
1.65,17,411.594124
1.57,9,411.608232
1.63,15,412.888398
1.6,14,412.919916
1.09,14,414.200918
1.71,24,414.236715
1.86,38,415.572327
1.65,17,416.839377
1.6,25,418.12974
1.69,21,418.187846
2.05,59,420.756022
1.75,37,422.062531
1.46,12,423.33471
1.57,13,423.350335
1.08,15,424.615039
1.63,15,424.646591
1.51,4,424.646591
1.48,8,425.912412
1.56,14,425.943682
1.62,16,425.968181
0.99,10,427.253594
1.24,28,428.568917
-0.68,40,429.882718
1.26,41,431.203876
1.68,20,432.47901
1.4,30,433.77064
1.82,45,435.105267
1.59,11,436.364307
1.54,6,436.37135
1.68,20,436.41092
1.6,12,437.680423
1.17,33,438.996235
1.6,12,439.015378
1.62,14,440.286556
1.58,10,440.302398
1.79,32,441.616626
1.62,14,441.64183
1.53,5,441.64183
1.64,16,442.924498
1.8,50,445.487997
1.52,4,445.512106
1.56,9,445.526658
1.54,6,445.526658
1.64,16,446.795396
2.06,58,448.139622
1.64,16,449.428004
1.49,11,449.443648
1.77,29,450.757405
1.59,11,452.028502
1.61,13,452.050649
1.52,4,452.050649
1.53,7,452.066274
1.43,23,453.371842
1.79,33,454.671651
1.6,12,454.702901
1.72,24,456.008185
1.6,12,457.272292
1.66,18,457.307842
1.55,7,457.307842
1.79,40,459.880843
1.52,4,459.890923
1.09,16,459.920932
1.79,31,461.213751
1.62,67,463.859657
1.62,14,465.133816
1.58,10,465.145363
0.69,44,466.473921
1.87,45,469.03952
1.56,12,469.071617
1.57,9,469.090793
1.54,6,470.337299
1.73,25,470.377778
1.54,6,471.634514
1.66,18,471.655599
1.62,14,472.939389
1.59,11,472.955654
1.8,38,474.27558
1.13,18,475.54626
