#{"t_start": 1716205892.7445698, "env_id": "CenteringWorld-v1"}
r,l,t
0.06,132,5.098616
-1.53,222,14.341724
-12.25,1968,94.586539
1.58,24,95.879655
1.67,43,97.185739
1.64,27,98.484562
1.5,2,98.484562
1.51,27,99.766466
1.76,86,103.665516
1.11,29,103.721736
1.74,35,106.290449
1.05,17,106.328633
1.1,24,107.614912
2.05,94,111.497773
1.98,59,114.118719
1.5,22,114.150254
0.65,106,119.356983
1.66,23,119.397111
1.57,19,120.665675
1.03,8,120.6813
1.61,23,121.978924
1.66,20,123.264705
1.58,10,123.280352
1.59,16,123.311995
2.01,72,127.217001
1.64,30,128.553599
0.96,42,129.890482
1.56,11,129.905767
1.58,10,131.184395
1.8,38,132.511976
1.72,34,133.815534
1.57,9,133.831039
1.09,20,135.135316
1.82,39,136.467079
1.86,40,137.800356
1.56,12,139.081512
0.51,20,139.119606
1.39,25,140.420618
1.6,18,140.459146
1.59,14,141.745716
1.85,37,143.077098
1.68,22,144.370622
1.64,16,144.408512
0.69,27,145.715794
1.5,3,145.715794
1.58,12,146.971479
1.0,6,146.987609
1.66,18,147.02765
1.66,20,148.317367
1.66,31,149.609243
1.58,15,149.640875
1.55,7,150.910787
1.75,30,152.213047
1.74,28,152.265557
1.6,36,154.847221
1.58,16,154.878501
0.54,18,156.159261
1.93,68,158.773251
1.57,25,160.046823
1.6,14,160.078092
1.34,57,162.669326
1.59,11,162.700878
1.85,37,164.029939
1.57,23,165.339081
1.69,41,166.668536
1.58,10,167.937575
1.57,9,167.953609
1.66,28,169.267557
1.58,12,169.300527
1.56,37,170.602851
1.55,11,171.853735
1.59,19,171.905219
1.59,13,173.161543
1.53,17,173.185585
1.56,20,174.462289
1.32,39,175.786741
1.74,28,177.081642
1.65,17,177.125694
0.55,19,178.415939
0.51,11,178.437081
1.05,14,179.711326
1.21,34,181.025641
1.71,23,182.317457
1.81,33,183.60469
1.79,57,184.951402
1.53,17,186.222651
1.43,25,187.52857
1.07,10,187.550666
1.44,57,190.162015
1.05,52,191.498273
1.62,14,192.778833
1.6,12,192.807633
1.93,57,195.38204
1.94,64,197.98783
1.69,21,199.271355
0.97,14,199.311131
1.17,26,200.603089
1.62,26,201.896536
1.73,31,203.208514
1.61,13,203.239788
1.69,23,204.523874
1.62,17,204.56338
0.64,24,205.868455
1.54,6,205.884525
1.87,39,207.215211
1.72,24,208.523417
0.59,13,210.033619
1.53,5,210.049276
1.01,14,210.080526
1.56,10,211.507479
1.59,11,211.54004
1.42,18,211.565755
1.63,17,212.938835
1.06,17,212.979028
1.51,3,214.248699
0.05,14,214.264777
1.5,25,215.552072
1.06,9,215.567696
1.1,13,215.60788
1.93,48,218.17848
1.64,16,218.210168
1.71,23,219.500213
1.55,7,219.518142
1.51,13,220.785067
1.64,16,220.808739
0.06,35,222.118791
1.64,18,223.394164
1.48,8,223.409265
1.5,2,223.410768
1.99,52,225.991995
1.57,9,226.007593
