#{"t_start": 1716229727.544267, "env_id": "CenteringWorld-v1"}
r,l,t
0.23,159,0.781895
-0.42,238,1.587612
0.44,44,1.657614
1.07,55,1.742715
1.48,40,2.013501
0.99,52,2.094075
1.52,47,2.174229
1.52,15,2.424702
0.45,57,2.50777
1.61,21,2.55082
1.69,43,2.833148
1.04,11,2.853163
1.56,17,2.88069
1.61,23,2.917214
1.68,35,2.969768
1.11,17,2.996346
1.6,22,3.031082
1.61,17,3.266234
0.69,59,3.358153
1.51,19,3.389196
1.15,25,3.429274
1.74,37,3.700774
1.55,8,3.71328
1.56,19,3.746312
1.64,16,3.771836
1.55,7,3.782344
1.57,14,3.805931
1.56,8,3.817448
1.21,31,4.089141
1.56,11,4.107308
1.71,28,4.152407
1.54,6,4.161927
1.58,10,4.177447
1.21,48,4.255102
1.76,28,4.52346
1.58,12,4.542039
1.73,27,4.586112
1.89,70,4.697324
1.7,24,4.952981
1.6,12,4.973014
1.6,12,4.994045
1.63,17,5.021113
1.52,4,5.027625
1.91,45,5.101511
1.65,17,5.129045
1.53,6,5.139069
1.59,11,5.391448
1.6,12,5.412482
1.03,12,5.432024
1.66,18,5.460573
1.64,32,5.512209
1.6,13,5.53275
1.15,23,5.573646
1.86,42,5.82123
1.59,11,5.840778
1.69,23,5.878339
1.55,7,5.887857
1.63,16,5.914415
1.56,16,5.939472
1.65,18,5.970023
1.56,8,6.167125
1.09,12,6.186157
1.65,17,6.213712
0.08,15,6.237667
1.53,5,6.246175
1.57,9,6.260113
1.07,13,6.28186
1.53,5,6.290371
1.65,17,6.317413
1.58,12,6.337946
1.56,8,6.351003
1.56,8,6.364035
1.63,16,6.546758
1.55,7,6.559274
1.79,35,6.619222
1.59,11,6.637769
1.61,15,6.665324
1.62,15,6.691878
1.6,12,6.711409
1.61,15,6.744505
1.65,17,6.925913
1.53,9,6.941958
1.57,10,6.958982
1.1,13,6.983059
1.08,13,7.00561
1.6,12,7.025649
1.08,25,7.073406
1.52,12,7.094941
1.12,19,7.127731
1.56,8,7.292668
1.57,9,7.308181
1.61,13,7.330163
1.04,15,7.354316
1.91,49,7.444705
0.06,13,7.466742
1.64,16,7.495295
1.53,5,7.503817
1.58,12,7.671419
1.6,16,7.697454
1.59,11,7.718996
1.77,30,7.776114
1.2,23,7.816298
1.61,19,7.848351
1.68,22,8.039533
1.83,39,8.115704
1.55,7,8.127742
1.82,36,8.197943
1.68,24,8.237527
1.27,34,8.456274
1.05,10,8.475312
1.59,11,8.493346
1.5,10,8.512383
1.53,5,8.520895
1.55,7,8.532212
1.53,15,8.558251
1.68,22,8.596322
0.57,15,8.623875
1.58,10,8.640417
1.58,10,8.656929
1.11,15,8.843998
1.6,15,8.877942
0.65,39,8.9462
1.73,25,8.990387
1.59,11,9.009406
1.56,8,9.024934
1.51,7,9.03998
1.56,8,9.060012
1.5,8,9.230012
1.59,11,9.249553
1.56,9,9.265084
1.56,8,9.277605
1.52,4,9.287124
1.57,9,9.30316
1.09,18,9.333221
-0.4,19,9.366779
1.53,13,9.395331
1.66,18,9.425889
1.53,5,9.434945
1.63,15,9.616636
1.65,17,9.644722
1.07,10,9.662758
1.67,19,9.700824
1.62,14,9.757412
1.54,8,9.771447
1.57,9,9.786963
1.6,12,9.810039
1.63,17,9.848093
1.6,12,9.869636
1.59,11,10.095283
1.74,27,10.144901
1.55,7,10.157417
1.61,14,10.188971
1.61,13,10.211527
1.7,22,10.252123
1.7,23,10.300283
1.55,9,10.315712
1.55,7,10.532148
1.65,17,10.563257
1.58,10,10.582296
1.52,4,10.589296
1.59,11,10.613859
1.58,14,10.638873
1.54,6,10.649454
1.85,38,10.748922
1.09,17,10.778985
1.56,8,10.969934
0.67,21,11.007494
1.68,20,11.051049
1.57,9,11.089237
1.68,21,11.127463
1.53,5,11.136984
1.59,11,11.16454
1.57,9,11.18058
1.64,17,11.209128
1.71,25,11.454144
1.81,42,11.532653
0.55,33,11.591282
1.51,7,11.609308
1.15,18,11.640973
1.58,10,11.658991
1.64,16,11.877987
1.59,11,11.897577
1.54,6,11.909084
1.58,18,11.944153
1.68,20,11.978273
1.58,10,11.996317
1.58,14,12.021937
1.8,33,12.106186
1.59,15,12.292271
1.62,14,12.316345
1.57,13,12.34091
1.16,22,12.389635
1.69,21,12.446255
1.57,9,12.461308
1.61,17,12.498893
1.77,31,12.756536
1.65,17,12.786628
1.57,9,12.802668
1.61,13,12.835378
1.6,14,12.859938
1.56,8,12.87424
1.6,22,12.916265
1.64,16,12.946414
1.55,7,12.957932
1.58,10,12.975967
1.66,20,13.2182
1.53,5,13.226717
1.46,10,13.246252
1.59,11,13.268116
1.47,54,13.369025
1.83,39,13.640997
1.53,5,13.651522
1.55,7,13.663039
1.56,8,13.677557
1.71,25,13.751713
1.45,15,13.77775
1.51,5,13.787267
1.03,10,13.810813
1.7,22,13.848862
1.65,17,13.878924
1.14,22,14.129869
1.57,9,14.144888
1.1,15,14.171166
1.09,12,14.191252
1.72,24,14.242855
1.67,21,14.279022
1.58,14,14.303587
1.59,11,14.323622
1.6,12,14.533412
1.81,45,14.616527
1.53,5,14.626034
1.5,8,14.647429
1.66,18,14.686829
1.67,19,14.745012
1.59,11,14.764187
1.57,9,14.78672
1.64,16,14.978996
1.52,4,14.986008
1.62,16,15.020074
1.65,17,15.050135
1.67,19,15.117964
1.52,6,15.128987
1.57,11,15.148025
1.78,30,15.201898
1.6,14,15.232959
1.72,26,15.471081
1.75,27,15.519153
0.55,17,15.548215
1.71,23,15.592802
1.57,15,15.618838
1.63,19,15.654019
1.54,6,15.855082
1.62,14,15.879118
1.53,5,15.887635
1.55,7,15.899659
1.48,14,15.922712
1.62,21,15.956364
1.57,9,15.972975
1.72,25,16.01538
1.65,17,16.044456
1.61,15,16.077098
1.47,23,16.264027
1.92,52,16.356567
1.57,15,16.382007
1.59,11,16.404037
1.56,12,16.423581
1.58,16,16.603283
1.52,14,16.627318
1.01,10,16.644861
1.59,11,16.664991
1.52,4,16.671509
1.52,16,16.697544
1.59,11,16.71758
1.53,5,16.730611
1.52,4,16.737124
1.59,11,16.75516
1.54,14,16.780233
1.56,8,16.794262
1.61,13,16.815914
1.57,9,16.981083
1.75,30,17.02992
1.6,14,17.057757
1.56,18,17.087803
1.62,14,17.112363
1.74,26,17.155951
1.6,12,17.182359
0.98,7,17.19488
1.63,15,17.367629
1.57,13,17.395174
1.61,13,17.417741
1.55,7,17.431776
1.53,5,17.440769
1.57,9,17.455275
1.63,15,17.480432
1.57,13,17.502473
1.54,6,17.512991
1.54,12,17.533021
1.76,29,17.740386
1.6,14,17.764948
1.63,15,17.789104
1.52,4,17.796323
1.66,18,17.828157
1.84,37,17.892415
1.6,14,17.91496
0.56,12,17.935879
1.9,44,18.168916
1.81,33,18.225072
1.67,20,18.257563
1.62,18,18.289101
1.67,33,18.50915
0.58,26,18.565282
0.11,20,18.600348
1.61,13,18.622906
1.56,8,18.637946
1.58,10,18.655762
1.52,4,18.663281
1.55,7,18.674801
1.59,15,18.700868
1.57,9,18.718006
1.04,7,18.887196
1.54,6,18.899259
1.62,14,18.92637
1.66,18,18.957438
1.55,7,18.96999
1.76,43,19.043012
1.65,24,19.09161
1.53,15,19.270244
1.62,14,19.295861
1.13,16,19.322149
1.6,12,19.342192
1.58,10,19.358845
1.34,40,19.435229
1.78,32,19.489496
1.84,39,19.71097
1.57,10,19.738801
1.74,26,19.782392
1.55,7,19.79391
1.61,13,19.817946
1.65,17,19.849514
1.61,13,19.871564
1.64,16,20.064583
1.61,13,20.08728
1.62,16,20.113825
1.58,10,20.13286
1.06,11,20.151052
1.51,3,20.158053
1.55,7,20.171198
1.7,22,20.207478
