#{"t_start": 1716405826.8370068, "env_id": "CenteringWorld-v0"}
r,l,t
3.1,446,1.81481
2.5,41,1.888718
3.0,30,2.154406
2.8,22,2.210667
2.1,10,2.211667
2.5,19,2.24294
4.5,64,2.359589
1.8,20,2.643758
2.4,32,2.688818
2.5,14,2.704443
4.3,40,2.774187
2.3,15,2.805479
2.9,21,3.098154
1.7,21,3.129405
3.4,25,3.176279
2.1,10,3.192904
2.6,19,3.229495
2.7,29,3.27637
3.5,22,3.548229
2.6,15,3.563858
3.3,21,3.595104
5.4,48,3.675308
3.2,21,3.706558
2.5,12,3.736789
3.3,20,3.992927
3.9,35,4.057531
2.7,14,4.081596
3.5,41,4.151023
1.9,7,4.161686
1.9,7,4.161686
6.2,56,4.506495
2.0,24,4.553369
2.1,8,4.569588
5.4,46,4.64203
2.7,22,4.910704
3.4,21,4.941971
2.3,10,4.957597
3.7,24,5.011746
4.3,31,5.050404
3.4,21,5.081654
4.1,28,5.368993
2.9,20,5.400243
2.8,15,5.431494
1.6,38,5.484741
1.9,31,5.531616
4.0,31,5.803382
2.6,16,5.834651
2.1,8,5.850276
2.6,13,5.884618
2.5,12,5.899192
3.9,35,5.946087
2.1,18,6.15865
2.8,15,6.195379
3.9,31,6.232631
2.3,10,6.248276
4.6,34,6.314317
2.9,20,6.34402
2.7,14,6.545049
3.4,21,6.576321
3.2,21,6.60757
3.8,25,6.659683
2.8,28,6.692952
2.9,17,6.732038
5.2,41,6.947977
3.7,37,6.997254
1.7,4,7.012879
6.0,48,7.08266
5.2,43,7.31404
2.0,7,7.31404
4.0,27,7.360915
2.6,13,7.398316
2.5,13,7.41496
3.4,21,7.44621
1.9,7,7.461835
4.3,32,7.666065
3.9,26,7.71401
1.9,25,7.760885
4.0,36,7.811808
1.6,3,7.827451
1.7,4,7.827451
2.2,9,7.843076
3.9,30,8.051508
2.8,15,8.067133
4.1,28,8.114007
3.1,20,8.145157
2.3,12,8.176426
3.2,19,8.207675
5.2,41,8.42125
2.9,16,8.452499
2.5,13,8.482711
2.6,13,8.491017
2.9,16,8.522284
2.7,14,8.537909
3.4,21,8.588819
2.3,10,8.770848
1.9,13,8.802385
4.6,33,8.863073
2.2,9,8.878716
2.0,7,8.894341
1.9,10,8.928806
2.6,13,8.948461
7.2,59,9.241124
2.8,29,9.288279
3.0,22,9.336915
2.6,19,9.378484
2.0,19,9.399589
5.6,54,9.682837
2.5,12,9.714106
3.1,18,9.745356
1.8,14,9.778684
5.6,47,10.035152
2.0,7,10.050522
3.0,17,10.082132
2.5,14,10.115344
2.7,20,10.150903
2.1,8,10.150903
3.1,18,10.197781
6.8,56,10.473728
3.5,22,10.504714
4.2,29,10.571345
3.3,20,10.602888
4.7,42,10.682878
6.3,52,10.970422
4.7,36,11.040088
6.4,52,11.315419
3.5,22,11.353712
7.0,58,11.465123
3.2,19,11.502683
5.4,42,11.762
1.7,6,11.778146
8.2,69,11.909945
3.0,19,11.941185
2.7,23,12.177749
3.9,28,12.224656
4.9,36,12.30214
2.3,10,12.317294
1.9,21,12.34881
2.4,16,12.395316
2.7,14,12.593904
3.1,19,12.619662
3.1,18,12.651147
3.2,21,12.700813
7.1,60,12.999831
2.6,14,13.031904
4.1,28,13.087056
3.6,27,13.141157
8.9,76,13.461145
5.2,42,13.542737
2.1,11,13.561061
3.3,21,13.608114
2.4,13,13.630845
2.5,12,13.662158
2.3,12,13.876584
5.4,42,13.941359
4.9,36,14.010979
3.3,20,14.058118
2.4,25,14.106802
3.0,17,14.323814
2.3,10,14.339113
2.6,13,14.370375
3.1,18,14.415247
3.5,23,14.456149
3.7,24,14.487286
2.7,15,14.521404
3.3,20,14.744699
2.1,11,14.77561
3.3,20,14.824185
6.1,48,14.908154
4.4,31,14.972428
5.4,42,15.238385
4.1,35,15.30196
3.1,18,15.333139
2.3,10,15.348783
2.2,12,15.387005
2.8,21,15.418536
1.8,16,15.626682
3.5,46,15.707847
2.3,12,15.72383
4.2,29,15.780886
5.9,46,16.067511
3.2,19,16.098505
2.1,8,16.131959
4.3,30,16.184179
4.0,28,16.23284
8.8,75,16.556874
6.8,56,16.668447
2.3,10,16.685373
3.7,24,16.910321
2.6,17,16.941307
3.2,30,16.995337
2.0,9,17.011326
5.9,46,17.106831
2.4,16,17.312042
3.9,28,17.367314
2.4,21,17.416219
3.0,17,17.432145
4.1,34,17.494374
3.7,33,17.748803
4.0,27,17.795383
2.7,14,17.831336
2.9,28,17.873555
2.0,7,17.889194
4.4,33,17.95371
4.3,30,18.201143
2.0,7,18.201143
3.1,18,18.232088
4.0,27,18.298803
2.9,16,18.329757
3.7,24,18.360995
1.5,4,18.386077
2.4,11,18.395374
8.9,79,18.732137
1.7,4,18.732137
6.5,54,19.01543
3.2,27,19.069369
2.8,15,19.100875
2.6,19,19.143413
3.7,39,19.200844
3.1,18,19.248534
5.7,50,19.50994
2.6,25,19.557135
2.9,16,19.595369
2.9,16,19.627131
2.0,7,19.627131
2.8,15,19.657901
3.0,17,19.866237
6.4,51,19.962111
2.5,12,20.005859
2.3,20,20.039141
4.3,30,20.255796
2.3,29,20.321262
5.6,57,20.436018
1.9,9,20.437017
2.5,15,20.468552
1.7,10,20.48417
4.3,30,20.712305
2.5,12,20.743296
1.7,12,20.762028
7.5,62,20.890514
1.7,19,21.102727
3.8,25,21.133989
1.1,18,21.181584
2.4,23,21.219622
1.9,14,21.25088
4.1,36,21.315457
2.4,17,21.531872
2.2,27,21.569407
3.6,27,21.632182
4.8,35,21.694698
3.0,17,21.732899
3.5,22,21.960991
4.9,36,22.023802
2.5,12,22.057026
3.1,22,22.094397
6.9,56,22.388214
2.8,17,22.406857
4.7,34,22.46962
6.0,47,22.555139
3.6,23,22.603714
2.5,24,22.852138
2.2,9,22.867278
5.5,42,22.937055
2.7,20,22.983949
3.2,19,23.027863
1.9,8,23.032909
7.5,62,23.32761
3.0,19,23.366205
7.0,58,23.666235
4.8,35,23.721823
